Star Rating,Name,Total AUM Range - Sep 2024,AUM CAGR over 5 years*,Main Office City,Main Office State,Profile,,,,,
★★★★½,www.traditionwealthmanagement.com||Tradition Wealth Management,$1 Billion - $5 Billion,20%-30%,Edina,Minnesota,,,,,,
★★★★½,https://www.bigsurpartners.com/||Bigsur Wealth Management,$1 Billion - $5 Billion,5%-10%,Miami,Florida,,,,,,
★★★★½,https://www.masadvisorsllc.com/||MAS Advisors,$1 Billion - $5 Billion,20%-30%,Miami,Florida,,,,,,
★★★★½,https://www.wealthedge.com||WealthEdge Investment Advisors,$250 Million - $500 Million,10%-20%,New York,New York,,,,,,
★★★★½,https://miraclemileadvisors.com/||Miracle Mile Advisors,$1 Billion - $5 Billion,20%-30%,Los Angeles,California,,,,,,
★★★★½,https://hubrpw.com/offices/austin-tx/||Hub Investment Partners,$5 Billion - $10 Billion,-,Austin,Texas,,,,,,
★★★★½,https://www.oakcrestadvisory.com/||Oak Crest Advisory,up to $250 Million,-,Rochester,New York,,,,,,
★★★★½,http://www.montroseadvisors.com||Montrose Advisors Incorporated,$250 Million - $500 Million,20%-30%,New York,New York,,,,,,
★★★★½,http://www.bancolombiacapital.com||Bancolombia Capital Advisers,up to $250 Million,-,Miami,Florida,,,,,,
★★★★½,https://www.themainstreetgroup.com/||The Main Street Group,$250 Million - $500 Million,20%-30%,Glen Allen,Virginia,,,,,,
★★★★½,http://www.gillinvest.com||Gill Capital Partners,$500 Million - $1 Billion,20%-30%,Denver,Colorado,,,,,,
★★★★½,https://reddoorwealth.com/||Red Door Wealth Management,$1 Billion - $5 Billion,30%-40%,Memphis,Tennessee,,,,,,
★★★★½,https://inscriptioncapital.com/home||Inscription Capital,$1 Billion - $5 Billion,20%-30%,Houston,Texas,,,,,,
★★★★½,http://avaii.com||Avaii Wealth Management,$250 Million - $500 Million,20%-30%,Appleton,Wisconsin,,,,,,
★★★★½,https://www.jcpinv.com||JCP Investment Management,up to $250 Million,10%-20%,Houston,Texas,,,,,,
★★★★½,https://privateadvisory.com||Private Advisory Group,$500 Million - $1 Billion,20%-30%,Redmond,Washington,,,,,,
★★★★½,https://decisionpointfinancial.com/||DecisionPoint Financial,$500 Million - $1 Billion,20%-30%,Mesa,Arizona,,,,,,
★★★★½,https://www.pasiusa.com/||PASI Investments,$500 Million - $1 Billion,10%-20%,Farmington,Connecticut,,,,,,
★★★★½,http://www.sfgroupinc.com||Sovereign Financial Group,$500 Million - $1 Billion,20%-30%,Stamford,Connecticut,,,,,,
★★★★½,https://steelpeakwealth.com/||Steelpeak Wealth,$1 Billion - $5 Billion,20%-30%,Woodland Hills,California,,,,,,
★★★★½,http://www.sdh-inc.com||Sloy Dahl & Holst,$1 Billion - $5 Billion,10%-20%,Vancouver,Washington,,,,,,
★★★★½,http://www.bc-wm.com||BCS Private Wealth Management,$250 Million - $500 Million,20%-30%,Rumson,New Jersey,,,,,,
★★★★½,https://www.wamasset.com/||Weinberger Asset Management,$250 Million - $500 Million,20%-30%,Los Angeles,California,,,,,,
★★★★½,https://lifeworksadvisors.com/||Lifeworks Advisors,$250 Million - $500 Million,-,Grand Rapids,Michigan,,,,,,
★★★★½,https://www.operoseadvisors.com/||Operose Advisors,$1 Billion - $5 Billion,-,Milwaukee,Wisconsin,,,,,,
★★★★½,retirementplanadvisors.com||Retirement Plan Advisors,$1 Billion - $5 Billion,20%-30%,Chicago,Illinois,,,,,,
★★★★½,https://uscwealth.com/||U.S. Capital Wealth Advisors,$5 Billion - $10 Billion,30%-40%,Houston,Texas,,,,,,
★★★★½,https://www.jacksonsquarecap.com||Jackson Square Capital,$250 Million - $500 Million,10%-20%,San Francisco,California,,,,,,
★★★★½,https://www.crestwoodadvisors.com/||Crestwood Advisors Group,$5 Billion - $10 Billion,10%-20%,Boston,Massachusetts,,,,,,
★★★★½,https://unitedfpg.com/||United Financial Planning Group,up to $250 Million,20%-30%,Hauppauge,New York,,,,,,
★★★★½,navalign.com||Navalign,$500 Million - $1 Billion,20%-30%,Encino,California,,,,,,
★★★★½,https://www.cap-mgt.com||Capital Management Associates Inc.,$1 Billion - $5 Billion,10%-20%,Minneapolis,Minnesota,,,,,,
★★★★½,www.omegawealthmanagement.com||Omega Wealth Management,$250 Million - $500 Million,20%-30%,Arlington,Virginia,,,,,,
★★★★½,http://www.hahnfinancialgroup.com||Hahn Financial Group,up to $250 Million,20%-30%,Sioux Falls,South Dakota,,,,,,
★★★★½,https://breakwatercapitalgroup.com/||Breakwater Capital Group,$500 Million - $1 Billion,-,Paramus,New Jersey,,,,,,
★★★★½,https://omni360advisors.com/||Omni 360 Wealth,up to $250 Million,-,Plainsboro,New Jersey,,,,,,
★★★★½,https://adamo.capital/||Adamo Capital Family Office ,$1 Billion - $5 Billion,-,Miami,Florida,,,,,,
★★★★½,www.hnwealthadvisors.com||Henrickson Nauta Wealth Advisors,$500 Million - $1 Billion,20%-30%,Belmont,Michigan,,,,,,
★★★★½,https://oakmontadvisory.com/||Oakmont Wealth Advisory,$250 Million - $500 Million,10%-20%,Reston,Virginia,,,,,,
★★★★½,http://www.knightsb.com||Knightsbridge Asset Management,$500 Million - $1 Billion,30%-40%,Newport Beach,California,,,,,,
★★★★½,https://www.krilogy.com||Krilogy Financial,$1 Billion - $5 Billion,10%-20%,St. Louis,Missouri,,,,,,
★★★★½,https://llfg-us.com/||Life Line Wealth Management,$250 Million - $500 Million,20%-30%,Beverly Hills,California,,,,,,
★★★★½,www.marcumwealth.com||Marcum Wealth,$1 Billion - $5 Billion,20%-30%,Cleveland,Ohio,,,,,,
★★★★½,https://financialharvest.com/||Financial Harvest,$250 Million - $500 Million,20%-30%,Winter Park,Florida,,,,,,
★★★★½,www.zermattwealthpartners.com||Zermatt Wealth Partners,up to $250 Million,-,San Diego,California,,,,,,
★★★★½,https://www.optima.com||Optima Asset Management,$500 Million - $1 Billion,-,New York,New York,,,,,,
★★★★½,https://howardbailey.com/||Howard Bailey Securities,$250 Million - $500 Million,30%-40%,Fort Wayne,Indiana,,,,,,
★★★★½,https://solomonapi.com/||Solomon API,$250 Million - $500 Million,upto 5%,Rockledge,Florida,,,,,,
★★★★½,gordianadvisors.com||Gordian Advisors,up to $250 Million,10%-20%,Tucson,Arizona,,,,,,
★★★★½,https://www.spectruminvestor.com/||Spectrum Investment Advisors,$500 Million - $1 Billion,20%-30%,Mequon,Wisconsin,,,,,,
★★★★½,https://www.benjaminfedwards.com/||Benjamin F. Edwards Wealth Management,$500 Million - $1 Billion,20%-30%,St. Louis,Missouri,,,,,,
★★★★½,https://carnegiewealth.com/||Carnegie Wealth Management,$250 Million - $500 Million,20%-30%,Berwyn,Pennsylvania,,,,,,
★★★★½,http://www.joinvanderbilt.com||Consolidated Portfolio Review Corp,$500 Million - $1 Billion,30%-40%,Woodbury,New York,,,,,,
★★★★½,https://www.frontrowadvisors.com||Front Row Advisors,$250 Million - $500 Million,10%-20%,Tiburon,California,,,,,,
★★★★½,https://igga.com/||Iron Gate Global Advisors,$500 Million - $1 Billion,30%-40%,North Salt Lake,Utah,,,,,,
★★★★½,flagshipwealthadvisors.com||Flagship Wealth Advisors,$250 Million - $500 Million,20%-30%,Wakefield,Massachusetts,,,,,,
★★★★½,http://www.morlingfinancialadvisors.com/||Morling Financial Advisors,$500 Million - $1 Billion,20%-30%,Fremont,California,,,,,,
★★★★½,https://www.cpcadvisors.com||CPC Advisors,$1 Billion - $5 Billion,20%-30%,Atlanta,Georgia,,,,,,
★★★★½,www.wrightinvestorsservice.com||Wright Investors Service Inc.,$1 Billion - $5 Billion,upto 5%,Shelton,Connecticut,,,,,,
★★★★½,www.archerinvestment.com||Archer Investment Corporation,$500 Million - $1 Billion,10%-20%,Carmel,Indiana,,,,,,
★★★★½,https://www.brightftr.com/||Bright Futures Wealth Management,$250 Million - $500 Million,20%-30%,Webster,New York,,,,,,
★★★★½,https://lnwadvisors.com/||LNW Wealth Management,$1 Billion - $5 Billion,20%-30%,Seattle,Washington,,,,,,
★★★★½,www.stairwaypartners.com||Stairway Partners,$1 Billion - $5 Billion,20%-30%,Chicago,Illinois,,,,,,
★★★★½,https://www.peddock.com/||Peddock Capital Advisors,$500 Million - $1 Billion,10%-20%,Braintree,Massachusetts,,,,,,
★★★★½,https://www.elwoodgoetz.com/||Elwood & Goetz Wealth Advisory Group,$500 Million - $1 Billion,20%-30%,Athens,Georgia,,,,,,
★★★★½,https://ironbridge360.com/||Ironbridge Private Wealth,up to $250 Million,10%-20%,Austin,Texas,,,,,,
★★★★½,https://purefinancial.com/||Pure Financial Advisors,$5 Billion - $10 Billion,20%-30%,San Diego,California,,,,,,
★★★★½,https://www.newworldadvisors.com/||New World Advisors,$500 Million - $1 Billion,10%-20%,Hingham,Massachusetts,,,,,,
★★★★½,https://www.lifeinvestwealth.com/||LifeInvest Wealth Management,$250 Million - $500 Million,upto 5%,Miami,Florida,,,,,,
★★★★½,http://www.piedmonttrust.com||Piedmont Capital Management,$250 Million - $500 Million,20%-30%,Greensboro,North Carolina,,,,,,
★★★★½,https://insightfolios.com/location/charlotte-north-carolina/||Insight Folios,$250 Million - $500 Million,20%-30%,Charlotte,North Carolina,,,,,,
★★★★½,https://www.syoncap.com||Syon Capital,$1 Billion - $5 Billion,-,San Francisco,California,,,,,,
★★★★½,http://www.vernalpoint.com/||Vernal Point Advisors,$1 Billion - $5 Billion,10%-20%,San Francisco,California,,,,,,
★★★★½,www.highlandplanning.com||Highland Financial Advisors,$250 Million - $500 Million,10%-20%,Wayne,New Jersey,,,,,,
★★★★½,http://www.bridgecitycap.com/||Bridge City Capital,$250 Million - $500 Million,10%-20%,Lake Oswego,Oregon,,,,,,
★★★★½,https://oakridgemg.com||Oakridge Management Group,$1 Billion - $5 Billion,-,Darien,Connecticut,,,,,,
★★★★½,https://www.drivewealthadvisers.com||Drive Wealth Advisers,$1 Billion - $5 Billion,30%-40%,Lehi,Utah,,,,,,
★★★★½,https://lyellwealth.com||Lyell Wealth Management,$1 Billion - $5 Billion,20%-30%,Menlo Park,California,,,,,,
★★★★½,https://www.ceetocapitalgroup.com||Ceeto Capital Group,$250 Million - $500 Million,10%-20%,Coral Gables,Florida,,,,,,
★★★★½,https://fullsailcapital.com/||Full Sail Capital,$1 Billion - $5 Billion,20%-30%,Oklahoma City,Oklahoma,,,,,,
★★★★½,https://www.carsongroup.com/||CWM,over $10 Billion,20%-30%,Omaha,Nebraska,,,,,,
★★★★½,http://www.choateia.com||Choate Investment Advisors,$5 Billion - $10 Billion,10%-20%,Boston,Massachusetts,,,,,,
★★★★½,https://www.wjohnsonassociates.com||Willis Johnson & Associates,$1 Billion - $5 Billion,20%-30%,Houston,Texas,,,,,,
★★★★½,http://www.chequersfinancial.com/||Chequers Financial Management,$500 Million - $1 Billion,20%-30%,San Francisco,California,,,,,,
★★★★½,http://www.m-f-a.com/||McQueen Financial Advisors II,over $10 Billion,20%-30%,Clawson,Michigan,,,,,,
★★★★½,https://thurstonspringer.com/||Thurston Springer Advisors,$1 Billion - $5 Billion,10%-20%,Indianapolis,Indiana,,,,,,
★★★★½,https://www.orbawealthadvisors.com/contact-us/||ORBA Wealth Advisors,$250 Million - $500 Million,-,Chicago,Illinois,,,,,,
★★★★,https://jandsadvisors.com/||Jacobson & Schmitt Advisors,$250 Million - $500 Million,10%-20%,Middleton,Wisconsin,,,,,,
★★★★,https://www.wmgfa.com||WMG Financial Advisors,$500 Million - $1 Billion,30%-40%,Knoxville,Tennessee,,,,,,
★★★★,http://www.nationsfg.com/||Nations Financial Group,$1 Billion - $5 Billion,20%-30%,Cedar Rapids,Iowa,,,,,,
★★★★,http://sfiadvisors.com/||SFI Advisors,up to $250 Million,10%-20%,Montclair,New Jersey,,,,,,
★★★★,https://bipwealth.com/||BIP Wealth,$1 Billion - $5 Billion,20%-30%,Atlanta,Georgia,,,,,,
★★★★,https://www.ofallc.com||Oak Family Advisors,$250 Million - $500 Million,20%-30%,Chicago,Illinois,,,,,,
★★★★,https://endowmentwm.com/||Endowment Wealth Management,$250 Million - $500 Million,10%-20%,Appleton,Wisconsin,,,,,,
★★★★,https://www.oakwellpwm.com/||Oakwell Private Wealth Management,$250 Million - $500 Million,20%-30%,Austin,Texas,,,,,,
★★★★,https://www.sellwoodconsulting.com/||Sellwood Consulting,$1 Billion - $5 Billion,30%-40%,Portland,Oregon,,,,,,
★★★★,http://www.harboradvisory.com||Harbor Advisory Corporation,$250 Million - $500 Million,20%-30%,Portsmouth,New Hampshire,,,,,,
★★★★,http://www.jfgllc.net||Johnson Financial Group,$1 Billion - $5 Billion,20%-30%,Denver,Colorado,,,,,,
★★★★,http://www.advocacywealth.com||Advocacy Wealth Management,$1 Billion - $5 Billion,20%-30%,Atlanta,Georgia,,,,,,
★★★★,https://pacificpointwm.com/||Pacific Point Advisors,up to $250 Million,-,Rancho Santa Fe,California,,,,,,
★★★★,https://novemgroup.com||Novem Group,$1 Billion - $5 Billion,10%-20%,Rochester,New York,,,,,,
★★★★,https://www.americanheritagesecurities.com/||EGI Financial,$250 Million - $500 Million,10%-20%,Akron,Ohio,,,,,,
★★★★,http://www.troxellfinancial.com||Crumly and Associates,$500 Million - $1 Billion,30%-40%,Springfield,Illinois,,,,,,
★★★★,midwestcap.com||Midwest Capital Advisors,$500 Million - $1 Billion,20%-30%,Grand Rapids,Michigan,,,,,,
★★★★,http://www.blackswiftgroup.com/||Black Swift Group,$250 Million - $500 Million,10%-20%,Boulder,Colorado,,,,,,
★★★★,https://www.paralleladvisors.com/||Parallel Advisors,$5 Billion - $10 Billion,20%-30%,San Francisco,California,,,,,,
★★★★,https://www.petrosfw.com/||Petros Family Wealth,up to $250 Million,-,Bloomington,Minnesota,,,,,,
★★★★,http://www.olympuswealthmanagement.com/||Olympus Wealth Management,$500 Million - $1 Billion,30%-40%,Cottonwood Heights,Utah,,,,,,
★★★★,https://goldenreserve.com||Golden Reserve Retirement,up to $250 Million,-,Dublin,Ohio,,,,,,
★★★★,https://www.madronafinancial.com/||Madrona Financial Services,$250 Million - $500 Million,10%-20%,Everett,Washington,,,,,,
★★★★,https://seniorplanningadvisors.com||Strategic Investment Advisors,$500 Million - $1 Billion,30%-40%,Livonia,Michigan,,,,,,
★★★★,https://mdfinancialadvisors.com/contact||MD Financial / Vestment Financial,up to $250 Million,30%-40%,Chanhassen,Minnesota,,,,,,
★★★★,https://www.blackdfinancial.com||Black Diamond Financial,$500 Million - $1 Billion,10%-20%,Towson,Maryland,,,,,,
★★★★,http://www.capitaonline.com||Capita Financial Network,$1 Billion - $5 Billion,30%-40%,Sandy,Utah,,,,,,
★★★★,https://sandboxfp.com/||Sandbox Financial Partners,$250 Million - $500 Million,30%-40%,Bethesda,Maryland,,,,,,
★★★★,https://mygfpc.com/||Global Financial Private Client,$500 Million - $1 Billion,10%-20%,Sarasota,Florida,,,,,,
★★★★,https://creditci.com/||Credit Capital Investments,up to $250 Million,upto 5%,Livingston,New Jersey,,,,,,
★★★★,https://intrepidcapitalfunds.com/||Intrepid Capital Management,$500 Million - $1 Billion,5%-10%,Jacksonville Beach,Florida,,,,,,
★★★★,https://denaliwm.com||Denali Wealth Management,$250 Million - $500 Million,20%-30%,Mequon,Wisconsin,,,,,,
★★★★,http://www.oarsman.net||Oarsman Capital,$500 Million - $1 Billion,5%-10%,Milwaukee,Wisconsin,,,,,,
★★★★,https://www.hffinancial.com/||Halter Ferguson Financial,$250 Million - $500 Million,20%-30%,Carmel,Indiana,,,,,,
★★★★,http://www.andersen.com||Andersen,$1 Billion - $5 Billion,20%-30%,McLean,Virginia,,,,,,
★★★★,https://www.thirtynorth.com||ThirtyNorth Investments,$250 Million - $500 Million,10%-20%,New Orleans,Louisiana,,,,,,
★★★★,mvfinancial.com||MV Capital Management,$1 Billion - $5 Billion,10%-20%,Bethesda,Maryland,,,,,,
★★★★,https://www.campbellwealth.com||Campbell Wealth Management,$1 Billion - $5 Billion,20%-30%,Alexandria,Virginia,,,,,,
★★★★,https://parkcapitalmgt.com/||Park Capital Management,$250 Million - $500 Million,20%-30%,Madison,Wisconsin,,,,,,
★★★★,http://aljiancapital.com/||Aljian Capital Management,$250 Million - $500 Million,20%-30%,Carson City,Nevada,,,,,,
★★★★,https://www.carboncollectivefunds.com||Carbon Collective Investing,up to $250 Million,-,Oakland,California,,,,,,
★★★★,http://www.g2capital.net||G2 Capital Management,$500 Million - $1 Billion,20%-30%,Columbus,Ohio,,,,,,
★★★★,http://www.meridianadvisors.com/||Meridian Wealth Advisors,$1 Billion - $5 Billion,20%-30%,Austin,Texas,,,,,,
★★★★,www.axiaadvisory.com||Axia Advisory Corp,$1 Billion - $5 Billion,5%-10%,Indianapolis,Indiana,,,,,,
★★★★,https://www.vawterfinancial.com/||Vawter Financial,$250 Million - $500 Million,10%-20%,Columbus,Ohio,,,,,,
★★★★,www.twpteam.com||Total Wealth Planning,$1 Billion - $5 Billion,10%-20%,Cincinnati,Ohio,,,,,,
★★★★,https://requisitecm.com/contact.asp||Requisite Capital Management,$1 Billion - $5 Billion,10%-20%,Dallas,Texas,,,,,,
★★★★,https://www.heritagefinllc.com/||Heritage Financial,$250 Million - $500 Million,20%-30%,Gainesville,Virginia,,,,,,
★★★★,https://fortitudefo.com/||Fortitude Family Office,$500 Million - $1 Billion,-,Scottsdale,Arizona,,,,,,
★★★★,https://cardeacap.com/contact-us/||Cardea Capital Advisors,up to $250 Million,-,Atlanta,Georgia,,,,,,
★★★★,https://baycolonyadvisors.com||Bay Colony Advisory Group,$1 Billion - $5 Billion,20%-30%,Concord,Massachusetts,,,,,,
★★★★,http://www.atonfinancial.com||Aton Financial,$250 Million - $500 Million,10%-20%,San Juan,Puerto Rico,,,,,,
★★★★,https://windrockwealth.com/||Windrock Wealth Management,$250 Million - $500 Million,20%-30%,Naperville,Illinois,,,,,,
★★★★,https://drakeandassociates.net||Drake & Associates,$250 Million - $500 Million,20%-30%,Waukesha,Wisconsin,,,,,,
★★★★,https://www.tdcwealthmgmt.com/||Lexaurum Advisors,$500 Million - $1 Billion,10%-20%,Overland Park,Kansas,,,,,,
★★★★,https://vestorcapital.com/||Vestor Capital,$1 Billion - $5 Billion,10%-20%,Chicago,Illinois,,,,,,
★★★★,https://www.kofcassetadvisors.org||Knights of Columbus Asset Advisors,over $10 Billion,upto 5%,New Haven,Connecticut,,,,,,
★★★★,http://www.wattsgwilliam.com||Watts Gwilliam & Company,$500 Million - $1 Billion,10%-20%,Gilbert,Arizona,,,,,,
★★★★,https://basewealthmanagement.com/||Base Wealth Management,up to $250 Million,-,Lakewood Ranch,Florida,,,,,,
★★★★,https://www.sgroifinancial.com||Sgroi Wealth Advisory Group,$500 Million - $1 Billion,20%-30%,West Seneca,New York,,,,,,
★★★★,https://providencecapitaladvisors.com/||Providence Capital Advisors,$500 Million - $1 Billion,20%-30%,Charlotte,North Carolina,,,,,,
★★★★,https://sterlingwealthmanagement.com/||Sterling Wealth Management,$250 Million - $500 Million,20%-30%,Champaign,Illinois,,,,,,
★★★★,https://www.bfsg-az.com||Benefit Financial Services Group,$1 Billion - $5 Billion,20%-30%,Irvine,California,,,,,,
★★★★,https://paradiem.org||Paradiem,$250 Million - $500 Million,10%-20%,Covington,Louisiana,,,,,,
★★★★,https://www.acimapw.com||Acima Private Wealth,$250 Million - $500 Million,10%-20%,Richmond,Virginia,,,,,,
★★★★,"https://potomacfund.com/||Potomac Fund Management, Inc.",$1 Billion - $5 Billion,50%-60%,Miami,Florida,,,,,,
★★★★,https://thepinnaclefg.com/||The Pinnacle Financial Group,$1 Billion - $5 Billion,20%-30%,Rockville Centre,New York,,,,,,
★★★★,http://www.alliumfinancial.com||Allium Financial Advisors,$500 Million - $1 Billion,20%-30%,Lake Oswego,Oregon,,,,,,
★★★★,https://hzcapital.com/||Hixon Zuercher Capital Management,$250 Million - $500 Million,20%-30%,Findlay,Ohio,,,,,,
★★★★,https://www.petrafinancial.com/||Petra Financial Advisors Inc.,$250 Million - $500 Million,20%-30%,Colorado Springs,Colorado,,,,,,
★★★★,https://www.meadowcreekwealthadvisors.com/||Meadow Creek Wealth Advisors,$500 Million - $1 Billion,20%-30%,Atlanta,Georgia,,,,,,
★★★★,https://prop-cap.com/||Proprietary Capital,$1 Billion - $5 Billion,20%-30%,Denver,Colorado,,,,,,
★★★★,http://www.hardyreed.com||Hardy Reed,$1 Billion - $5 Billion,10%-20%,Tupelo,Mississippi,,,,,,
★★★★,https://greenspringadvisors.com/||Greenspring Advisors,$5 Billion - $10 Billion,10%-20%,Towson,Maryland,,,,,,
★★★★,https://investrma.com||Rocky Mountain Advisers,$1 Billion - $5 Billion,10%-20%,Salina,Kansas,,,,,,
★★★★,https://www.fiduciaryfinancialpartners.com/||Fiduciary Financial Partners,up to $250 Million,10%-20%,Naperville,Illinois,,,,,,
★★★★,http://www.cannonfinancialstrategists.com/||Cannon Financial Strategists,$1 Billion - $5 Billion,10%-20%,Athens,Georgia,,,,,,
★★★★,https://www.dewwealth.com/||Dew Wealth Management,$250 Million - $500 Million,10%-20%,Scottsdale,Arizona,,,,,,
★★★★,https://sendero.com/||Sendero Wealth Management,$5 Billion - $10 Billion,20%-30%,San Antonio,Texas,,,,,,
★★★★,https://www.forvismazars.us||Forvis Mazars Wealth Advisors,$5 Billion - $10 Billion,20%-30%,Springfield,Missouri,,,,,,
★★★★,https://www.brooklynfi.com/||Brooklyn Fi,up to $250 Million,-,Brooklyn,New York,,,,,,
★★★★,https://www.everestfg.us/||Everest Financial Group,$500 Million - $1 Billion,20%-30%,Minneapolis,Minnesota,,,,,,
★★★★,http://www.legacyadvice.com/||Legacy Advisors,$1 Billion - $5 Billion,10%-20%,Plymouth Meeting,Pennsylvania,,,,,,
★★★★,https://tractionfp.us/||Traction Financial Partners,up to $250 Million,-,Encampment,Wyoming,,,,,,
★★★★,https://www.acumenwealth.com||Acumen Wealth Advisors,$250 Million - $500 Million,10%-20%,Chattanooga,Tennessee,,,,,,
★★★★,https://www.empiricalam.com||Empirical Asset Management,$250 Million - $500 Million,20%-30%,Wellesley,Massachusetts,,,,,,
★★★★,https://www.cahabawealth.com||Cahaba Wealth Management,$1 Billion - $5 Billion,20%-30%,Atlanta,Georgia,,,,,,
★★★★,https://www.mainsailfg.com/||Mainsail Financial Group,up to $250 Million,-,Bellevue,Washington,,,,,,
★★★★,https://www.provwealth.com/||Provenance Wealth Advisors,$1 Billion - $5 Billion,40%-50%,Fort Lauderdale,Florida,,,,,,
★★★★,https://www.schechterwealth.com/||Schechter Investment Advisors,$1 Billion - $5 Billion,30%-40%,Birmingham,Michigan,,,,,,
★★★★,www.pamwealth.com||Patton Albertson Miller Group,$1 Billion - $5 Billion,20%-30%,Chattanooga,Tennessee,,,,,,
★★★★,https://www.mortonbrownfw.com/||Morton Brown Family Wealth,$250 Million - $500 Million,20%-30%,Allentown,Pennsylvania,,,,,,
★★★★,https://cypressplanning.com||Cypress Financial Planning,$250 Million - $500 Million,20%-30%,Haddon Heights,New Jersey,,,,,,
★★★★,http://granitebaywm.com/||Granite Bay Wealth Management,$250 Million - $500 Million,10%-20%,Portsmouth,New Hampshire,,,,,,
★★★★,https://www.ryanwealth.com/||Ryan Wealth Management,$250 Million - $500 Million,20%-30%,Yuba City,California,,,,,,
★★★★,http://www.grassiinvest.com||Grassi Investment Management,$1 Billion - $5 Billion,5%-10%,Santa Clara,California,,,,,,
★★★★,https://iccnv.com/||The Investment Counsel Company of Nevada,$1 Billion - $5 Billion,10%-20%,Las Vegas,Nevada,,,,,,
★★★★,https://osam.com/||O'Shaughnessy Asset Management,$5 Billion - $10 Billion,5%-10%,Stamford,Connecticut,,,,,,
★★★★,https://www.ellsworthadvisors.com/||Ellsworth Advisors,$500 Million - $1 Billion,10%-20%,Hudson,Ohio,,,,,,
★★★★,https://www.morethanmoneyonline.com/||MtM Financial Group,$250 Million - $500 Million,10%-20%,Bethlehem,Pennsylvania,,,,,,
★★★★,https://www.elgethun.com/||Elgethun Capital Management,$500 Million - $1 Billion,10%-20%,Sioux Falls,South Dakota,,,,,,
★★★★,https://havenwg.com/||Haven Wealth Group,$250 Million - $500 Million,10%-20%,Houston,Texas,,,,,,
★★★★,www.stonehouseinv.com||Stone House Investment Management,$500 Million - $1 Billion,20%-30%,Tunkhannock,Pennsylvania,,,,,,
★★★★,https://www.4jwealth.com/||4J Wealth Management,up to $250 Million,10%-20%,Alexandria,Virginia,,,,,,
★★★★,https://founderswa.com/||Founders Financial Alliance,$500 Million - $1 Billion,20%-30%,Raleigh,North Carolina,,,,,,
★★★★,https://www.postreschtallon.com/||Post Resch Tallon Group,$250 Million - $500 Million,10%-20%,Pittsford,New York,,,,,,
★★★★,https://independentadvisoralliance.com/||Independent Advisor Alliance,over $10 Billion,20%-30%,Charlotte,North Carolina,,,,,,
★★★★,http://charterwm.com/||Charter Wealth Management,up to $250 Million,-,Raleigh,North Carolina,,,,,,
★★★★,https://www.valeofinancial.com||Valeo Financial Advisors,$5 Billion - $10 Billion,10%-20%,Carmel,Indiana,,,,,,
★★★★,http://www.mariettawealth.com||Marietta Wealth Management,$1 Billion - $5 Billion,10%-20%,Marietta,Georgia,,,,,,
★★★★,http://www.sevenspringswealth.com||Seven Springs Wealth Group,$500 Million - $1 Billion,10%-20%,Brentwood,Tennessee,,,,,,
★★★★,https://www.stewartwealthmgt.com||Stewart Wealth Management,$250 Million - $500 Million,20%-30%,San Rafael,California,,,,,,
★★★★,https://www.mendotafinancial.com/||Mendota Financial Group,$250 Million - $500 Million,10%-20%,Madison,Wisconsin,,,,,,
★★★★,https://www.argusinvest.com||Argus Investors' Counsel,up to $250 Million,-,New York,New York,,,,,,
★★★★,http://www.pimboston.com||Penobscot Investment Management Company,$1 Billion - $5 Billion,10%-20%,Boston,Massachusetts,,,,,,
★★★★,http://www.oboylewm.com||O'Boyle Wealth Management,$250 Million - $500 Million,20%-30%,Beverly Hills,California,,,,,,
★★★★,https://www.bakerave.com/||Baker Avenue Asset Management,$1 Billion - $5 Billion,10%-20%,San Francisco,California,,,,,,
★★★★,http://riverviewcapital.com||Riverview Capital Advisers,$500 Million - $1 Billion,20%-30%,Boston,Massachusetts,,,,,,
★★★★,https://aspengrovellc.com/||Aspen Grove Capital,$5 Billion - $10 Billion,10%-20%,Avon,Colorado,,,,,,
★★★★,https://petersonwealth.com/||Peterson Wealth Advisors,$500 Million - $1 Billion,20%-30%,Orem,Utah,,,,,,
★★★★,http://www.lentinifinancialadvisory.com/||Continuum Advisory,$1 Billion - $5 Billion,20%-30%,Eagle,Idaho,,,,,,
★★★★,https://pineridgeadvisers.com/||Pine Ridge Advisers,$1 Billion - $5 Billion,30%-40%,New York,New York,,,,,,
★★★★,http://www.verdecm.com/||Verde Capital Management,$500 Million - $1 Billion,10%-20%,Clarkston,Michigan,,,,,,
★★★★,http://www.coltongroome.com||Colton Groome Financial Advisors,$250 Million - $500 Million,20%-30%,Asheville,North Carolina,,,,,,
★★★★,https://www.epiqcg.com||Epiq Capital Group,$1 Billion - $5 Billion,20%-30%,San Francisco,California,,,,,,
★★★★,https://www.trailridgewm.com/||Trail Ridge Investment Advisors,up to $250 Million,10%-20%,Fort Collins,Colorado,,,,,,
★★★★,http://www.novapointcapital.com/||Novapoint Capital,$250 Million - $500 Million,20%-30%,Atlanta,Georgia,,,,,,
★★★★,https://bettermoneydecisions.com/||Better Money Decisions,$250 Million - $500 Million,10%-20%,Santa Fe,New Mexico,,,,,,
★★★★,https://www.ascend.fo/||Ascend Interplay,up to $250 Million,-,New York,New York,,,,,,
★★★★,https://www.silverlakewealth.com/||Silverlake Wealth Management,$250 Million - $500 Million,20%-30%,Williston,Vermont,,,,,,
