title,id,creator,activity,assignee,priority,status
Interrupt .communicate() on SIGTERM/INT,32871,25027,2018-03-05.05:32:48,None,4,1
Interrupt/kill threads w/exception,1509060,4685,2010-08-09.03:40:42,None,4,1
interrupt_main() fails to interrupt raw_input(),1113,4045,2007-09-07.15:29:35,None,4,2
Interrupted system calls are not retried,9867,5513,2012-07-12.21:36:23,None,4,2
interruption of locks by signals not guaranteed when locks are implemented using POSIX condition variables; add sys.thread_info,11223,2630,2011-06-23.12:22:50,None,4,2
Interrupts are lost during readline PyOS_InputHook processing,3180,8606,2015-01-14.02:13:56,None,4,2
Interrupts are lost during readline PyOS_InputHook processing (reopening),23237,20665,2015-10-27.12:17:00,None,4,1
interrupts during long writes cause connection corruption with SSL module,6587,1360,2010-07-08.22:48:03,1360,3,2
Intersphinx file objects.inv missing 'list' from py:class,31117,26731,2017-08-03.23:26:26,None,4,2
IntFlag makes re.compile slower,31671,10371,2017-10-05.10:18:23,None,4,2
"intra-pkg multiple import (import local1, local2) not fixed",4743,725,2008-12-27.02:50:14,None,4,2
Introduce a .github folder with PULL_REQUEST_TEMPLATE,27476,1741,2017-03-05.17:58:23,1741,4,2
Introduce a method to concatenate regex patterns,33658,28627,2018-05-28.08:16:03,None,4,1
introduce bytes.hex method (also for bytearray and memoryview),9951,13045,2015-11-10.17:19:10,252,4,2
Introduce exception argument to iter,20663,11519,2017-06-18.18:16:51,None,5,2
Introduce option to force the interpreter to exit upon MemoryErrors,16381,1796,2013-10-10.23:11:12,None,4,1
Introduce sys.implementation.opt_levels,23892,37,2015-04-08.21:41:58,None,5,1
Introspectable range objects,9896,11409,2011-11-05.19:19:10,None,4,2
Introspection generator and function closure state,13062,1309,2012-06-23.09:40:22,1309,4,2
ints contructed from strings don't use the smallint constants,3236,2040,2012-12-26.16:02:55,None,4,2
IntVar() - AttributeError: 'NoneType' object has no attribute 'tk',7914,11828,2010-02-11.21:57:44,None,4,2
invalid,13919,9595,2012-02-02.00:49:34,12260,4,2
Invalid 'line' tracer event on pass within else clause,13548,473,2016-06-02.17:06:41,None,4,1
Invalid (... and confusing) warning raised by 2to3 regarding repeat,25527,16370,2015-11-06.21:48:49,None,4,1
invalid \U escape gives 0=length unistr,817156,64,2003-10-06.05:42:03,4,4,2
Invalid access in combinations_with_replacement(),24735,11089,2015-08-17.05:22:28,114,4,2
invalid assert on big output of multiprocessing.Process,34563,29366,2018-09-07.15:37:51,None,4,2
Invalid backslash syntax errors are not always accurate as to the location on the line where the error occurs,28582,2799,2016-12-10.23:47:46,None,4,2
Invalid behavior of unicode.lower,5828,10442,2009-04-25.14:46:47,8,4,2
Invalid Behavior When a Default Argument is a Dictionary.,4181,9448,2008-10-22.21:54:43,None,4,2
Invalid Behaviour When a Default Argument is a Mutable Object,4619,9729,2008-12-10.22:32:29,93,4,2
invalid call of Windows API _popen() generating The input	line is too long error message,9699,10073,2014-07-15.21:56:51,3951,4,1
invalid call to PyMem_Free() in fileio_init(),3304,2377,2008-08-24.21:41:26,252,4,2
Invalid charset in HTML pages inside documentation in CHM format,18736,18244,2013-10-13.18:08:24,93,4,2
invalid check of _bsddb creation failure,3307,2377,2008-07-19.09:37:50,415,4,2
Invalid child function scope,33527,28549,2018-06-04.16:23:30,None,4,2
Invalid child node access in ast.c,3377,2217,2008-07-17.16:37:42,9,4,2
invalid conversion xml.etree.ElementTree.Element object to boolean,3195,8675,2008-06-25.12:27:49,None,4,2
Invalid cookies crash web applications,2988,2984,2012-08-30.15:47:49,None,4,2
invalid default module path,222690,2,2000-12-13.16:01:21,5,5,2
Invalid detection of metadata version,8933,11017,2011-09-19.13:34:02,7641,4,2
invalid docs for subprocess exceptions with shell=True,14879,2984,2012-07-07.10:42:18,12260,4,1
Invalid documentation for dbhash.,802302,966,2003-09-10.04:46:16,None,4,2
Invalid example in documentation for PyErr_Fetch,29378,24398,2017-04-15.11:35:47,12260,4,2
invalid exception context,3611,2377,2008-08-29.07:14:24,None,1,2
invalid exception handling in Lib/ctypes/macholib/dyld.py,18893,2153,2017-03-31.16:36:34,None,4,2
Invalid expires date in cookiejar,8826,8431,2010-08-01.09:06:50,None,4,2
Invalid expression error if a regex ends with a backslash,13409,15142,2011-11-15.19:16:18,7047,4,2
"invalid file encoding results in ""SyntaxError: None""",1069,93,2008-01-06.22:29:45,8,4,2
Invalid function cast warnings with gcc 8 for getter and setter functions,33029,17770,2018-03-08.19:12:29,None,4,1
Invalid function cast warnings with gcc 8 for METH_NOARGS,33012,17770,2018-06-03.12:32:52,None,4,1
Invalid inline markup in xml document.,20236,10371,2014-01-13.19:00:46,12260,4,2
Invalid line number in Exception traceback with header # -*- coding: xxx -*-,3973,2377,2008-09-26.11:52:29,None,4,2
Invalid link in General Python FAQ,22320,20103,2014-09-01.07:14:23,12260,4,2
Invalid link to repr() built-in function description,17356,13595,2013-03-05.18:51:23,12260,4,2
Invalid links in svn.python.org,14536,15623,2012-04-09.17:18:07,None,4,2
invalid literal for int() with base 16: '',3721,9162,2008-09-05.15:20:28,None,4,2
Invalid MIME encoding generated by email.mime (line too long),25948,23099,2015-12-25.10:34:59,None,4,1
Invalid mmap crashes Python interpreter,585792,441,2003-04-10.17:13:27,35,4,2
Invalid mnemonic 'fnstcw',7452,10434,2009-12-11.15:34:00,925,4,2
Invalid modes crash open(),1461783,2512,2006-03-31.00:50:48,None,4,2
Invalid page in module PYTHON23.DLL,949706,1748,2004-05-07.11:57:52,None,4,2
Invalid PGP Key Prevents Archive Validation,30992,26636,2017-07-28.19:51:27,None,4,2
invalid print in tkinter\test\test_ttk\test_widgets.py,6796,11091,2009-09-02.15:30:03,None,4,2
Invalid PyWeakref_GetObject info,520087,372,2002-02-20.05:08:57,12,4,2
Invalid read in PyCode_New,24618,22121,2018-07-17.07:49:27,None,4,2
Invalid read in symtable.c,12474,11089,2011-07-02.14:18:06,None,4,2
Invalid read in test_codecs,17043,11089,2013-02-09.20:45:31,15623,4,2
Invalid reads in fastsearch.h,9236,11089,2010-07-15.22:17:16,None,4,2
invalid ref count on locale.strcoll() error,3303,2377,2008-07-20.20:45:03,8,3,2
invalid reST markup in several documents,4811,1595,2009-01-04.10:24:59,93,4,2
invalid result value of _weakref.__init__(),3634,2377,2008-09-09.20:56:33,4455,4,2
invalid submission,979737,1334,2004-06-28.22:06:52,None,4,2
Invalid syntax in ctypes/util.py,4912,2040,2009-01-10.22:37:48,66,4,2
Invalid syntax in inspect_fodder2.py (on Python 2.x),24054,21473,2015-08-19.23:25:20,None,4,2
invalid syntax in os.walk() first example,1278906,2084,2005-09-02.08:43:40,None,4,2
Invalid syntax Python files in Python sources tree,14497,15623,2012-04-05.06:58:27,None,4,2
Invalid SyntaxError pointer offset,10186,11197,2010-10-29.03:30:10,None,4,2
Invalid timestamps reported by os.stat() when Windows FILETIME structures are mistakenly reset.,23946,21351,2015-04-14.11:56:59,None,4,1
Invalid TypeError with class method decorator and class method parameter,2533,6523,2008-04-02.07:37:17,None,4,2
Invalid use of PyMem_DEL (PR#295),210638,2,2000-08-17.00:25:01,20,3,2
invalid use of setlocale,804543,3479,2009-02-27.17:54:20,8,4,2
"Invalid UTF-8 (""%s"") length in PyUnicode_FromFormatV()",5108,2377,2009-05-03.23:38:21,None,2,2
Invalid UTF8 Byte sequence not raising exception/being substituted,9133,12595,2014-03-12.21:14:09,None,4,2
Invalid value returned by util.get_platform() on HP,1478326,2630,2006-04-28.16:59:28,None,4,2
InvalidStateError on asyncio subprocess task cancelled,23140,12652,2015-01-06.10:39:03,None,4,2
Inverse hyperbolic functions in cmath module (PR#231),210838,2,2000-12-13.02:28:51,6,5,2
investigate if getaddrinfo(3) on OSX is thread-safe,25924,925,2016-11-17.12:27:39,925,5,2
Investigate implementation of PyOS_CheckStack on OSX,25518,925,2015-10-30.16:12:03,None,5,1
Investigate providing Tcl/Tk 8.6 with OS X installers,15663,5248,2018-04-15.20:54:08,5248,4,2
Investigate using a context variable for zero-arg super initialisation,33179,1309,2018-03-29.15:18:10,None,4,1
Investigate using Apple clang for building OS X installers,19019,5248,2018-04-15.20:41:24,5248,4,2
Investigate weak linking,653871,79,2002-12-14.22:24:01,79,5,2
Investigated ref leak report related to thread regrtest.py,1739118,2529,2009-10-31.03:32:19,None,4,2
Invisible characters in email related souce files.,21426,19099,2014-05-04.13:39:00,None,4,2
Invisible Files in Windows 7,13345,15105,2011-11-07.21:11:17,None,4,2
Invisible HTML tag,751941,1266,2003-06-10.21:42:46,None,4,2
invisible sidebar content with code snippets,25730,18435,2016-01-09.20:20:05,12260,4,2
Invitation to connect on LinkedIn,12893,11977,2011-09-09.17:17:41,None,4,2
Invitation to connect on LinkedIn,15405,11977,2012-07-20.13:19:33,None,4,2
Invitation to connect on LinkedIn,17019,15631,2013-01-23.16:46:22,None,4,2
Invitation to connect on LinkedIn,17021,9276,2013-01-24.02:50:16,None,4,2
invoking an external Java program from Python script,1400252,3902,2006-01-09.18:58:25,None,4,2
io and _pyio modules require the _io module,17984,15623,2014-07-11.14:40:31,None,4,1
IO buffering behaviour not properly documented,7545,9459,2009-12-19.21:10:17,2040,4,2
io class name are hardcoded in reprs,21861,15623,2015-03-24.06:45:56,None,4,1
io close() swallowing exceptions,7865,9459,2010-05-06.21:07:11,None,4,2
io doc improvements,9715,2040,2010-08-30.14:23:20,12260,4,2
io documentation refers to newline as newlines,22004,18516,2014-07-18.14:16:45,12260,4,2
IO libary have some error,7235,11401,2009-10-29.13:38:19,None,4,2
io's close() not handling errors correctly,4841,9351,2012-05-25.10:20:48,None,2,2
io-c: TextIOWrapper is faster than BufferedReader but not protected by a lock,5502,2377,2009-04-11.15:39:45,2040,4,2
io.[Text]IOBase.seek doesn't take keyword parameter,25030,20724,2015-09-11.04:46:29,14751,4,2
"io.Buffer*.seek() doesn't seek if ""seeking leaves us inside the current buffer""",12116,2377,2011-05-19.16:44:17,None,4,2
io.BufferedReader hides ResourceWarnings when garbage collected,22078,12504,2014-07-26.12:01:24,None,4,2
io.BufferedReader.peek(): Documentation differs from Implementation,5811,9383,2015-01-30.06:48:55,12260,4,1
io.BufferedRWPair can use uninitialized members,17671,1076,2014-02-12.08:57:19,15623,4,2
io.BufferedRWPair.closed broken; tries to call bool writer.closed property,4736,9816,2008-12-24.15:10:51,None,4,2
io.BufferedWriter C module missing _write_lock,6030,10331,2009-05-15.20:41:19,None,4,2
io.BufferedWriter shows wrong type in argument error message,17275,17303,2013-02-24.03:23:57,None,4,2
io.BytesIO doesn't support the buffer protocol,5506,2040,2010-09-06.18:50:12,None,4,2
io.BytesIO.readinto() segfaults when used on BytesIO object seeked beyond end.,10467,11506,2010-11-20.17:24:27,None,4,2
io.BytesIO.truncate does not work as advertised,27261,24076,2016-06-08.13:41:11,None,4,1
io.BytesIO: no way to get the length of the underlying buffer without copying data,31025,26356,2017-07-26.14:09:58,None,4,2
io.FileIO and io.open should support openat,12797,2040,2015-12-22.21:37:03,13468,4,2
io.FileIO calls flush() after file closed,5700,486,2015-02-22.22:33:59,15623,4,2
io.FileIO cannot write more than 2GB (-4096) bytes??? must be documented (if not fixed),31651,12179,2017-10-01.08:30:32,None,4,2
io.FileIO closefd parameter is not documented nor shown in repr,17401,3924,2014-12-03.07:28:46,12260,4,2
io.FileIO hang all threads if fstat blocks on inaccessible NFS server,32186,1711,2017-12-09.08:27:30,None,4,2
"io.FileIO('foo', 'rt') prints a RuntimeWarning",4237,1076,2008-10-30.22:03:14,3108,1,2
io.FileIO.readall() is not 64-bit safe on Windows,16367,2377,2013-01-03.02:43:49,None,4,2
"io.open('/dev/stdout', 'a') raises OSError with errno=ESPIPE",27805,632,2018-07-21.12:56:54,None,4,1
io.open() doesn't check for embedded NUL characters,13848,2040,2012-01-29.17:50:08,None,4,2
io.open() fails to open ascii file if LANG env not set,25359,22642,2017-09-27.17:05:13,None,4,1
io.open() handles errors differently on different platforms,2491,35,2008-11-26.12:10:36,None,2,2
io.open() is inconsistent re os.open(),15247,16224,2012-07-06.17:03:35,None,4,2
"io.path.ismount  gives ""local variable 'p' referenced before assignment"" error on Windows versions (ntpath.py)",6341,10742,2009-06-25.13:31:02,None,4,2
"io.path.ismount  gives ""local variable 'p' referenced before assignment"" error on Windows versions (ntpath.py)",6342,10742,2009-06-25.13:33:22,None,4,2
io.py problems on Windows,1041,66,2007-08-29.20:48:05,None,4,2
io.py standart stream setup crash,11285,13642,2011-02-23.11:18:48,None,2,2
io.py: Improve docstrings for classes,21225,20,2014-04-28.22:21:36,None,4,2
io.StringIO allows any parameter,1986,93,2008-02-26.06:57:59,None,3,2
io.StringIO doesn't provide a __dict__ field,12878,10612,2011-09-03.13:32:31,None,4,2
io.StringIO newline param has wrong default,20423,18929,2014-02-02.21:52:34,12260,4,2
io.StringIO's universal newlines support is broken in 3.0.1,5456,4505,2009-03-09.21:16:56,None,4,2
io.TextIOWrapper always closes wrapped files,21363,5513,2014-05-14.21:45:23,None,4,2
io.TextIOWrapper calls buffer.read1(),4996,5671,2009-03-05.00:25:49,None,4,2
io.TextIOWrapper does not handle UTF-8 encoded streams correctly,17090,17224,2013-01-31.15:42:47,None,4,2
io.TextIOWrapper on urllib.request.urlopen terminates prematurely,16723,1426,2013-02-06.08:42:36,15623,4,2
io.TextIOWrapper.tell() report 65bit number when mix readline() + tell(),26016,23159,2017-03-07.19:09:36,None,4,2
io.UnsupportedOperation.__new__(io.UnsupportedOperation) fails,14241,13034,2012-07-07.14:48:49,7641,4,2
IOBase docs incorrectly link to the readline module,13513,11255,2011-12-03.18:53:37,12260,4,2
IOBaseError,1481036,1814,2008-04-14.08:48:21,None,4,2
IOBinding broad except - try 3,1540859,519,2006-08-15.19:08:37,None,4,2
IOBinding overly broad except (2nd try),1540856,519,2006-08-15.19:11:14,None,4,2
ioctl has problem with -ive request codes,1231069,105,2005-07-27.20:25:50,3,4,2
ioctl has problems on 64 bit machines,1112949,2096,2005-07-28.07:06:52,None,4,2
ioctl mutable buffer copying problem,9758,12938,2010-09-07.16:36:27,None,4,2
ioctl mutate_flag behavior in regard to the buffer size limit,16834,17083,2015-03-19.23:10:31,12260,4,1
ioctl only accepts 1024 byte arguments,762855,1300,2003-07-21.13:20:54,3,4,2
ioctl request argument broken on 64-bit OpenBSD or OS X,1471,4318,2008-08-04.00:46:44,252,4,2
IOError after normal write,1252149,2338,2005-08-12.21:22:11,None,4,2
IOError has no __unicode__ method - and loses information,6890,9716,2009-09-16.19:59:17,None,4,2
IOError or OSError in test_multiprocessing,9572,11184,2010-08-26.21:09:01,37,4,2
IOError w/ large string to CMD shell,633480,549,2002-11-07.17:10:37,6,5,2
IOError when attempting negative seek in file (Python 3.0 tutorial),3524,2350,2008-08-08.07:04:48,93,4,2
IOError when launching script under pdb with backslash in script path,7750,1290,2011-11-17.23:59:22,None,4,2
IOError won't accept tuples longer than 3,1209,519,2007-09-27.06:20:42,None,4,2
IOError: [Errno 13] permission denied,8962,12499,2010-06-10.16:33:29,None,4,2
IP6 address parsing i sgmllib,853506,519,2006-06-23.06:13:15,12,4,2
ip_interface can't be broadcast or number net,22876,20437,2014-11-16.23:52:59,None,4,1
"ipaddress ""is_private"" and ""is_global"" are insufficiently documented and is_global probably has a bug",20857,9663,2014-03-06.21:50:40,None,4,1
ipaddress doctest examples have some errors,15888,12075,2012-10-07.14:25:32,12075,4,2
ipaddress documentation errors,18802,3774,2018-03-21.01:57:16,12260,4,2
ipaddress incompatibility with ipaddr: __contains__ between networks,27628,12704,2016-07-26.19:00:54,None,4,1
ipaddress is_private misleading for IPv4 mapped IPv6 addresses,33433,28466,2018-05-05.13:34:54,None,4,1
ipaddress module accepts octal formatted IPv4 addresses in IPv6 addresses,22282,20080,2014-08-29.01:33:52,None,4,1
ipaddress module accepts some strange IPv6 addresses that it shouldn't,34453,298,2018-08-25.16:33:09,None,4,1
ipaddress netmask/hostmask parsing bugs,18805,3774,2014-02-08.13:47:12,1309,4,2
ipaddress network subnets() method should return object with __getitem__,20860,15431,2014-03-06.22:33:01,None,4,1
ipaddress should accept bytearray in addition to bytes,34465,26140,2018-08-31.17:02:24,None,4,1
ipaddress should make it easy to identify rfc6598 addresses,17400,17462,2013-11-03.12:37:43,None,4,2
ipaddress should support fast IP lookups,32081,27416,2017-11-20.08:57:18,None,4,1
ipaddress subnet slicing iterator malfunction,27683,24366,2018-03-21.01:58:25,None,3,2
ipaddress unit tests PEP8,20815,19092,2014-10-12.19:19:13,None,5,2
ipaddress ver. 1.0.14 IPv4Network off by 1,30407,26162,2017-05-24.05:08:08,None,4,2
"ipaddress.hosts() doesn't return anything on a /32 ""network""",31597,25822,2017-09-26.21:05:49,None,4,2
ipaddress.ip_interface __lt__ check seems to be broken,29931,25855,2017-06-15.14:17:26,None,4,2
ipaddress.ip_network(...).hosts() returns nothing for an IPv4 /32,28577,15264,2018-03-21.02:14:00,None,4,1
ipaddress.IPv4Address.is_global not implemented,21386,19525,2016-06-11.19:13:06,None,4,2
ipaddress.IPv6Network doc typo,24963,15792,2015-08-30.21:43:34,12260,4,2
ipaddress.IPv6Network.hosts function omits network and broadcast addresses,19157,18433,2014-03-11.22:09:43,9293,4,2
"ipaddress.IPv{4,6}Network.reverse_pointer is broken",30528,19285,2018-03-13.14:25:06,None,4,1
ipaddress.py new IPv6 Method for Solicited Multicast Address,22418,20153,2014-09-16.15:02:28,None,4,1
ipaddress: Add optional prefixlen argument to ip_interface and ip_network,22962,20494,2017-03-26.10:30:02,None,4,2
ipaddress: hash similarities for ipv4 and ipv6,20446,18938,2016-07-08.11:03:53,None,4,2
ipaddress: Wrong behavior with ::ffff:1.2.3.4 style IPs,27269,16476,2017-05-23.00:08:58,12260,4,1
ipadress compare_networks does not work according to documentation,29913,25855,2017-03-30.07:45:06,12260,4,2
IPv4Interface arithmetic changes subnet mask,22941,20483,2015-03-29.19:09:34,None,4,1
IPv4Network's hostmask attribute doesn't returns string value as mentioned in Documentation.,30903,26548,2017-07-11.12:39:42,12260,4,1
IPv4Networkcontains raises exception on None,31905,27286,2017-10-31.07:07:23,None,4,2
IPv6 compiled getaddrinfo returns IPv6 address even if the system does not support IPv6,1958,4736,2008-01-28.22:28:52,None,4,2
"IPv6 detection, don't assume existence of /usr/xpg4/bin/grep",7716,11711,2011-01-03.18:57:52,None,4,2
IPv6 Interface naming/indexing functions,1746656,3807,2011-05-20.15:27:38,252,4,2
IPV6 not correctly ifdef'd in socketmodule.c,924294,1701,2004-06-02.12:37:43,8,3,2
"IPv6 patch against 2.0 CVS tree, as of 20010624",401196,3274,2001-07-24.20:36:49,8,4,2
"IPv6 patch, against 2.0 CVS tree, Dec30-2000",403055,3274,2001-01-01.21:46:53,12,4,2
ipv6 sockaddr is bad,744164,1247,2003-12-30.11:27:19,None,4,2
IPv6 support for logging.handlers,14855,15999,2015-02-26.16:51:07,None,4,1
IPv6 support in 1.6b1 (1.5.2 also available at ftp.kame.net) - from core@kame.net,401186,2,2000-10-30.12:24:21,14,4,2
IPv6 urlparse error on python 2.6,19935,18724,2013-12-09.10:08:20,None,4,2
IPv6-related definitions always present,440486,20,2001-07-18.16:24:57,8,4,2
IPv6Network constructor docs incorrect about valid input,22822,20379,2018-03-08.02:54:22,12260,4,2
IPv6Network constructor sometimes does not recognize legitimate netmask,22800,20379,2014-11-10.20:54:42,None,4,2
IPython 5.3.0 debug mode breakpoint issue,30370,26121,2017-05-15.16:09:45,None,4,2
IPython4 bash magic ! with {} does not work with Python 3.5.1,26062,23194,2016-01-09.19:03:09,None,4,2
irda socket support,1522400,3717,2016-09-08.14:29:15,None,4,1
IRIX 6.5 bus error,493815,425,2001-12-16.08:12:24,6,4,2
IRIX libmpc patch,768840,3363,2003-08-05.06:31:53,None,4,2
IRIX: Seg-fault while building tests with gmake on test_xml_etree.,2048,4815,2009-02-17.02:09:21,None,4,2
Irrational fractions,31707,27118,2017-10-06.09:03:08,None,5,2
Irregular behavior of datetime.__str__(),1074462,2044,2007-10-15.15:20:32,None,4,2
irregular behavior within class using __setitem__,1317376,2413,2005-10-08.09:44:35,None,4,2
irrelevant cross-link in documentation of user-defined functions,24314,10609,2016-06-18.09:04:44,12260,4,2
Irrelevant references to Misc/News,16157,15623,2012-11-17.17:32:05,7047,4,2
irreproducable segfault on int(1e100),757520,1129,2004-01-26.16:16:12,None,4,2
Irritating error message by socket's sendto method,5421,10188,2011-05-07.16:55:35,None,4,2
Is __getitem__ and __len__ implementations enough to make a user-defined class sliceable?,21598,12244,2014-05-29.02:29:08,None,4,2
Is ``o[key]`` equivalent to PyMapping_HasKeyString?,10579,10371,2010-11-29.16:22:40,12260,4,2
Is a UDP transport also a ReadTransport/WriteTransport?,31176,25985,2017-08-10.13:28:01,12260,4,1
Is all OK!!,16815,17072,2012-12-29.17:20:48,None,4,2
Is cmdqueue attribute used?,950055,114,2004-05-07.21:50:42,5,4,2
Is contextlib.redirect_stdout reentrant or not?,21061,12340,2014-10-12.00:27:41,1309,4,2
Is GeneratorContextManager public?,10859,2040,2011-01-08.09:55:58,None,4,2
is it a bug in `functools._HashedSeq`,29200,25081,2017-01-09.07:20:47,114,4,2
Is iterable a container type?,10410,10371,2010-11-14.10:25:23,114,5,2
Is Misc/setuid-prog.c still needed?,10710,2040,2010-12-16.18:26:02,None,5,2
is ok,12312,14421,2015-01-21.13:52:57,None,4,2
is ok,28420,24726,2016-10-12.04:08:34,None,4,2
Is order of argparse --help output officially defined?,28219,19,2016-09-27.23:35:18,12260,4,1
Is python-3-5-0.exe compiled with SSE2 instrutions? If so should we mention this?,25361,20838,2015-10-11.22:17:40,16632,4,2
Is shared lib building broken on trunk for Mac OS X?,4472,15,2009-01-10.16:33:51,925,4,2
Is the BlockingIOError exception an aborted idea?,7786,11758,2010-01-27.01:49:35,None,4,2
Is the default value assignment of a function parameter evaluated multiple times if it is Parameter=None,26458,23519,2016-02-29.10:30:45,12260,4,2
Is there a nested loop limit?,986720,3532,2004-07-07.17:36:33,3,4,2
Is there just no PRINT statement any more? Or it just doesn't work.,1101,4033,2007-09-06.14:47:39,5,4,2
Is this a regular expression library bug?,27586,24301,2016-07-22.20:22:33,None,4,2
is(upper/lower/title) are not exactly correct,13822,4455,2014-08-03.16:37:33,None,4,1
is_finished not exported by zlib,6485,10072,2009-07-14.22:38:08,None,4,2
is_multipart and walk should document their treatment of 'message' parts.,18854,9663,2014-09-27.19:39:55,9663,4,2
is_package missing so can't use -m,18422,7274,2017-02-18.11:51:14,37,4,2
is_zipfile false positives,28494,17551,2018-01-30.16:35:26,15623,4,1
isabspath receiving path value of None in distutils.dist.py,20809,19086,2014-02-28.19:59:55,None,4,2
isalpha bug,4314,9558,2008-11-13.15:57:45,None,4,2
isapi.samples.advanced.py fix,1126187,3594,2007-02-14.10:55:22,None,4,2
"isbuiltin, isroutine, etc.",23525,18516,2015-02-28.05:51:26,12260,4,1
isdir bad behaviouring (PR#408),210685,2,2000-09-13.10:29:06,5,4,2
isdir behavior getting odder on UNC path,513572,413,2004-06-02.10:05:43,10,4,2
"isdir should be a local symbol, not exported",15647,169,2012-08-14.15:46:41,None,4,2
isinstance and weakref proxies.,749722,4676,2014-02-03.17:12:24,None,4,1
isinstance checks in os.path.normcase redundant with os.fspath,30427,18315,2017-05-23.00:13:03,None,4,1
isinstance depends on import form,467267,499,2002-09-16.21:58:18,5,4,2
isinstance documentation: explain behavior when type is a tuple,25432,22694,2015-10-28.07:16:54,155,4,2
isinstance error message,560250,66,2002-06-05.12:56:25,66,4,2
isinstance fails to recognize instance,965562,1779,2004-06-03.13:40:37,None,4,2
isinstance failure in 2.5 Beta 2,1521726,2706,2006-07-17.09:22:27,None,4,2
isinstance is 4x as slow as in 2.5 because the common case raises,2303,3818,2008-07-13.18:38:06,5,2,2
isinstance is called a more times that needed in ntpath,15275,14147,2014-07-23.17:46:54,15623,4,2
isinstance is calling ob.__getattribute__ as a fallback instead of object.__class__.__get__,32683,25661,2018-01-27.00:00:05,None,4,1
isinstance not functioning as documented,12203,14357,2011-05-30.04:30:34,None,4,2
isinstance swallows exceptions,1574217,2860,2010-12-11.04:03:51,None,3,2
Isinstance() behavior is not consistent with the document,33417,26814,2018-05-04.21:42:38,12260,4,2
isinstance() doesn't *quite* work on ExtensionClasses,224106,44,2000-12-04.15:50:09,83,4,2
isinstance() fails depending on how modules imported,1249615,2330,2005-08-11.17:43:20,None,4,2
isinstance() fails to identify obj class,563730,854,2002-06-04.09:35:14,None,4,2
isinstance() should respect __class__,532767,749,2003-02-12.03:41:06,5,3,2
"isinstance(... ,collections.Callable) fails with oldstyle class instances",7624,11651,2010-03-08.15:35:44,11184,2,2
"isinstance(anything, MetaclassThatDefinesInstancecheck) raises instead of returning False",2325,3818,2009-05-13.22:28:50,None,4,2
"isinstance(obj, object) returns True for _old style_ class instances",14671,15891,2012-04-29.12:23:30,None,4,2
"isinstance(x, collections.Iterator) can return True, when x isn't iterable",10565,11409,2010-11-30.01:19:59,1427,4,2
isinstance.__doc__ is somewhat irritating,1670167,3919,2007-03-16.08:34:00,None,4,2
islice doesn't accept large stop values,6305,10221,2014-06-23.05:39:16,114,4,2
islink and stat follow_symlinks are inconsistent on Windows,29250,16413,2017-01-12.10:53:22,None,4,1
ISO 8601 datetime process,23468,20823,2015-02-15.22:19:45,None,4,2
ISO C cleanup,10359,1440,2013-03-22.21:54:20,None,4,2
ISO-2022 seeking forgets state,25863,14751,2016-01-20.02:09:55,None,4,1
iso-2022-jp crashes,1005078,8,2004-08-08.13:18:10,1298,4,2
iso-8859-11 missing from codecs table,24894,7047,2015-09-24.07:23:20,12260,4,2
iso-latin-1 strings and functions lower & upper,1026480,336,2004-09-14.00:12:59,None,4,2
iso-xxx/cp1252 inconsistencies in Python 2.* not in 3.*,3995,9101,2008-10-01.19:38:45,None,4,2
iso6937 encoding missing,24339,21928,2017-05-16.03:25:45,15623,5,1
ISO8859-9 broken,1324237,1934,2005-10-24.15:32:34,4,4,2
Isolated mode doesn't ignore PYTHONHASHSEED,26122,1309,2017-05-15.08:50:42,None,4,1
isSequenceType returns True for dict subclasses (<> 2.3),1575169,2224,2007-02-07.22:24:39,114,4,2
isspace(0xa0) is true on Mac OS X,7072,10371,2010-04-18.15:12:12,925,4,2
issubclass can fail after module reloading,22550,15623,2014-10-08.18:21:07,None,4,2
issubclass doc improvement,16437,3095,2012-11-08.23:46:28,12260,4,1
issubclass segfaults on objects with weird __getattr__,30570,22984,2017-06-09.12:42:34,None,4,1
"issubclass without registration only works for ""one-trick pony"" collections ABCs.",23864,348,2015-04-13.17:27:58,12260,4,1
issubclass() and isinstance() error messages,402681,16,2001-01-12.16:06:17,5,4,2
issubclass() should accept iterables in 2nd arg,17157,14620,2013-02-09.13:49:44,None,4,1
"issubclass(NotSubclassOfObject, InstanceOfAbcMeta) fails instead of returning False",1747,3818,2008-01-07.06:11:37,3818,4,2
"issubclass(obj, abc.ABC) causes a segfault",32999,25071,2018-03-23.09:43:17,None,4,2
Issue a python 3 warning when old style classes are defined.,21231,9612,2015-02-10.08:49:31,None,4,2
Issue a warning if Setup.in is newer than Setup,401275,12,2000-08-31.16:54:32,12,4,2
issue a warning when populating a CPython type dict with non-string keys,11455,9716,2014-07-11.14:52:26,14,4,1
Issue building viewable docs with newer sphinx (default theme -> classic),24832,9663,2016-01-16.05:41:10,None,4,2
Issue catching KeyboardInterrupt while reading stdin,10837,13561,2014-07-12.22:13:49,None,4,1
issue from python in encode base64 with Json Model,25075,22440,2015-09-12.00:59:27,None,4,2
Issue in Dictionary fromkeys,29552,25564,2017-02-14.12:10:24,None,4,2
Issue in enum documentation,29666,2377,2017-03-02.11:48:04,12260,4,2
Issue in extending documentation,29975,25900,2017-04-07.19:29:47,12260,4,2
