Authors,Year,Title,Journal,DOI,Abstract,"Additional Link URL",Keywords,"PMID Number","Link to PubMed page","Citation Information","ISSN Number"
"Kjos N, Hendrix CL, Thomason ME",2022,"Perceived medical care quality during COVID-19 illness links socioeconomic disadvantage to vaccine hesitancy.","Preventive medicine reports",10.1016/j.pmedr.2022.102020,"Maximizing vaccine uptake is critical for the optimal implementation of COVID-19 immunization programs. Indicators of socioeconomic status (SES) have been associated with variations in COVID-19 vaccine uptake in the United States. The present study investigates COVID-19 vaccination behavior in individuals with history of COVID-19 infection, with the specific goal of understanding whether experiences during illness explain socioeconomic disproportionalities in vaccine uptake. We leveraged a large sample of adults ( = 1584) infected with COVID-19 in NYC to examine this question, investigating whether specific experiences during illness explained the association between socioeconomic status and COVID-19 vaccine hesitancy. Data from this study were collected during February and March 2021. Principal component analysis was used to create three composite variables that measure distinct COVID-19 related experiences: infection-related health impacts, pandemic-related psychosocial disruption, and perceived quality of medical care during COVID-19 illness. Neither infection-related impacts nor psychosocial disruption were related to vaccine hesitancy after adjusting for related sociodemographic covariates. However, perceptions of higher quality care received during COVID-19 illness predicted decreased COVID-19 vaccine hesitancy. Furthermore, mediation analysis revealed that perceived care quality during COVID-19 illness mediate the relationship between objective socioeconomic risk and COVID-19 vaccine hesitancy. These findings highlight patient-reported care quality during illness as a novel target that may increase vaccine uptake among socioeconomically vulnerable populations.
",,"Coronavirus, Perceived care quality, Poverty, Socioeconomic status, Vaccination hesitancy",36245805,https://pubmed.ncbi.nlm.nih.gov/36245805,"Kjos N, Hendrix CL, Thomason ME. Perceived medical care quality during COVID-19 illness links socioeconomic disadvantage to vaccine hesitancy. Preventive medicine reports. 2022/10/11. 10.1016/j.pmedr.2022.102020. PMID: 36245805. ",
"Tooley UA, Park AT, Leonard JA, Boroshok AL, McDermott CL, Tisdall MD, Bassett DS, Mackey AP",2022,"The Age of Reason: Functional Brain Network Development during Childhood.","The Journal of neuroscience : the official journal of the Society for Neuroscience",10.1523/JNEUROSCI.0511-22.2022,"Human childhood is characterized by dramatic changes in the mind and brain. However, little is known about the large-scale intrinsic cortical network changes that occur during childhood because of methodological challenges in scanning young children. Here, we overcome this barrier by using sophisticated acquisition and analysis tools to investigate functional network development in children between the ages of 4 and 10 years ([Formula: see text]; 50 female, 42 male). At multiple spatial scales, age is positively associated with brain network segregation. At the system level, age was associated with segregation of systems involved in attention from those involved in abstract cognition, and with integration among attentional and perceptual systems. Associations between age and functional connectivity are most pronounced in visual and medial prefrontal cortex, the two ends of a gradient from perceptual, externally oriented cortex to abstract, internally oriented cortex. These findings suggest that both ends of the sensory-association gradient may develop early, in contrast to the classical theories that cortical maturation proceeds from back to front, with sensory areas developing first and association areas developing last. More mature patterns of brain network architecture, controlling for age, were associated with better visuospatial reasoning abilities. Our results suggest that as cortical architecture becomes more specialized, children become more able to reason about the world and their place in it. Anthropologists have called the transition from early to middle childhood the &#8220;age of reason&#8221;, when children across cultures become more independent. We employ cutting-edge neuroimaging acquisition and analysis approaches to investigate associations between age and functional brain architecture in childhood. Age was positively associated with segregation between cortical systems that process the external world and those that process abstract phenomena like the past, future, and minds of others. Surprisingly, we observed pronounced development at both ends of the sensory-association gradient, challenging the theory that sensory areas develop first and association areas develop last. Our results open new directions for research into how brains reorganize to support rapid gains in cognitive and socioemotional skills as children reach the age of reason.
",,"childhood, development, functional network, graph theory, reasoning",36192151,https://pubmed.ncbi.nlm.nih.gov/36192151,"Tooley UA, Park AT, Leonard JA, Boroshok AL, McDermott CL, Tisdall MD, Bassett DS, Mackey AP. The Age of Reason: Functional Brain Network Development during Childhood. The Journal of neuroscience : the official journal of the Society for Neuroscience. 2022/10/03. 10.1523/JNEUROSCI.0511-22.2022. PMID: 36192151. ",
"Spann MN, Wisnowski JL,  , Smyser CD,  , Howell B, Dean DC",2022,"The Art, Science, and Secrets of Scanning Young Children.","Biological psychiatry",10.1016/j.biopsych.2022.09.025,,,,36336497,https://pubmed.ncbi.nlm.nih.gov/36336497,"Spann MN, Wisnowski JL,  , Smyser CD,  , Howell B, Dean DC. The Art, Science, and Secrets of Scanning Young Children. Biological psychiatry. 2022/09/29. 10.1016/j.biopsych.2022.09.025. PMID: 36336497. ",
"Nagaraj UD, Kline-Fath BM, Zhang B, Vannest JJ, Ou X, Lin W, Acheson A, Grewen K, Grant PE, Merhar SL",2022,"MRI Findings in Third-Trimester Opioid-Exposed Fetuses, With Focus on Brain Measurements: A Prospective Multicenter Case-Control Study.","AJR. American journal of roentgenology",10.2214/AJR.22.28357," The opioid epidemic has profoundly affected infants born in the United States, as in utero opioid exposure increases the risk of cognitive and behavioral problems in childhood. Scarce literature has evaluated prenatal brain development in fetuses with opioid exposure in utero (hereafter opioid-exposed fetuses).  The purpose of this study is to compare opioid-exposed fetuses and fetuses without opioid exposure (hereafter unexposed fetuses) in terms of 2D biometric measurements of the brain and additional pregnancy-related assessments on fetal MRI.  This prospective case-control study included patients in the third trimester of pregnancy who underwent investigational fetal MRI at one of three U.S. academic medical centers from July 1, 2020, through December 31, 2021. Fetuses were classified as opioid exposed or unexposed in utero. Fourteen 2D biometric measurements of the fetal brain were manually assessed and used to derive four indexes. Measurements and indexes were compared between the two groups by use of multivariable linear regression models, which were adjusted for gestational age (GA), fetal sex, and nicotine exposure. Additional pregnancy-related findings on MRI were evaluated.  The study included 65 women (mean age, 29.0 ± 5.5 [SD] years). A total of 28 fetuses (mean GA at the time of MRI, 32.2 ± 2.5 weeks) were opioid-exposed, and 37 fetuses (mean GA at the time of MRI, 31.9 ± 2.7 weeks) were unexposed. In the adjusted models, seven measurements were smaller ( < .05) in opioid-exposed fetuses than in unexposed fetuses: cerebral frontooccipital diameter (93.8 ± 7.4 vs 95.0 ± 8.6 mm), bone biparietal diameter (79.0 ± 6.0 vs 80.3 ± 7.1 mm), brain biparietal diameter (72.9 ± 7.7 vs 74.1 ± 8.6 mm), corpus callosum length (37.7 ± 4.0 vs 39.4 ± 3.7 mm), vermis height (18.2 ± 2.7 vs 18.8 ± 2.6 mm), anteroposterior pons measurement (11.6 ± 1.4 vs 12.1 ± 1.4 mm), and transverse cerebellar diameter (40.4 ± 5.1 vs 41.4 ± 6.0 mm). In addition, in the adjusted model, the frontoocccipital index was larger ( = .02) in opioid-exposed fetuses (0.04 ± 0.02) than in unexposed fetuses (0.04 ± 0.02). Remaining measures and indexes were not significantly different between the two groups ( > .05). Fetal motion, cervical length, and deepest vertical pocket of amniotic fluid were not significantly different ( > .05) between groups. Opioid-exposed fetuses, compared with unexposed fetuses, showed higher frequencies of both breech position (21% vs 3%,  = .03) and increased amniotic fluid volume (29% vs 8%,  = .04).  Fetuses with opioid exposure in utero had a smaller brain size and altered fetal physiology.  The findings provide insight into the impact of prenatal opioid exposure on fetal brain development.
",,"brain, fetal MRI, opioid",36169547,https://pubmed.ncbi.nlm.nih.gov/36169547,"Nagaraj UD, Kline-Fath BM, Zhang B, Vannest JJ, Ou X, Lin W, Acheson A, Grewen K, Grant PE, Merhar SL. MRI Findings in Third-Trimester Opioid-Exposed Fetuses, With Focus on Brain Measurements: A Prospective Multicenter Case-Control Study. AJR. American journal of roentgenology. 2022/09/28. 10.2214/AJR.22.28357. PMID: 36169547. ",
"Hendrix CL, Ji L, Werchan DM, Majbri A, Trentacosta CJ, Burt SA, Thomason ME",2022,"Fetal Frontolimbic Connectivity Prospectively Associates With Aggression in Toddlers.","Biological psychiatry global open science",10.1016/j.bpsgos.2022.09.003,"Aggression is a major public health concern that emerges early in development and lacks optimized treatment, highlighting need for improved mechanistic understanding regarding the etiology of aggression. The present study leveraged fetal resting-state functional magnetic resonance imaging to identify candidate neurocircuitry for the onset of aggressive behaviors before symptom emergence.
",,"Aggression, Development, Emotion regulation, Fetal brain, Frontolimbic, Resting-state functional connectivity",37881555,https://pubmed.ncbi.nlm.nih.gov/37881555,"Hendrix CL, Ji L, Werchan DM, Majbri A, Trentacosta CJ, Burt SA, Thomason ME. Fetal Frontolimbic Connectivity Prospectively Associates With Aggression in Toddlers. Biological psychiatry global open science. 2022/09/21. 10.1016/j.bpsgos.2022.09.003. PMID: 37881555. ",
"Pfund GN, Spears I, Norton SA, Bogdan R, Oltmanns TF, Hill PL",2022,"Sense of purpose as a potential buffer between mental health and subjective cognitive decline.","International psychogeriatrics",10.1017/S1041610222000680,"Purposeful adults may experience greater cognitive resilience because sense of purpose may help buffer against the effects of depressive symptoms and loneliness. We also evaluated whether these associations differed by race.
",,"cognitive impairment, depression, health aging, loneliness",36111484,https://pubmed.ncbi.nlm.nih.gov/36111484,"Pfund GN, Spears I, Norton SA, Bogdan R, Oltmanns TF, Hill PL. Sense of purpose as a potential buffer between mental health and subjective cognitive decline. International psychogeriatrics. 2022/09/16. 10.1017/S1041610222000680. PMID: 36111484. ",
"Park AT, Richardson H, Tooley UA, McDermott CL, Boroshok AL, Ke A, Leonard JA, Tisdall MD, Deater-Deckard K, Edgar JC, Mackey AP",2022,"Early stressful experiences are associated with reduced neural responses to naturalistic emotional and social content in children.","Developmental cognitive neuroscience",10.1016/j.dcn.2022.101152,"How do children&#8217;s experiences relate to their naturalistic emotional and social processing? Because children can struggle with tasks in the scanner, we collected fMRI data while 4-to-11-year-olds watched a short film with positive and negative emotional events, and rich parent-child interactions (n = 70). We captured broad, normative stressful experiences by examining socioeconomic status (SES) and stressful life events, as well as children&#8217;s more proximal experiences with their parents. For a sub-sample (n = 30), parenting behaviors were measured during a parent-child interaction, consisting of a picture book, a challenging puzzle, and free play with novel toys. We characterized positive parenting behaviors (e.g., warmth, praise) and negative parenting behaviors (e.g., harsh tone, physical control). We found that higher SES was related to greater activity in medial orbitofrontal cortex during parent-child interaction movie events. Negative parenting behaviors were associated with less activation of the ventral tegmental area and cerebellum during positive emotional events. In a region-of-interest analysis, we found that stressful life events and negative parenting behaviors were associated with less activation of the amygdala during positive emotional events. These exploratory results demonstrate the promise of using movie fMRI to study how early experiences may shape emotional, social, and motivational processes.
",,"Affect, Children, Emotion processing, Movie fMRI, Parent-child interaction, Reward",36137356,https://pubmed.ncbi.nlm.nih.gov/36137356,"Park AT, Richardson H, Tooley UA, McDermott CL, Boroshok AL, Ke A, Leonard JA, Tisdall MD, Deater-Deckard K, Edgar JC, Mackey AP. Early stressful experiences are associated with reduced neural responses to naturalistic emotional and social content in children. Developmental cognitive neuroscience. 2022/09/16. 10.1016/j.dcn.2022.101152. PMID: 36137356. ",
"Werchan DM, Thomason ME, Brito NH",2022,"OWLET: An automated, open-source method for infant gaze tracking using smartphone and webcam recordings.","Behavior research methods",10.3758/s13428-022-01962-w,"Groundbreaking insights into the origins of the human mind have been garnered through the study of eye movements in preverbal subjects who are unable to explain their thought processes. Developmental research has largely relied on in-lab testing with trained experimenters. This constraint provides a narrow window into infant cognition and impedes large-scale data collection in families from diverse socioeconomic, geographic, and cultural backgrounds. Here we introduce a new open-source methodology for automatically analyzing infant eye-tracking data collected on personal devices in the home. Using algorithms from computer vision, machine learning, and ecological psychology, we develop an online webcam-linked eye tracker (OWLET) that provides robust estimation of infants&#8217; point of gaze from smartphone and webcam recordings of infant assessments in the home. We validate OWLET in a large sample of 7-month-old infants (N = 127) tested remotely, using an established visual attention task. We show that this new method reliably estimates infants&#8217; point-of-gaze across a variety of contexts, including testing on both computers and mobile devices, and exhibits excellent external validity with parental-report measures of attention. Our platform fills a significant gap in current tools available for rapid online data collection and large-scale assessments of cognitive processes in infants. Remote assessment addresses the need for greater diversity and accessibility in human studies and may support the ecological validity of behavioral experiments. This constitutes a critical and timely advance in a core domain of developmental research and in psychological science more broadly.
",,"Development, Infancy, Online studies, Webcam eye tracking",36070130,https://pubmed.ncbi.nlm.nih.gov/36070130,"Werchan DM, Thomason ME, Brito NH. OWLET: An automated, open-source method for infant gaze tracking using smartphone and webcam recordings. Behavior research methods. 2022/09/07. 10.3758/s13428-022-01962-w. PMID: 36070130. ",
"He S, Feng Y, Grant PE, Ou Y",2022,"Deep Relation Learning for Regression and Its Application to Brain Age Estimation.","IEEE transactions on medical imaging",10.1109/TMI.2022.3161739,"Most deep learning models for temporal regression directly output the estimation based on single input images, ignoring the relationships between different images. In this paper, we propose deep relation learning for regression, aiming to learn different relations between a pair of input images. Four non-linear relations are considered: &#8220;cumulative relation,&#8221; &#8220;relative relation,&#8221; &#8220;maximal relation&#8221; and &#8220;minimal relation.&#8221; These four relations are learned simultaneously from one deep neural network which has two parts: feature extraction and relation regression. We use an efficient convolutional neural network to extract deep features from the pair of input images and apply a Transformer for relation learning. The proposed method is evaluated on a merged dataset with 6,049 subjects with ages of 0-97 years using 5-fold cross-validation for the task of brain age estimation. The experimental results have shown that the proposed method achieved a mean absolute error (MAE) of 2.38 years, which is lower than the MAEs of 8 other state-of-the-art algorithms with statistical significance (p",,,35320092,https://pubmed.ncbi.nlm.nih.gov/35320092,"He S, Feng Y, Grant PE, Ou Y. Deep Relation Learning for Regression and Its Application to Brain Age Estimation. IEEE transactions on medical imaging. 2022/08/31. 10.1109/TMI.2022.3161739. PMID: 35320092. ",
"Hruschak JL, Palopoli AC, Thomason ME, Trentacosta CJ",2022,"Maternal-fetal attachment, parenting stress during infancy, and child outcomes at age 3 years.","Infant mental health journal",10.1002/imhj.22004,"Maternal-fetal attachment (MFA), a woman&#8217;s relationship with and affiliative behaviors toward her unborn child, has been linked to near-term infant physical and developmental outcomes. However, further longitudinal research is needed to understand whether the impact of MFA extends past the earliest years of life. The current study explored relationships between MFA and child socioemotional competence and behavior problems at age 3 and whether parenting stress mediated the association between MFA and child outcomes. Data were collected from 221 primarily Black/African-American mothers who completed a scale of MFA during pregnancy. Mothers reported on parenting stress at infant age 7 months and reported on child socioemotional competence and problem behaviors at child age 3 years. In path analyses, MFA was directly associated with child socioemotional competence at age 3 years, but an indirect association between MFA and socioemotional competence via parenting stress was not significant. We also observed a significant indirect association between lower MFA and child internalizing behavior problems via parenting stress that was related to maternal dissatisfaction regarding interactions with her child. Findings suggest that assessing MFA may serve as a means to identify dyads who would benefit from support to promote individual health outcomes.
",,"Erziehungsstress, Mots clés: attachement maternel-foetal, Mutter-Fötus-Bindung, afectividad materno-fetal, child problem behaviors, competencia socioemocional, comportamientos problemáticos del niño, compétence socio-émotionnelle, estrés de crianza, externalisation, externalizing, internalisation, internalizing, kindliches Problemverhalten, maternal-fetal attachment, parenting stress, problèmes de comportement de l'enfant, socioemotional competence, sozioemotionale Kompetenz, stress de parentage, الكلمات المفتاحية: الارتباط بين الأم والجنين ، إجهاد الرعاية الوالدية ، الكفاءة الاجتماعية والعاطفية ، سلوكيات الطفل الصعبة, キーワード: 母-胎児の愛着、育児ストレス、社会情動的能力、子どもの問題行動, 儿童问题行为, 关键词: 母胎依恋, 社交情感能力, 育儿压力",35962730,https://pubmed.ncbi.nlm.nih.gov/35962730,"Hruschak JL, Palopoli AC, Thomason ME, Trentacosta CJ. Maternal-fetal attachment, parenting stress during infancy, and child outcomes at age 3 years. Infant mental health journal. 2022/08/13. 10.1002/imhj.22004. PMID: 35962730. ",
"Hendrix CL, Werchan D, Lenniger C, Ablow JC, Amstadter AB, Austin A, Babineau V, Bogat GA, Cioffredi LA, Conradt E, Crowell SE, Dumitriu D, Elliott AJ, Fifer W, Firestein M, Gao W, Gotlib I, Graham A, Gregory KD, Gustafsson H, Havens KL, Hockett C, Howell BR, Humphreys KL, Jallo N, King LS, Kinser PA, Levendosky AA, Lonstein JS, Lucchini M, Marcus R, Monk C, Moyer S, Muzik M, Nuttall AK, Potter AS, Rogers C, Salisbury A, Shuffrey LC, Smith BA, Smyser CD, Smith L, Sullivan E, Zhou J, Brito NH, Thomason ME",2022,"Geotemporal analysis of perinatal care changes and maternal mental health: an example from the COVID-19 pandemic.","Archives of women's mental health",10.1007/s00737-022-01252-6,"Our primary objective was to document COVID-19 induced changes to perinatal care across the USA and examine the implication of these changes for maternal mental health. We performed an observational cross-sectional study with convenience sampling using direct patient reports from 1918 postpartum and 3868 pregnant individuals collected between April 2020 and December 2020 from 10 states across the USA. We leverage a subgroup of these participants who gave birth prior to March 2020 to estimate the pre-pandemic prevalence of specific birthing practices as a comparison. Our primary analyses describe the prevalence and timing of perinatal care changes, compare perinatal care changes depending on when and where individuals gave birth, and assess the linkage between perinatal care alterations and maternal anxiety and depressive symptoms. Seventy-eight percent of pregnant participants and 63% of postpartum participants reported at least one change to their perinatal care between March and August 2020. However, the prevalence and nature of specific perinatal care changes occurred unevenly over time and across geographic locations. The separation of infants and mothers immediately after birth and the cancelation of prenatal visits were associated with worsened depression and anxiety symptoms in mothers after controlling for sociodemographic factors, mental health history, number of pregnancy complications, and general stress about the COVID-19 pandemic. Our analyses reveal widespread changes to perinatal care across the US that fluctuated depending on where and when individuals gave birth. Disruptions to perinatal care may also exacerbate mental health concerns, so focused treatments that can mitigate the negative psychiatric sequelae of interrupted care are warranted.
",,"Coronavirus, Depression, Mental health, Postpartum, Pregnancy, Prenatal care",35962855,https://pubmed.ncbi.nlm.nih.gov/35962855,"Hendrix CL, Werchan D, Lenniger C, Ablow JC, Amstadter AB, Austin A, Babineau V, Bogat GA, Cioffredi LA, Conradt E, Crowell SE, Dumitriu D, Elliott AJ, Fifer W, Firestein M, Gao W, Gotlib I, Graham A, Gregory KD, Gustafsson H, Havens KL, Hockett C, Howell BR, Humphreys KL, Jallo N, King LS, Kinser PA, Levendosky AA, Lonstein JS, Lucchini M, Marcus R, Monk C, Moyer S, Muzik M, Nuttall AK, Potter AS, Rogers C, Salisbury A, Shuffrey LC, Smith BA, Smyser CD, Smith L, Sullivan E, Zhou J, Brito NH, Thomason ME. Geotemporal analysis of perinatal care changes and maternal mental health: an example from the COVID-19 pandemic. Archives of women's mental health. 2022/08/13. 10.1007/s00737-022-01252-6. PMID: 35962855. ",
"Lowe JR, DiDomenico J, Stephen JM, Roberts MH, Rodriguez DE, Bakhireva LN",2022,"Early developmental trajectory of children with prenatal alcohol and opioid exposure.","Pediatric research",10.1038/s41390-022-02252-z,"With significant increases in opioid use/misuse and persistent high prevalence of prenatal alcohol exposure (PAE), identifying infants at risk for long-term developmental sequelae due to these exposures remains an urgent need. This study reports on developmental outcomes in young children from a prospective cohort, ENRICH-1, which recruited pregnant women and followed up maternal-infant pairs.
",,,35948606,https://pubmed.ncbi.nlm.nih.gov/35948606,"Lowe JR, DiDomenico J, Stephen JM, Roberts MH, Rodriguez DE, Bakhireva LN. Early developmental trajectory of children with prenatal alcohol and opioid exposure. Pediatric research. 2022/08/10. 10.1038/s41390-022-02252-z. PMID: 35948606. ",
"Durbin CE, Wilson S, MacDonald AW",2022,"Integrating development into the Research Domain Criteria (RDoC) framework: Introduction to the special section.","Journal of psychopathology and clinical science",10.1037/abn0000767,"The goal of this Special Section is to highlight the generativity of taking a developmental perspective toward the RDoC framework that considers developmental processes and principles and the environmental and contextual processes relevant at different ages and developmental stages. The 9 papers in this Special Section and 2 invited commentaries exemplify and highlight sophisticated efforts to integrate development and principles of developmental psychopathology into the RDoC framework. In so doing, the papers both demonstrate how a developmental perspective can bolster strengths of the RDoC approach and identify notable gaps and shortcomings in how the RDoC framework, assumptions, and constructs are currently conceptualized. There are critical tensions between conducting developmentally informed and informative RDoC research. Our measures and research designs are often outstripped by the challenge of testing our ambitious ideas. Examining the causal transactions between individual differences in RDoC dimensions and normative maturational tasks, supportive and hindering contexts, and the potential moderation of associations by developmental history will produce important information about the development, manifestation, and course of psychopathology. Addressing these gaps holds great potential for identifying preventive-intervention targets, impactful intervention settings, and environmental and contextual supports. (PsycInfo Database Record (c) 2022 APA, all rights reserved).
",,,35901385,https://pubmed.ncbi.nlm.nih.gov/35901385,"Durbin CE, Wilson S, MacDonald AW. Integrating development into the Research Domain Criteria (RDoC) framework: Introduction to the special section. Journal of psychopathology and clinical science. 2022/08/01. 10.1037/abn0000767. PMID: 35901385. ",
"Mestre CT, Excellent D, Jaynes S, Louis-Jacques AF",2022,"Innovations in Breastfeeding Support.","Clinical obstetrics and gynecology",10.1097/GRF.0000000000000736,"Despite the numerous benefits that breastfeeding confers to those who breastfeed and their infants, the United States&#8217; exclusive breastfeeding rates and any breastfeeding rates at 12 months remain low and inequitable. This public health crisis has been prioritized in the US Healthy People 2030 goals. Current evidence-based practices to support lactation have afforded limited progress, thus, achieving national breastfeeding goals requires innovative ideas in thinking, technology, and care. This article highlights potential innovative strategies in the field of lactation to improve outcomes and work toward achieving health equity, while underscoring the critical role that perinatal caregivers play in lactation support.
",,,35894738,https://pubmed.ncbi.nlm.nih.gov/35894738,"Mestre CT, Excellent D, Jaynes S, Louis-Jacques AF. Innovations in Breastfeeding Support. Clinical obstetrics and gynecology. 2022/07/25. 10.1097/GRF.0000000000000736. PMID: 35894738. ",
"Thomason ME, Hendrix CL, Werchan D, Brito NH",2022,"Perceived discrimination as a modifier of health, disease, and medicine: empirical data from the COVID-19 pandemic.","Translational psychiatry",10.1038/s41398-022-02047-0,"Increasing reports of long-term symptoms following COVID-19 infection, even among mild cases, necessitate systematic investigation into the prevalence and type of lasting illness. Notably, there is limited data regarding the influence of social determinants of health, like perceived discrimination and economic stress, that may exacerbate COVID-19 health risks. Here, 1,584 recovered COVID-19 patients that experienced mild to severe forms of disease provided detailed medical and psychosocial information. Path analyses examined hypothesized associations between discrimination, illness severity, and lasting symptoms. Secondary analyses evaluated sex differences, timing of infection, and impact of prior mental health problems. Post hoc logistic regressions tested social determinants hypothesized to predict neurological, cognitive, or mood symptoms. 70.6% of patients reported presence of one or more lasting symptom after recovery. 19.4% and 25.1% of patients reported lasting mood or cognitive/memory problems. Perceived discrimination predicted increased illness severity and increased lasting symptom count, even when adjusting for sociodemographic factors and mental/physical health comorbidities. This effect was specific to stress related to discrimination, not to general stress levels. Further, patient perceptions regarding quality of medical care influenced these relationships. Finally, illness early in the pandemic is associated with more severe illness and more frequent lasting complaints. Lasting symptoms after recovery from COVID-19 are highly prevalent and neural systems are significantly impacted. Importantly, psychosocial factors (perceived discrimination and perceived SES) can exacerbate individual health risk. This study provides actionable directions for improved health outcomes by establishing that sociodemographic risk and medical care influence near and long-ranging health outcomes. All data from this study have been made publicly available.
",,,35840584,https://pubmed.ncbi.nlm.nih.gov/35840584,"Thomason ME, Hendrix CL, Werchan D, Brito NH. Perceived discrimination as a modifier of health, disease, and medicine: empirical data from the COVID-19 pandemic. Translational psychiatry. 2022/07/15. 10.1038/s41398-022-02047-0. PMID: 35840584. ",
"Liljenwall H, Lean RE, Smyser TA, Smyser CD, Rogers CE",2022,"Parental ADHD and ASD symptoms and contributions of psychosocial risk to childhood ADHD and ASD symptoms in children born very preterm.","Journal of perinatology : official journal of the California Perinatal Association",10.1038/s41372-022-01463-w,"Examine maternal and paternal ADHD and ASD symptoms in relation to very preterm (VPT) and full-term (FT) children&#8217;s ADHD and ASD symptoms.
",,,35840709,https://pubmed.ncbi.nlm.nih.gov/35840709,"Liljenwall H, Lean RE, Smyser TA, Smyser CD, Rogers CE. Parental ADHD and ASD symptoms and contributions of psychosocial risk to childhood ADHD and ASD symptoms in children born very preterm. Journal of perinatology : official journal of the California Perinatal Association. 2022/07/15. 10.1038/s41372-022-01463-w. PMID: 35840709. ",
"Mulligan DJ, Palopoli AC, van den Heuvel MI, Thomason ME, Trentacosta CJ",2022,"Frontal Alpha Asymmetry in Response to Stressor Moderates the Relation Between Parenting Hassles and Child Externalizing Problems.","Frontiers in neuroscience",10.3389/fnins.2022.917300,"Inequitable urban environments are associated with toxic stress and altered neural social stress processing that threatens the development of self-regulation. Some children in these environments struggle with early onset externalizing problems that are associated with a variety of negative long-term outcomes. While previous research has linked parenting daily hassles to child externalizing problems, the role of frontal alpha asymmetry (FAA) as a potential modifier of this relationship has scarcely been explored. The present study examined mother-child dyads, most of whom were living in low socioeconomic status households in an urban environment and self-identified as members of racial minority groups. Analyses focused on frustration task electroencephalography (EEG) data from 67 children (mean age = 59.0 months, SD = 2.6). Mothers reported the frequency of their daily parenting hassles and their child&#8217;s externalizing problems. Frustration task FAA moderated the relationship between parenting daily hassles and child externalizing problems, but resting FAA did not. More specifically, children with left frontal asymmetry had more externalizing problems as their mothers perceived more hassles in their parenting role, but parenting hassles and externalizing problems were not associated among children with right frontal asymmetry. These findings lend support to the motivational direction hypothesis and capability model of FAA. More generally, this study reveals how individual differences in lateralization of cortical activity in response to a stressor may confer differential susceptibility to child behavioral problems with approach motivation (i.e., left frontal asymmetry) predicting externalizing problems under conditions of parental stress.
",,"EEG, child, externalizing problem behavior, family environment, frontal alpha asymmetry (FAA), parenting daily hassles, stress, urban",35864992,https://pubmed.ncbi.nlm.nih.gov/35864992,"Mulligan DJ, Palopoli AC, van den Heuvel MI, Thomason ME, Trentacosta CJ. Frontal Alpha Asymmetry in Response to Stressor Moderates the Relation Between Parenting Hassles and Child Externalizing Problems. Frontiers in neuroscience. 2022/07/05. 10.3389/fnins.2022.917300. PMID: 35864992. ",
"Ji L, Hendrix CL, Thomason ME",2022,"Empirical evaluation of human fetal fMRI preprocessing steps.","Network neuroscience (Cambridge, Mass.)",10.1162/netn_a_00254,"Increased study and methodological innovation have led to growth in the field of fetal brain fMRI. An important gap yet to be addressed is optimization of fetal fMRI preprocessing. Rapid developmental changes, imaged within the maternal compartment using an abdominal coil, introduce novel constraints that challenge established methods used in adult fMRI. This study evaluates the impact of (1) normalization to a group mean-age template versus normalization to an age-matched template; (2) independent components analysis (ICA) denoising at two criterion thresholds; and (3) smoothing using three kernel sizes. Data were collected from 121 fetuses (25-39 weeks, 43.8% female). Results indicate that the mean age template is superior in older fetuses, but less optimal in younger fetuses. ICA denoising at a more stringent threshold is superior to less stringent denoising. A larger smoothing kernel can enhance cross-hemisphere functional connectivity. Overall, this study provides improved understanding of the impact of specific steps on fetal image quality. Findings can be used to inform a common set of best practices for fetal fMRI preprocessing.
",,"Denoising, Fetal fMRI, Functional connectivity, Normalization, Preprocessing, Smoothing",36204420,https://pubmed.ncbi.nlm.nih.gov/36204420,"Ji L, Hendrix CL, Thomason ME. Empirical evaluation of human fetal fMRI preprocessing steps. Network neuroscience (Cambridge, Mass.). 2022/07/01. 10.1162/netn_a_00254. PMID: 36204420. ",
"Boroshok AL, Park AT, Fotiadis P, Velasquez GH, Tooley UA, Simon KR, Forde JCP, Delgado Reyes LM, Tisdall MD, Bassett DS, Cooper EA, Mackey AP",2022,"Individual differences in frontoparietal plasticity in humans.","NPJ science of learning",10.1038/s41539-022-00130-1,"Neuroplasticity, defined as the brain&#8217;s potential to change in response to its environment, has been extensively studied at the cellular and molecular levels. Work in animal models suggests that stimulation to the ventral tegmental area (VTA) enhances plasticity, and that myelination constrains plasticity. Little is known, however, about whether proxy measures of these properties in the human brain are associated with learning. Here, we investigated the plasticity of the frontoparietal system by asking whether VTA resting-state functional connectivity and myelin map values (T1w/T2w ratios) predicted learning after short-term training on the adaptive n-back (n = 46, ages 18-25). We found that stronger baseline connectivity between VTA and lateral prefrontal cortex predicted greater improvements in accuracy. Lower myelin map values predicted improvements in response times, but not accuracy. Our findings suggest that proxy markers of neural plasticity can predict learning in humans.
",,,35739201,https://pubmed.ncbi.nlm.nih.gov/35739201,"Boroshok AL, Park AT, Fotiadis P, Velasquez GH, Tooley UA, Simon KR, Forde JCP, Delgado Reyes LM, Tisdall MD, Bassett DS, Cooper EA, Mackey AP. Individual differences in frontoparietal plasticity in humans. NPJ science of learning. 2022/06/23. 10.1038/s41539-022-00130-1. PMID: 35739201. ",
