Project/Initiative Name,Country/Countries,Year,Organisation,Description,Novelty,Impact & Results,"Other relevant URL(s) - eg reports, press",Source,Language
Efficiency in Fiscal Audit,Greece,2022,Ministry of Finance/General Secretariat of Fiscal Audit,"The traditional sample audit used by our government means that it will take decades to be able to audit all state-funded organizations for the first time. The innovation introduces a new fiscal audit procedure for these entities. With the help of the internal control units and the principles of continuous auditing, the goal of a fast and effective fiscal audit is met in just one year, which is good for the taxpayers. 

The innovation consists of the development of an interactive online fiscal assessment procedure (app) aiming to support the traditional fiscal audit of directly or indirectly state-financed entities. The fiscal evaluation of these entities is carried out by a new methodology, which consists of the online filling in two questionnaires. These are independently filled in by the entity’s administration and by the entity’s internal audit unit. Depending on the submitted response and documentation, the app is designed to derive the entity’s fiscal performance score, generate automated briefing documents, and send them to the responsible administration. The documents indicate a score; highlight the deficiencies in the financial management system; the kind of improvements that need to be carried out; and set the time of the next evaluation. This re-evaluation focuses on the points that need improvement.

The web fiscal performance score of the entities is being analyzed (big data analysis) and a risk map is being created. This map shows the number and areas of focus of the audits, which are done on-site (for example, the auditors do the audit at the entity's headquarters to get a good idea of how it manages its money). The app's database is linked to other Ministry of Finance databases so that the answers and documents that the entities upload can be checked and double-checked. The entities were judged based on both quantitative key performance indicators (KPIs) and qualitative indicators (financial management mistakes that were brought to light and fixed).","In contrast to traditional audits, which take a long time and include only a small sample of entities, the innovation applies an automated and effective audit to all of them. The benefit of the innovation is that it spares a significant number of working hours on an annual basis, which leads to an increase in productivity. In addition, too, the audit process was extended to all entities, resulting in wide audit coverage. The extraction of audit data from 100% of the number of public entities contributes decisively to the prevention of fraud at the expense of their operation and financial management.","In the current period, the innovation planning team works with the internal communication network to spread the idea throughout the Ministry of Finance's administrative hierarchy. The responses so far seem to be positive.",https://innovation.gov.gr/innovationscat/financial-control-optimization-automation-system-with-data-utilization-and-risk-analysis/ ,Call for Innovations,English
Anti-Corruption Innovation Project,Nigeria,2021,Accountability Lab Nigeria,"We are working with procurement agencies in 3 states to deploy tech-based open contracting and monitoring dashboards in an effort to transform their public procurement processes. These States have been characterized by challenges around transparency and accountability but have demonstrated willingness to reform their public procurement processes and champion anti-corruption initiatives. The value addition of this initiative will be evidenced in the improved governance of public services.

This project proposes to prototype, test, and deploys tech-based open contracting and monitoring dashboards as part of an effort to transform public procurement processes from paper-based, analog – to future-proof and digital-enabled systems that leverage open data systems for transparent and inclusive decision-making in the procurement of public goods and services. The prototyping journey will be undertaken collaboratively with the State Level Procurement Agencies and will draw from open contracting portals using OCDS standards, business intelligence, and risk analysis dashboards.

The project works to ensure citizen-targeted and data-driven actions lead our engagements in fighting corrupt practices in procurement and lead the collective action that will build accountability and trust with the communities and stakeholders, thereby leading to ownership of the initiative and the possibilities to advocate for the review of the federal Procurement Act to encourage new technologies. Ultimately, the project will increase public awareness and oversight of public procurement, help citizens to monitor and report on development programme and budget performance, as well as quality service delivery.",The value addition of this initiative is evidenced by the improved governance of the public procurement processes and delivery of public services demonstrated through the adoption of technologies and innovation such as tech-based open contracting and monitoring dashboards.,"The current state of the project is working with a technical embedded consultant who is supporting the three states to do the data entry of paper-based procurement documents onto the OCDS to ensure there is enough data to mine and analyze. Further, we have a collaborative hub of civil society, Start-Ups, tech-preneurs, Innovators, media, engaged in sustained solution-building for procurement and contracting reforms across the three states.","https://twitter.com/UNDPNigeria/status/1580856011291734016?s=20&amp;t=bvuJHvRbK4huSxSBghyAcg 
https://twitter.com/GovernorObaseki/status/1498767479782449158?s=20&amp;t=JPRkILphoJnYJStlepDWkg 
https://twitter.com/ekitistategov/status/1490706582140825618 ",Call for Innovations,English
Rapid Evaluation of Provincial Integrated Anti-Poverty Strategy,South Africa,2022,Eastern Cape Socio-Economic Consultative Council,"The Rapid Evaluation of the Eastern Cape Government's Provincial Integrated Anti-Poverty Strategy seeks to examine the implementation successes and challenges of multifaceted interventions seeking to address poverty in the Eastern Cape. Results from this rapid evaluation will inform the implementation plans of this anti-poverty strategy going forward. Rapid Evaluations are an innovation in policy evaluation whose purpose was to produce performance evidence in shorter time periods (6-12 weeks).

The anti-poverty strategy is constituted by the following interventions: early childhood and basic education; quality healthcare; food security and nutrition; creation of work opportunities through the Extended Public Works Programme, community works and entrepreneurship programmes; and improving access to basic services and assets. Women, youth, the elderly and people living with disabilities are key designated targets of the anti-poverty strategy. 

The rapid evaluation will make use of a disaggregated sample and mixed methodology, looking at qualitative and quantitative data. Through this rapid evaluation innovation, the government of the Eastern Cape government could adopt rapid evaluation as a key evidence source for policymaking and decision-making, and a key performance management tool.","This rapid evaluation is innovative in the provincial (subnational) government sphere because it seeks to uncover key implementation experiences and build public sector evaluation capacities simultaneously. Evaluation is a nascent practice especially at subnational level, and this rapid evaluation and its inclusive and participatory nature is an invention that will build a culture of government reflection on performance, and stimulate appetite for future evaluations and evidence therefrom.","This rapid evaluation is in progress. Already, various stakeholders involved in the implementation of the Provincial anti-Poverty Strategy were convened to agree on the rapid evaluation matrix (purpose of the evaluation and key evaluation questions to be addressed by the evaluation).

A focus group with stakeholders is already planned in the ensuing data collection phase, which will reveal the degree to which the Provincial Integrated Anti-Poverty Strategy has been implemented in a coordinated manner as planned.",,Research,English
My Canteen - a support platform for the food transition in collective catering,France,2021,"Beta.gouv.fr, digital services incubator of the DINUM MASA, Ministry of Agriculture and Food Sovereignty","In France, 1 meal out of 5 is eaten outside the home, and collective catering represents nearly 4 billion meals served per year in more than 80,000 service locations. Collective catering concerns us all. Ma cantine is the first free, public platform to support managers of collective catering in their efforts to: reduce food waste, promote the development of sustainable and quality products, diversify protein sources.

The EGAlim law (2018), which resulted from the ""Etats généraux de l'alimentation"", set an ambitious objective of at least 50% sustainable or quality products, including at least 20% organic products, as of January 1, 2022, in the meals served by all public or public service catering. These objectives are also a priority reform of the Government and one of the mandatory measures of the Eco-responsible Public Services scheme through measure 12, which can also be adopted by local authorities.

""My Cantine"" is a governmental digital platform for managers of collective restaurants and their guests, developed by the Ministry of Agriculture and Food Sovereignty (MASA) and the Interministerial Digital Directorate (DINUM), built in an agile mode with users. It is a tool to support the transition to a healthier and more sustainable food in collective catering, promoting the appropriation and reporting of the legislative provisions mentioned above.

The platform benefits from the State's startup approach, and is therefore in continuous improvement and user-centered; via the beta.gouv.fr program. We are in close collaboration with our users (local authorities, guests and their parents,...) and institutional partners, in particular via our sponsor and funder MASA (DGAL, Directorate General for Food and Food Sovereignty).","The problems solved for our different typical users, i.e. all citizens: 
- the guests become stakeholders of their food at work, at school,... via the publication of their establishment's information (on /nos-cantines)
- managers are put in contact with each other, they are technically equipped and accompanied by our team to understand where they are, where they can improve on all subjects (organic and sustainable purchases, waste reduction, plastic substitution, diversification of protein sources...)
- the administration can finally have a global assessment, an inventory and evaluation tool for a public policy with major stakes
- Today, more than 15,000 establishments are registered on the platform.","- Inform, equip and support managers to help them improve on their objectives. One measure our impact in the number of visits, registration to our webinars. 
- We have conducted satisfaction surveys that show that their knowledge of the law has increased thanks to my canteen. On support, we measure our impact in terms of the number of restaurants present on the platform, the creation of a diagnosis as well as on the use of our tools. 
- Make data transparent and facilitate communication of initiatives for diners and administrators
- The expansion of the system to include the collective catering of private establishments carrying out private activities will make the ""my canteen"" system all the more necessary and impactful.",https://ma-cantine.agriculture.gouv.fr ,Call for Innovations,French
Government as a Platform,Brazil,2022,Digital Government Secretariat of the Ministry of Economy,"Companies, profit or non-profit, can use personal data held by the government to improve the quality of their services, increase the efficiency of their production processes, among others. The government of Brazil has built a model for the reuse of data by the non-governmental sector. Personal data is only made available after the citizen's express consent and the guarantee of preservation of all their rights related to privacy.

Brazil's government has identified that the data it holds has the potential to boost the country's economy. The Government with Platform project, then, aims to establish a service delivery model that connects the governmental and non-governmental sectors by empowering citizens in the use of their data. The project's objectives are: 1) improve the experience of users in the consumption of public and private services of their interest;
2) Stimulate innovation and economic activity in the country.

Currently, Brazilian citizens need to present documents and certificates when applying for public or private services. This work, which is largely manual, requires time from the citizen to obtain the documentation, physically or digitally, and deliver it to the institution with which he or she is dealing. This institution, in turn, needs to do some checking, also manual, to avoid errors and fraud. But many documents and certificates are generated by the government itself! To the extent that they are available for automated consultation, neither the citizen nor the institution will need to spend time on manual tasks, because the institution's system will obtain the data in an automated manner and directly from the government's databases.

At this moment, we are conducting the first pilot project with 5 companies from the non-governmental sector. The pilot involves the technological solutions for accreditation, identification, and privacy, with the implementation of the rules that will be established in the regulatory framework to test the sharing of the following citizen data: name, email, phone number, and gov.br account level (bronze, silver, or gold), the latter determining the degree of authentication reliability, the safest being biometric validation or digital certificate.","This is a unique project because by creating a central platform, which can be reused across government, it provides a trusted environment for sharing personal data with institutions in other sectors of society in order to provide increasingly better services to citizens.

The government already makes data available to the non-governmental sector through open data. However, because of the right to privacy, personal data is not made available in open format, with very few exceptions. After several discussions from the point of view of data protection, it has been understood that current legislation allows the sharing of personal data held by the government with the nongovernmental sector, but that numerous data protection guarantees are needed to make the model viable.","In the pilot phase, the impact for citizens is aimed at reducing the time it takes to create an account with a private institution (according to the methodology for impact with interoperability, attached). Since authentication is now done through the government platform (gov.br), the user does not need to create a new password or confirm new data via SMS or email.

For the private institution, in addition to simplifying the process, the risk of authentication fraud is significantly reduced, because it ensures that the citizen has undergone a physical validation process or some biometric validation at the government's bases.",,Call for Innovations,Portuguese
InnovaFOSIS,Chile,2018 - 2022,Fund for Solidarity and Social Investment,"Innova FOSIS created a new way of designing public policies that opened public problems to solutions from civil society, the private sector and academia. It allows a space within the State to test solutions on a small scale, through the execution of learning pilots. It is an open innovation competition, followed by a pilot model for learning management and finally, a mechanism to scale the best solutions to public policy.

InnovaFOSIS seeks to solve the difficulties faced by the States in solving increasingly complex social problems, which require policy designs and social programs that are more sophisticated and relevant to the realities of the citizens. The program seeks, especially, to address the difficulty within the public structure to test new ideas due to the requirements and procedures governing the creation of new public offerings. 

The goal in terms of innovation is the creation or improvement of public policies, focused on citizens that respond to their needs and solve complex problems that require articulation at the territorial level. 

InnovaFOSIS was carried out using public service design methodology, a detailed analysis was made of the shortcomings of the innovation contest managed by FOSIS (Idea Fund) and based on these results and the identified needs of all the actors and users identified, the new program was co-created, which responds to the incentives and needs of the participating actors including: ministries, public services, internal officials of the National and Regional FOSIS, end users, regional authorities, specialists, civil society, etc. The methodological design of InnovaFOSIS was in charge of the Public Innovation Laboratory of the Pontificia Universidad Católica de Chile.","Innova FOSIS is not only a competitive fund for piloting, but a program that takes charge of the piloting process, providing active support and a methodology to the pilot teams. This ensures learning, because we believe that without learning management it is very difficult to install innovative initiatives within the State. Innova FOSIS offers a different vision in the process of creating public policy because it breaks with the traditional process, based on developing a long planning that goes directly to implementation, proposing a process with innovation logic, which includes a space for prototyping, testing and piloting with real users before scaling up. This allows learning to begin early and risks to be mitigated prior to scaling, thus considerably reducing the uncertainties of a new solution.","The Innova FOSIS pilots achieved a high level of learning in all dimensions. Of the pilots funded in the last 4 years, 11 of these have had some level of scaling up, either by public or private institutions. 

The Innova FOSIS program has two annual indicators at the level of purpose: Percentage of users graduated from social innovation interventions (expected results: 90% (2019), 91% (2020) and 90% (2021) and Projects that improve the conditions of poverty and vulnerability of its participants 61% (2020), 71% (2021) 60% (2021). 

To measure these indicators, the program prepares baseline measurements at the beginning of the pilots and at the end of the pilots. In the future, it is expected that scalable projects will receive additional funding for a medium-scale results measurement stage to accurately determine the effectiveness of the intervention, thus facilitating the conversion to public policy.",https://innova.fosis.cl/es/ ,Call for Innovations,Spanish
Idarathon,Morocco,2019 (2022 reboot) ,Ministry of Digital Transition and Administration Reform,"The IDARATHON competition is a response to the imminent need for agility and resilience in the Moroccan administration. IDARATHON is a contraction of the terms IDARA 'administration' and MARATHON, a competition in which civil servants from administrations are challenged to innovate. During this competition, several challenges are identified and form the basis of the process of ideation and prototyping of solutions that respond to them.

Within the framework of the trainings provided by the e-TAMKEEN program, several are oriented on innovation and digital transformation of the administration. Aware of the importance of innovation within the public sector, the program's action extends to the field with a bank of concrete projects. IDARATHON is an opportunity for each civil servant to concretize his or her vision of the administration of the future, accompanied by renowned experts from the first sketches of their projects to their implementation in the field.

The approach of a competition like IDARATHON can be summarized as follows: 
- Strengthen the skills of Human Resources through the appropriation of new creative and agile work methods and through ""Learning by Doing"".
- Bringing civil servants closer to the challenges faced by the Moroccan public administration at the local and central levels. 
- To accompany innovative public projects from start to finish, from ideation to realization and scaling up. 

IDARATHON has several dedicated platforms that serve as a communication channel but also as a tool for tracking and monitoring projects. The official website www.idarathon.ma allows the general public to be informed of the latest news related to the competition. It also has a backoffice that allows teams to efficiently manage participation requests, thus triggering a series of actions that will accompany the IDARATHONIAN/NE until the end of the current edition.","By its participatory format, the participants in this competition are civil servants who design solutions to improve the services of their respective administrations.

The solutions/innovations that emerge from IDARATHON will then be carried/tested by the administrations. The competition is on three stages: 
- Pre-competition: Setting up of challenges - Identification of innovations/projects.
- Competition: During 2 weeks, participants work on their projects.
- Post-competition: Coaching and support for the winning projects for 5 months, followed by testing and implementation in the partner ministries.","- 6 innovative projects came out of the first edition of IDARATHON, more than 100 civil servants benefited from trainings on design thinking and on public intrapreneurship.
- Hot and cold evaluations were conducted by the project to measure results and impacts. An independent firm was hired to conduct an impact study on IDARATHON, based on the BARKELEY matrix. 
- IDARATHON is expected to become a bank of projects for administrations throughout the year and to allow administrations to express themselves on current issues.
- 101 registered 
- 14 ministerial departments
- 54 hours of training
- 30 Beta testers 
- 19 contributors from the public sector",www.idarathon.ma ,Call for Innovations,French
DIANA Robot - Diagnosis of the Accessibility Level of governmental electronic portals,Brazil,2021,3rd Regional Labor Court (TRT-MG),"The robot was developed to perform web page accessibility tests, in an automated manner in the Federal Government tool called Accessibility Assessment and Simulator on Websites (ASES). With this, web developers and content managers of government electronic portals receive a diagnosis for the correction or improvement of the digital accessibility of these portals, in order to allow universal access of people with disabilities to electronic government.

To meet the audit deadline, a robot (computer program) was created to perform the accessibility tests of the selected web pages, in an automated way, in the ASES tool. Thus, the robot took 3 hours to submit the 595 web pages to ASES and collect the results of this evaluation, which is roughly equivalent to the evaluation of 200 pages per hour or 3.3 web pages per minute.

For comparison, if each of these 595 pages were submitted manually by a person in the ASES tool, it would take approximately 50 hours of work, considering that it takes an average of 5 minutes to submit a web page to evaluation, collect the results, and save them to a file for future analysis.

The results of the accessibility tests, both ASES and HTML markup of the electronic portal, were presented to the TRT-MG Administration and to the audited units, which presented an action plan with the purpose of meeting the recommendations for promoting digital accessibility resulting from the results of the robot's tests.

In the actions proposed by the audited units, it was verified that the results of the tests carried out by the robot were being used by the developers of judicial and administrative systems and by the administrators of TRT-MG's electronic portals to correct or improve digital accessibility in the computerized systems and in the contents published on the web, in order to allow universal access to these information technology resources by people with disabilities (judges, public servants and citizens).","The robot is an innovation for promoting digital accessibility why:
1. It allows web developers and content managers of electronic portals to test, in an automated manner, a large number of pages, gaining efficiency in the evaluation of compliance with eMAG's digital accessibility recommendations;
2. Submits each web page of the electronic government portal to the ASES evaluation and collects the results of this evaluation in approximately 20 seconds, which is approximately equivalent to the evaluation of 3.3 web pages per minute or 200 pages per hour, while a person would take 5 minutes to perform this same procedure manually;
3. It contributes to the implementation of accessibility recommendations in e-government, so as to eliminate accessibility barriers which may hinder or prevent access by people with disabilities to the government's digital services made available through its electronic portals.","Due to the Accessible Labor Justice Award received by the creator of the robot, several initiatives related to digital accessibility are underway in TRT-MG, such as, for example, a working group was created to remedy failures of document accessibility, as Ordinance TRT3/GP n. 344/2022.

The first step is expected to create the digital accessibility ranking of the electronic portals of the 25 organs of the Labor Justice, with the purpose of stimulating them to improve the digital accessibility of their portals, in a clearer and more standardized way to society, making it easier to access justice. After defining the criteria for this ranking, it is proposed that the 90 organs of the Judiciary Branch provided for in the Constitution of the Republic of 1988 be included in this ranking, thus creating the Judiciary Branch's Digital Accessibility Ranking.

Quantitatively, 595 accessibility tests were performed on the ASES, and 5,530 referring to the eMag recommendations.",https://www.tst.jus.br/web/asdin/boas-praticas-em-acessibilidade/tecnologica/robo-avaliador-do-nivel-de-acessibilidade ,Call for Innovations,Portuguese
BUPi - One Stop Shop,Portugal,2020,eBUPi - Simplified Land Digital Registry Mission Unit – Portugal,"BUPi, is a one-stop shop, developed to integrate different sources of information about property ownership and land management, gathering knowledge on the, until now, unknown land areas and sharing this knowledge with several Government Agencies in order to create economic and social value for citizens and for the country. It ensures a simple and digital solution that citizens can use to identify and geolocation their properties, according to the once-only principle.

BUPi brings a new approach to land identification and the georeferentiation process, as a platform wherein citizens can proactively identify their own properties, marking them on top of official mapping information, supported by data and tools for faster location recognition. 

It brings about the following benefits:
- Interoperability with multiple Government Agencies, integrating various datasets as layers in the mapping system used for identification of location and shape of the property.
- Process engineering and implementation for different business purposes, online or in one the counters in the municipalities, with the support of Habilitated Technicians working via a dedicated backoffice access.
- Direct access to the Registry Officials to a dedicated backoffice
- Availability of a set of dashboards, with information critical for performance tracking of the main goals and employee awareness.
- Calculation of land coverage metrics for transparent sharing of the project’s performance and better identification of data gaps.

To decrease the time needed for completion of each of these registry inputs in the platform, thus increasing the land knowledge growth rate, several approaches were followed:
- Integration of different datasets, in separate layers of the map;
- Development of an algorithm that, using data from BUPi’s own processes, tries to estimate the most probable location of the property targeted for identification.

BUPi platform runs in the Cloud, to support faster development cycles, reduce costs and become more flexible to adapt to different demands/requirements.","BUPi is making a difference by questioning old, heavy processes and re-thinking them in an integrated way. It is changing the way different entities work, breaking barriers, creating the basis for implementation of proper end-to-end data processes orchestration.

Property life cycle management is covered mainly by three Government Agencies. Although most business processes are internal, related to own competencies, there are hundreds of business processes that require interaction and data exchange, between these Agencies. All these data flows are manually driven and, in most cases, require paper documents exchanged between the Agencies. This yields huge workloads, manual data input in several systems and a long paper-trail, difficult to track. All these activities are slow, error-prone and sometimes impossible to execute in time. The costs are great, whether financial or other, less tangible and hard to quantify.","We have been able to swiftly gain momentum in knowing the Portuguese territory, and to begin the integration of many public and private organizations in our interoperability platform. BUPi functions not as a centralized repository of the information already existing within the partner entities, but as an interoperability platform through which the information can flow according to the pre-defined business rules.

The project’s partners can make use of this newly available information and, in turn, incorporate it in their business processes, allowing the innovation brought up by BUPi to propagate as an impactful digital transformation in these organizations. While still in its infancy, we know our partners, whether public or private, are already preparing for their own simplification revolution, which wouldn’t be possible without the information sharing paradigm allowed by our project BUPi.",https://bupi.gov.pt/ ,Call for Innovations,Portuguese
SDR Regional Data System - Education,Brazil,2022,Planus Brazil,"Small Brazilian cities do not have data systems to make decisions and develop efficient actions, which causes waste of budget and suffering to the population. The SDR allows the use of data in day-to-day management, sharing best practices and forwarding partnerships between neighboring cities to solve common problems that improve education. The 39 cities in the Paraíba Valley have never had a primary data system, this is the 1st regional tool for use by the local public sector.

This is the innovation of SDR Education with the potential to transform the reality of the public sector, the power to expand citizenship and the population's demands on services, and the possibility to be replicated for other sectors and regions of Brazil that have even more difficulties. It is about collecting reliable data at the service end, with the public servants participating, and, through BI, offering the treated data to present the results obtained in 1 year, in the pilot case, for education, so that managers can use them in the preparation of the annual planning, in the budget law.

In addition to identifying which neighboring cities have better performance so that they can learn from good practices or establish partnerships to provide solutions to similar problems, are the general objectives. As specific goals the project can 1. create a culture of data and improve the results of the public sector in education in all 39 cities; 2. establish at least 5 partnerships that bring efficiency in public spending and results for the population with shared solutions to similar problems and; 3. promote citizenship with the popular participation of universities, social organizations and civil society in accessing the data, demanding better quality public services.

The project's action plan was determined as a collective construction based on the experiences of a public policy manager from the company Planus do Brasil who has worked for 10 years in the public sector and knows the management of cities intimately. Added to the knowledge and experiences of FLUPP, which is a social organization dedicated for 10 years to the development of education in Brazil. ","The SDR is innovative because it works with primary data, collecting information on the ground together with the public servant. Different from the other works we have seen, which also play an important role in Brazilian society, but which collect and treat secondary data. In this system, information is filled in remotely by servers and is unreliable, being a scenario for corruption, or poor filling in due to technical incapacity, especially in the smaller cities. It is unique in fostering the meeting and connection of public agents to create shared solutions and partnerships that solve similar problems.","The feeling of care and affection expressed by public servants at the meeting to present the system was the first impact and result of innovation: having an efficient work tool that they themselves helped to build and that is shared with various professionals in the cities with which they relate in some way, generated an atmosphere of gratitude and hope.
After 3 months of the SDR being available for use, we will evaluate the practical effectiveness results as to: 1. were the decisions made in the education management of the municipal bodies based on consultation and analysis of the SDR; 2. were calls or meetings made with the public service of other cities to seek solutions or learn from good practices; and 3. were innovative and collective solutions created for a common problem in the cities?",https://app.powerbi.com/view,Call for Innovations,Portuguese
Public Ministry of Pernambuco Labs - MP Labs,Brazil,2018,Public Ministry of Pernambuco,"Considering the problems faced by the judiciary, MP Labs - an open innovation program - aimed to structure the Technological and Business Innovation Lab (MPLabs) to obtain innovative solutions to the institutional challenges and problems of this new era, as well as in the elaboration and feasibility of a Digital Transformation Strategy for the Public Prosecution Service of the State of Pernambuco (MPPE), generating benefits for MPPE's servers and society as a whole.

MPLabs, was executed in the period 2018 to 2022, implementing an open innovation model, whose collaborative development with Porto Digital's innovation ecosystem carried out 3 innovation cycles that enable the MP-PE to establish new products to serve the Judicial System. The open innovation process established by MPLabs from the inspiration of other innovation labs, is the legacy of MP-PE for the Brazilian public service. By using the Legal Framework for Science, Technology and Innovation, MPLabs has been attracting a lot of attention and interest from public agencies from various segments of the country. 

The methodology of the open innovation program of Porto Digital, Open Innovation Lab - OIL, was applied to the MP-PE yielding good results, by providing the collaborative creation of innovative solutions to complex challenges, enabling the promotion of new businesses, promoting the interaction and exchange of knowledge and experiences among different actors, and generating the critical mass from which innovative solutions and new scalable businesses can emerge. OIL has a structured methodology to deliver an innovation experience that provides an immersion in the client's internal opportunities and challenges, following a journey to discover possible partnerships with startups, Science and Technology Institutions and innovative companies around the world to meet their needs.

This structure of open innovation, based on a continuous process of digital empowerment, co-creation, agile development, validation and acceleration of new innovative solutions, is characterized as process innovation and culminated in product innovation after the completion of innovation cycles, namely:
- Cycle 1: 14 briefings (challenges); 40 companies (articulation and matchmaking); 12 prototypes and 4 MVPs (ideation and validation); 3 solutions (evolution)
- Cycle 2: 5 briefings (challenges); 104 companies (articulation and matchmaking); 10 prototypes and 5 MVPs (ideation and validation); 1 solution (evolution)
- Cycle Covid: 4 briefings (challenges); 543 ideas registered (articulation and matchmaking); 71 MVPs (ideation and validation); 8 solutions (evolution).","During the 5th Innovation Week of the Public Sector, the largest public innovation event in Latin America, held in November 2019 in the city of Brasília - DF, more than 3000 professionals from the segment gathered to discuss models, practices and national and international experiences. The event counted with the participation of government innovation labs from all over Brazil, where MPLabs was highlighted due to the proposition of an open innovation process to solve the problems faced in a government entity, providing innovative solutions to such problems. Denoting the ability to change the status operandis of the public sector, usually considered bureaucratic and not fast.","By driving innovation in the Brazilian public sector and helping other agencies follow suit, we are finding better ways to get effective results. In light of this, MPLabs launched in February 2020 a Manifesto for Open Innovation in the Public Sector, which can be accessed and signed at the following link: https://manifestomplabs.mppe.mp.br/ 

In the first innovation cycle two solutions went to the acceleration phase: Voxia and Assessora. The second cycle of innovation is in the stage of evaluating 5 MVPs (Minimum Viable Product): MP at School, Helena, Argus, Xerlock and Consensus.

During the management of the innovation project, agile methodologies were applied to guarantee the project's follow-up, monitored by follow-up indicators during the development/implementation sprint sessions.",https://www.mppe.mp.br/mppe/comunicacao/noticias/9029-mplabs-o-futuro-ja-comecou-no-ministerio-publico-de-pernambuco ,Call for Innovations,Portuguese
Public Ministry From Plan to Action - OKR MPMS,Brazil,2021,Public Ministry of Mato Grosso do Sul,"Our institutionalization plan was born right at the beginning of the project. We defined 4 pilot administrative areas for the first quarterly cycle, so that we could consolidate the methodology in the agency's Strategic Planning Secretariat, the secretariat responsible for the project's execution. At the end of this first quarterly cycle we had the voluntary adhesion of 12 more areas, ending it with 16 areas in total (HR, Finance, Administration Secretariat, IT, Cabinet Secretariats, among others).
In the second cycle we added some other administrative areas that had not yet adhered to the methodology, comprising the whole institutional environment area. 

In the subsequent cycles, we inserted the support areas to the State Prosecutors' Offices, such as the Operational Support Centers, the Inspector General's Office, the Superior School of MPMS, among others. This way we had reached a significant part of the project's goal, since we had adhesion and assiduous participation of all the administrative and institutional support areas.

Our great challenge would be to implement it in the execution area, that is, in all of the more than 230 public prosecutors' offices in the state, which we started in the month of 10/2022 with 6 pilots that are already having great results with the execution of the methodology.

At the beginning of the next cycle we already have more than 30 public prosecutors' offices that have already volunteered to use the methodology, and we expect to have more than 230 of them adhering to it by the end of 2023.","Objective Key Results (OKRs) have served as an instrument of revolution for large global companies, and now we are innovating by adopting it for use in the Public Sector. The project is innovative in the entire public sphere, we were the first Brazilian Public Prosecutor's Office to adopt the OKRs methodology and one of the first worldwide success cases in public agencies, and this was published in the book ""Breaking The Chains of Bureaucracy"", by authors Marcos Barros and Chris Sheppard, available on Amazon.","'- 28 teams (areas) involved, 252 people; 1177 check-ins; 377 OKRs and 1092 KRs created; 139 OKRs Masters formed;
- In the first quarter, 91% of the indicators showed progress, with an average achievement of 94% of the goals;
- We had a 75% reduction in turnaround time for new IT requests, 94% reduction in interruption due to errors in document distribution, 40% reduction in report production time, and 20% reduction in new process distribution time; 
- Engagement and expressive productivity increase, transparency, prioritization and focus, communication between areas, agile management, cultural change and habituality, increase in efficiency and effectiveness in the quality and delivery time of activities and day-to-day work;
- To measure the results, we developed a BI panel.",,Call for Innovations,Portuguese
Mexico City's Open Data Portal: Data-driven Responses,Mexico,2022,Digital Public Innovation Agency (ADIP),"The Open Data Portal ensures that anyone, regardless of their technical knowledge, can move from doubts about Mexico City to data-driven answers. Through an interactive data visualization tool, we seek to transfer the power of analyzing government-generated information to the citizenry. The portal is innovative because it is the first to have such a robust visualization tool and to be developed entirely in open source.

The Digital Agency for Public Innovation, in coordination with the Public Administration Entities of Mexico City, has made available to citizens the Open Data Portal (available at https://datos.cdmx.gob.mx/) where anyone can consult, use and download the databases generated by the government.

Under the principle of accessibility, in 2022, with funding from Bloomberg Philanthropies and the technical expertise of DataSketch, we designed a strategy to reduce the opportunity cost of analyzing databases and eliminate information asymmetries. The main component of this strategy consists of an interactive visualization tool that allows anyone accessing the Open Data Portal to build maps, treemaps, bar, line, and scatter plots with just a few clicks. The guiding principle of the project is that anyone, regardless of their technical data skills, can move from questions about Mexico City to data-driven answers.

Mexico City's open data portal is built on an open source platform (CKAN) and features file-level download functionalities in a non-proprietary format (CSV), as well as a data API for querying through programming languages such as Javascript, Python and R. These functionalities, however, are useful almost exclusively for users with technical knowledge in data management and analysis. The new visualization tool, developed with R Shiny and connected to CKAN, seeks to compensate for these limitations and democratize access to information, providing a simple way to analyze and draw conclusions from data that is already open.

The main challenge was to design and develop a visualization tool generalizable to any dataset. That is, regardless of the structure, number of variables or file format, the tool is able to generate a visualization that facilitates data analysis.","The Mexico City Open Data Portal is innovative in two ways. 
- First, in a technological sense, it is the first open data portal developed entirely in open source software that has a robust and interactive visualization tool. It also represents a breakthrough for the open data community because the visualization tool - built with Shiny - connects, through a new extension, to the world's most widely used open source platform (CKAN).
- Secondly, it revolutionizes the Open Data policy by prioritizing the use and analysis of data over publication. In this sense, we promote data quality and accessibility to more and more people.","Mexico City's new open data portal is only a couple of months old, so it is not yet possible to speak of results, but rather of trends. One of the expected results is that more people will explore the Portal's data and generate new conversations in the public sphere. Since the launch of the new portal, the average number of monthly users has increased by 36%, from 50,000 to 68,000 users. Likewise, the average active interaction time with the site has increased from 45 seconds to one minute and 30 seconds, which is a good indication of the use of the visualization tool.

In the medium and long term, it is expected that the average number of monthly users will remain constant at at least 65 thousand users and that the number of visualizations generated with the tool and with data from the portal shared on social networks will increase.",https://datos.cdmx.gob.mx/ ,Call for Innovations,Spanish
