Document Name,Original Issue Date,Date Added to this List,Identifier,Topics,Description/Summary,URL
"Ecological Effects Test Guidelines: Terrestrial and Aquatic Plants, Cyanobacteria, and Terrestrial Soil Core Microcosm Test Guidelines, 850.4600, Rhizobium-Legume Toxicity",1/1/2012,2/28/2020,EPA 712-C-12-004,Test Guideline; Ecological Effects,"The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0154-0005
"Ecological Effects Test Guidelines: Terrestrial and Aquatic Plants, Cyanobacteria, and Terrestrial Soil Core Microcosm Test Guidelines, 850.4800, Plant Uptake and Translocation Test",1/1/2012,2/28/2020,EPA 712-C-12-002,Test Guideline; Ecological Effects,"The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0154-0006
"Ecological Effects Test Guidelines: Terrestrial and Aquatic Plants, Cyanobacteria, and Terrestrial Soil Core Microcosm Test Guidelines, 850.4900, Terrestrial Soil-Core Microcosm Test",1/1/2012,2/28/2020,EPA 712-C-12-003,Test Guideline; Ecological Effects,"The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0154-0007
"Ecological Effects Test Guidelines: Terrestrial Beneficial Insects, Invertebrates, and Soil and Wastewater Microorganisms Test Guidelines, 850.3020, Honey Bee Acute Contact Toxicity Test",1/1/2012,2/28/2020,EPA 712-C-12-019,Test Guideline; Ecological Effects,"The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0154-0016
"Ecological Effects Test Guidelines: Terrestrial Beneficial Insects, Invertebrates, and Soil and Wastewater Microorganisms Test Guidelines, 850.3030, Honey Bee Toxicity of Residues on Foliage",1/1/2012,2/28/2020,EPA 712-C-12-018,Test Guideline; Ecological Effects,"The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0154-0017
"Ecological Effects Test Guidelines: Terrestrial Beneficial Insects, Invertebrates, and Soil and Wastewater Microorganisms Test Guidelines, 850.3040, Field Testing for Pollinators",1/1/2012,2/28/2020,EPA 712-C-12-017,Test Guideline; Ecological Effects,"The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0154-0018
"Ecological Effects Test Guidelines: Terrestrial Beneficial Insects, Invertebrates, and Soil and Wastewater Microorganisms Test Guidelines, 850.3100, Earthworm Subchronic Toxicity Test",1/1/2012,2/28/2020,EPA 712-C-12-016,Test Guideline; Ecological Effects,"The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0154-0019
"Ecological Effects Test Guidelines: Terrestrial Beneficial Insects, Invertebrates, and Soil and Wastewater Microorganisms Test Guidelines, 850.3200, Soil Microbial Community Toxicity Test",1/1/2012,2/28/2020,EPA 712-C-12-015,Test Guideline; Ecological Effects,"The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0154-0020
"Ecological Effects Test Guidelines: Terrestrial Beneficial Insects, Invertebrates, and Soil and Wastewater Microorganisms Test Guidelines, 850.3300, Modified Activated Sludge, Respiration Inhibition Test",1/1/2012,2/28/2020,EPA 712-C-12-014,Test Guideline; Ecological Effects,"The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0154-0021
"Ecological Effects Test Guidelines: Terrestrial Wildlife Test Guidelines, 850.2000, Background and Special Considerations- Tests with Terrestrial Wildlife",1/1/2012,2/28/2020,EPA 712-C-12-026,Test Guideline; Ecological Effects,"The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0154-0009
"Ecological Effects Test Guidelines: Terrestrial Wildlife Test Guidelines, 850.2100, Avian Acute Oral Toxicity Test",1/1/2012,2/28/2020,EPA 712-C-12-025,Test Guideline; Ecological Effects,"The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0154-0010
"Ecological Effects Test Guidelines: Terrestrial Wildlife Test Guidelines, 850.2200, Avian Dietary Toxicity Test",1/1/2012,2/28/2020,EPA 712-C-12-024,Test Guideline; Ecological Effects,"The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0154-0011
"Ecological Effects Test Guidelines: Terrestrial Wildlife Test Guidelines, 850.2300, Avian Reproduction Test",1/1/2012,2/28/2020,EPA 712-C-12-023,Test Guideline; Ecological Effects,"The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0154-0012
"Ecological Effects Test Guidelines: Terrestrial Wildlife Test Guidelines, 850.2400, Wild Mammal Toxicity Testing",1/1/2012,2/28/2020,EPA 712-C-12-022,Test Guideline; Ecological Effects,"The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0154-0013
"Ecological Effects Test Guidelines: Terrestrial Wildlife Test Guidelines, 850.2500, Field Testing for Terrestrial Wildlife",1/1/2012,2/28/2020,EPA 712-C-12-021,Test Guideline; Ecological Effects,"The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0154-0014
Guidance for Use When Regurgitation is Observed in Avian Acute Toxicity,1/1/2012,2/28/2020,EPA 705-G-2020-3254,"Acute oral avian toxicity, Test guidelines",Recommends an alternative testing option when regurgitation is observed in passerine studies.,https://www.epa.gov/pesticide-science-and-assessing-pesticide-risks/guidance-use-when-regurgitation-observed-avian-acute
"OCSPP 850.3000: Background and Special Considerations- Tests with Terrestrial Beneficial Insects, Invertebrates and Microorganisms [EPA 712-C-020]",1/1/2012,2/28/2020,EPA 712-C-020,Test Guideline; Ecological Effects,"The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0154-0015
"OCSPP 850.4000: Background and Special Considerations- Tests with Terrestrial and Aquatic Plants, Cyanobacteria, and Terrestrial Soil-Core Microcosms [EPA 712-C-013]",1/1/2012,2/28/2020,EPA 712-C-013,Test Guideline; Ecological Effects,"The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0154-0022
PRN 2012-1: Material Safety Data Sheets as Pesticide Labeling,1/1/2012,2/28/2020,EPA 705-G-2020-0617,Pesticide Registration,This Notice updates and clarifies EPA’s determination in PRN 92-4 that a Material Safety Data Sheet that accompanies a pesticide product is considered part of the pesticide’s labeling but does not need EPA approval if it is consistent with 40CFR Part 156.,https://www.epa.gov/pesticide-registration/prn-2012-1-material-safety-data-sheets-pesticide-labeling
Letter to Representative Peter DeFazio clarifying why EPA no longer accredits MAP courses,1/1/2012,2/28/2020,EPA 705-G-2020-3149,Asbestos,Letter to Representative Peter DeFazio clarifying why EPA no longer accredits MAP courses,https://www.epa.gov/asbestos/asbestos-guidance-documents-pertaining-toxic-substances-control-act
Sustainable Futures / P2 Framework Manual,1/1/2012,2/28/2020,EPA 705-G-2020-3112,Sustainable Futures,"Sustainable Futures / P2 Framework Manual - Introduction, Table of Contents, Sections 1-14 and Appendices A-H",https://www.epa.gov/sustainable-futures/sustainable-futures-p2-framework-manual
PRN 2011-3: Standard Format for Data Submitted Under FIFRA and Certain Provisions of FFDCA,11/30/2011,2/28/2020,EPA 705-G-2020-0618,Pesticide Registration,This PR Notice updates and replaces Pesticide Registration Notice 86-5 and discusses both the recommended and the required procedures for submitting FIFRA and FFDCA data.,https://www.epa.gov/pesticide-registration/prn-2011-3-standard-format-data-submitted-under-fifra-and-certain-provisions
PRN 2011-2: Non-Dietary Exposure Task Force,11/23/2011,2/28/2020,EPA 705-G-2020-0619,Pesticide Registration,"This PR Notice includes information about an industry-wide task force, the Non-Dietary Exposure Task Force (NDEFT), including how registrants can participate or use data developed by the task force.",https://www.epa.gov/pesticide-registration/prn-2011-2-non-dietary-exposure-task-force
How to Use OECD Data Evaluation Record Templates,11/18/2011,2/28/2020,EPA 705-G-2020-0517,Pesticide Registration; Joint Review; Canadian Pest Management Regulatory Agency; Data Templates; Microbial Pesticides,This document describes the process of development of the OECD data evaluation record templates and provides examples of how to use them.,https://www.epa.gov/pesticide-registration/how-use-oecd-data-evaluation-record-templates
OECD Data Evaluation Record Templates,11/18/2011,2/28/2020,EPA 705-G-2020-0516,Pesticide Registration; Joint Review; Canadian Pest Management Regulatory Agency; Data Templates; Microbial Pesticides,See information about OECD templates used for writing data evaluation record for submitting studies for pesticide registrations.,https://www.epa.gov/pesticide-registration/oecd-data-evaluation-record-templates
Intent to ship a PCB sample off-site ,10/15/2011,2/28/2020,EPA 705-G-2020-3505,PCBs,EPA guidance that PCB waste samples may be shipped domestically without an exemption under 761.80.,https://www.epa.gov/pcbs/pcb-use-guidance-issued-epa
Amphibian Metamorphosis Assay,10/12/2011,2/28/2020,EPA 705-G-2020-3575,"Endocrine Disruptor Testing, test guideline, AMA, Amphibian Metamorphosis Assay, data evaluation spreadsheet template, DEST","Amphibian Metamorphosis Assay, 890.1100, Data Evaluation Spreadsheet Template.",https://www.epa.gov/sites/production/files/2015-07/890.1100_amphibian_metamorphosis_dest_10.12.11.xlsx
Pesticide Registration Manual: Registrant Summary of Pesticide Petitions for EPA's Notice of Filing,10/1/2011,2/28/2020,EPA 705-G-2020-0530,Pesticide Registration Manual; Electronic Submission,Provides a company with information to electronically prepare and submit a pesticide tolerance petition to EPA.,https://www.epa.gov/pesticide-registration/pesticide-registration-manual-registrant-summary-pesticide-petitions-epas
"Instructor Manual - LEAD Safety for Renovation, Repair, and Painting Model Certified Renovator Initial Training Course, EPA-740-R-09-001",10/1/2011,2/28/2020,EPA-740-R-09-001,Lead,"EPA RRP initial 8-hour renovation training course, instructor manual.",https://www.epa.gov/lead/epahud-model-renovator-training-course
"LEAD Safety for Renovation, Repair, and Painting Model Certified Renovator Refresher Training Course, Instructor Manual, EPA-740-R-09-003",10/1/2011,2/28/2020,EPA 740-R-09-003,Lead,"This course was developed by the U.S Environmental Protection Agency in collaboration with HUD to refresh the training of renovation, repair, and painting contractors.",https://www.epa.gov/lead/epahud-model-refresher-renovator-training-course
"Paint Chip Sample Collection Guide Lead Renovation, Repair and Painting Program",10/1/2011,2/28/2020,EPA 705-G-2020-2319,Lead,Provides step by step instruction in how to collect paint chip samples and submit them for analysis.,https://www.epa.gov/lead/paint-chip-sample-collection-guide-lead-renovation-repair-and-painting-program-october-2011
"Refresher Student Manual - LEAD Safety for Renovation, Repair, and Painting Model Certified Renovator Training Course, EPA-740-R-09-004 (pdf)",10/1/2011,2/28/2020,EPA 705-G-2020-0724,Lead,PDF copy of the RRP refresher training student manual,https://www.epa.gov/sites/default/files/2014-05/documents/refresher_renovator-student_oct2011_0.pdf
Small Entity Compliance Guide for Lead-Based Paint Activities Training and Certification for Renovation and Remodeling Section 402(c)(3),10/1/2011,2/28/2020,EPA 705-G-2020-0049,Lead-based Paint; Training; Renovation & Remodeling;,"Small Entity Compliance Guide for the Lead-based Paint Renovation, Repair and Painting regulation.",https://www.epa.gov/lead/small-entity-compliance-guide-renovate-right-epas-lead-based-paint-renovation-repair-and
"Steps to LEAD SAFE Renovation, Repair and Painting",10/1/2011,2/28/2020,EPA 740-K-11-001,Lead,"Information for contractors and homeowners on how to plan for and complete a home renovation, repair or painting project in pre-1978 housing and child-occupied facilities using lead-safe work practices.",https://www.epa.gov/lead/steps-lead-safe-renovation-repair-and-painting-october-2011
"Student Manual - LEAD Safety for Renovation, Repair, and Painting Model Certified Renovator Initial Training Course, EPA-740-R-09-002",10/1/2011,2/28/2020,EPA 740-R-09-002,Lead,"This course was developed by the U.S Environmental Protection Agency in collaboration with HUD to train renovation, repair, and painting contractors.",https://www.epa.gov/lead/student-manual-lead-safety-renovation-repair-and-painting-model-certified-renovator-initial
EPA ExpoBox (A Toolbox for Exposure Assessors),10/1/2011,2/28/2020,EPA 705-G-2020-3656,TSCA and FIFRA,"ExpoBox is a toolbox created to assist individuals from within government, industry, academia, and the general public with assessing exposure.",https://www.epa.gov/expobox
EPA Exposure Factors Handbook,10/1/2011,2/28/2020,EPA 705-G-2020-3657,TSCA,The Exposure Factors Handbook provides information on various physiological and behavioral factors commonly used in assessing exposure to environmental chemicals.,https://www.epa.gov/expobox/about-exposure-factors-handbook
Androgen Receptor Binding (Rat Prostate),10/1/2011,2/28/2020,EPA 705-G-2020-3370,"Endocrine Disruptor Testing, test guideline, Androgen Receptor Binding (Rat Prostate), 890.1150, Study Profile Template, SPT","Androgen Receptor Binding (Rat Prostate), 890.1150, Study Profile Template.",https://www.epa.gov/sites/production/files/2015-10/1150-androgen-cytosol-template.doc
Estrogen Receptor Binding,10/1/2011,2/28/2020,EPA 705-G-2020-3372,"Endocrine Disruptor Testing, test guideline, AMA, Amphibian Metamorphosis Assay, study profile template, SPT","Estrogen Receptor Binding, 890.1250, Study Profile Template",https://www.epa.gov/sites/production/files/2015-10/1250-estrogen-cytosol-template.doc
Fish Short-Term Reproduction,10/1/2011,2/28/2020,EPA 705-G-2020-3374,"Endocrine Disruptor Testing, test guideline, AMA, Amphibian Metamorphosis Assay, study profile template, SPT","Fish Short-Term Reproduction 890.1350, Study Profile Template",https://www.epa.gov/sites/production/files/2015-10/1350-fish-short-term-template.docx
Hershberger (Rat),10/1/2011,2/28/2020,EPA 705-G-2020-3375,"Endocrine Disruptor Testing, test guideline, AMA, Amphibian Metamorphosis Assay, study profile template, SPT","Hershberger, 890.1400, Study Profile Template",https://www.epa.gov/sites/production/files/2015-10/1400-hershberger-template.doc
Aromatase (Human Recombinant),9/30/2011,2/28/2020,EPA 705-G-2020-3577,"Endocrine Disruptor Screening Program, EDSP, Aromatase, data evaluation spreadsheet template, DEST","Aromatase (Human Recombinant), 890.1200, Data Evaluation Spreadsheet Template",https://www.epa.gov/sites/production/files/2015-07/890.1200_aromatase_dest_9.30.11.xlsx
Endocrine Disruptor Screening Program: Weight-of-Evidence Guidance Document; Availability,9/28/2011,2/28/2020,EPA 705-G-2020-3622,Endocrine Disruptor Screening Program; EDSP; Policy; EDSP List 1; Weight-of-Evidence,"Notice of Availability; EPA's Endocrine Disruptor Screening Program (EDSP) is announcing the availability of a final guidance document titled, “Weight-of-Evidence: Evaluating Results of EDSP Tier 1 Screening to Identify the Need for Tier 2 Testing.” This weight-of-evidence (WoE) guidance document was revised based on public and peer review comments and existing peer-reviewed EPA guidelines. This guidance document provides basic principles and criteria for application of a WoE approach to evaluate results from the battery of Tier 1 screening assays along with other scientific and technical information relevant to Tier 1 screening to determine whether or not a chemical has the potential to interact with the estrogen, androgen, or thyroid (E, A, or T) hormonal pathways of the endocrine system. The combined results and information will also be used to identify which tests and information may be needed for Tier 2 testing.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2010-0877-0020
Androgen Receptor Binding (Rat Prostate),9/20/2011,2/28/2020,EPA 705-G-2020-3576,"Endocrine Disruptor Screening Program, EDSP, Androgen Receptor Binding, data evaluation spreadsheet template, DEST","Androgen Receptor Binding, 890.1150, Data Evaluation Spreadsheet Template.",https://www.epa.gov/sites/production/files/2015-07/890.1150_ar-rpc_binding_assay_dest_9.20.11.xlsx
Estrogen Receptor Binding,9/17/2011,2/28/2020,EPA 705-G-2020-3578,"Endocrine Disruptor Screening Program, EDSP, Estrogen Receptor Binding, data evaluation spreadsheet template, DEST","Estrogen Receptor Binding, 890.1250, Data Evaluation Spreadsheet Template",https://www.epa.gov/sites/production/files/2015-07/890.1250_er-ruc_binding_assay_dest_9.17.11.xlsx
Estrogen Receptor Transcriptional Activation (Human Cell Line HeLa-9903),9/15/2011,2/28/2020,EPA 705-G-2020-3579,"Endocrine Disruptor Screening Program, EDSP, Estrogen Transcriptional Activation (Human Cell Line HeLa-9903), data evaluation spreadsheet template, DEST","Estrogen Receptor Transcriptional Activation (Human Cell Line HeLa-9903), 890.1300, Data Evaluation Spreadsheet Template",https://www.epa.gov/sites/production/files/2015-07/890.1300_erta_dest_9.15.11.xlsx
Endocrine Disruptor Screening Program Weight-of-Evidence: Evaluating Results of EDSP Tier 1 Screening to Identify the Need for Tier 2 Testing,9/14/2011,2/28/2020,EPA 705-G-2020-3587,"Weight-of-Evidence, WoE, EDSP, Tier 1 Screening","This guidance document provides basic principles and criteria for using a weight-of-evidence (WoE) approach for evaluation and interpretation of EDSP Tier 1 screening, which includes Tier 1 assay results and other information to identify candidate chemicals for Tier 2 testing.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2010-0877-0021
Fish Short-Term Reproduction,9/9/2011,2/28/2020,EPA 705-G-2020-3580,"Endocrine Disruptor Screening Program, EDSP, Fish short-term reproduction, data evaluation spreadsheet template, DEST","Fish Short-Term Reproduction, 890.1350, Data Evaluation Spreadsheet Template",https://www.epa.gov/sites/production/files/2015-07/fish_short_term_reproduction_dest_9.9.11.xlsx
Female Pubertal (Rat),9/7/2011,2/28/2020,EPA 705-G-2020-3582,"Endocrine Disruptor Screening Program, EDSP, Female Pubertal (Rat), data evaluation spreadsheet template, DEST","Aromatase (Human Recombinant), 890.1450, Data Evaluation Spreadsheet Template",https://www.epa.gov/sites/production/files/2015-07/female_pubertal_dest_9.7.11.xlsx
Hershberger (Rat),9/7/2011,2/28/2020,EPA 705-G-2020-3581,"Endocrine Disruptor Screening Program, EDSP, Hershberger (Rat), data evaluation spreadsheet template, DEST","Hershberger, 890.1400, Data Evaluation Spreadsheet Template",https://www.epa.gov/sites/production/files/2015-07/hershberger_dest_9.7.11.xlsx
Male Pubertal (Rat),9/7/2011,2/28/2020,EPA 705-G-2020-3583,"Endocrine Disruptor Screening Program, EDSP, Male Pubertal (Rat), data evaluation spreadsheet template, DEST","Male Pubertal (Rat), 890.1500, Data Evaluation Spreadsheet Template.",https://www.epa.gov/sites/production/files/2015-07/male_pubertal_dest_9.7.11.xlsx
Uterotrophic (Rat),9/7/2011,2/28/2020,EPA 705-G-2020-3585,"Endocrine Disruptor Screening Program, EDSP, Uterotrophic (Rat), data evaluation spreadsheet template, DEST","Uterotrophic (Rat), 890.1600, Data Evaluation Spreadsheet Template",https://www.epa.gov/sites/production/files/2015-07/uterotrophic_dest_9.7.11.xlsx
Steroidogenesis (Human Cell Line – H295R),9/3/2011,2/28/2020,EPA 705-G-2020-3584,"Endocrine Disruptor Screening Program, EDSP, Steroidogenesis (Human Cell Line - H295R), data evaluation spreadsheet template, DEST","Steroidogenesis (Human Cell Line - H295R) 890.1550, Data Evaluation Spreadsheet Template",https://www.epa.gov/sites/production/files/2015-07/890.1550_steroidogenesis_dest_9.30.11.xlsx
"Renovate Right: Important Lead Hazard Information for Families, Child Care Providers, and Schools",9/1/2011,2/28/2020,EPA 740-K-10-001,Lead,"General information about legal requirements for safe lead practices for homeowners, tenants, child care providers and parents during renovation activities.",https://www.epa.gov/lead/renovate-right-important-lead-hazard-information-families-child-care-providers-and-schools
Amphibian Metamorphosis Assay,9/1/2011,2/28/2020,EPA 705-G-2020-3369,"Endocrine Disruptor Testing, test guideline, AMA, Amphibian Metamorphosis Assay, study profile template, SPT","Amphibian Metamorphosis Assay, 890.1100, Study Profile Template.",https://www.epa.gov/sites/production/files/2015-10/1100-amphibian-template.doc
Uterotrophic (Rat),9/1/2011,2/28/2020,EPA 705-G-2020-3379,"Endocrine Disruptor Testing, test guideline, AMA, Amphibian Metamorphosis Assay, study profile template, SPT","Uterotrophic (Rat), 890.1600, Study Profile Template",https://www.epa.gov/sites/production/files/2015-10/1600-uterotrophic-template.docx
Alternatives Assessment Criteria for Hazard Evaluation,8/1/2011,2/28/2020,EPA 705-G-2020-0575,Safer Choice,DfE Alternatives Assessments evaluate priority chemicals and functional alternatives with the goal to inform substitution to safer alternatives.,https://www.epa.gov/saferchoice/alternatives-assessment-criteria-hazard-evaluation
Estrogen Receptor Transcriptional Activation (Human Cell Line HeLa-9903),8/1/2011,2/28/2020,EPA 705-G-2020-3373,"Endocrine Disruptor Testing, test guideline, AMA, Amphibian Metamorphosis Assay, study profile template, SPT","Estrogen Receptor Transcriptional Activation (Human Cell Line HeLa-9903), 890.1300, Study Profile Template",https://www.epa.gov/sites/production/files/2015-10/1300-erta-template.docx
Female Pubertal (Rat),8/1/2011,2/28/2020,EPA 705-G-2020-3376,"Endocrine Disruptor Testing, test guideline, AMA, Amphibian Metamorphosis Assay, study profile template, SPT","Female Pubertal (Rat), 890.1450, Study Profile Template",https://www.epa.gov/sites/production/files/2015-10/1450-female-pubertal-template.doc
Male Pubertal (Rat),8/1/2011,2/28/2020,EPA 705-G-2020-3377,"Endocrine Disruptor Testing, test guideline, AMA, Amphibian Metamorphosis Assay, study profile template, SPT","Male Pubertal (Rat), 890.1500, Study Profile Template.",https://www.epa.gov/sites/production/files/2015-10/1500-male-pubertal-template_0.doc
Aromatase (Human Recombinant),7/1/2011,2/28/2020,EPA 705-G-2020-3371,"Endocrine Disruptor Testing, test guideline, AMA, Amphibian Metamorphosis Assay, study profile template, SPT","Aromatase (Human Recombinant), 890.1200, Study Profile Template",https://www.epa.gov/sites/production/files/2015-10/1200-aromatase-template.doc
Steroidogenesis (Human Cell Line – H295R),7/1/2011,2/28/2020,EPA 705-G-2020-3378,"Endocrine Disruptor Testing, test guideline, AMA, Amphibian Metamorphosis Assay, study profile template, SPT","Steroidogenesis (Human Cell Line - H295R), 890.1550, Study Profile Template",https://www.epa.gov/sites/production/files/2015-10/1550-steroidogenesis-template.doc
PRN 2011-1: Residential Exposure Joint Venture,1/3/2011,2/28/2020,EPA 705-G-2020-0620,Pesticide Registration,"This PR Notice is to advise registrants of an industry-wide joint venture, titled the Residential Exposure Joint Venture (REJV), which has developed a national survey regarding residential consumer use/usage data for pesticides.",https://www.epa.gov/pesticide-registration/prn-2011-1-residential-exposure-joint-venture
"Model Renovation, Repair and Painting (RRP) Rule E-Learning Course Component Implementation Requirements",1/1/2011,2/28/2020,EPA 705-G-2020-2330,Lead,This document describes the requirements for e-learning courses. Your application must include a discussion of how you will comply with each requirement listed in this document.,https://www.epa.gov/lead/expedited-e-learning-course-approvals
Approaches to Estimate Consumer Exposure under TSCA,1/1/2011,2/28/2020,EPA 705-G-2020-3677,TSCA,"Introduction to estimating consumer exposures, explanation of available models, and why EPA uses them.",https://www.epa.gov/tsca-screening-tools/approaches-estimate-consumer-exposure-under-tsca
EPI Suite™-Estimation Program Interface,1/1/2011,2/28/2020,EPA 705-G-2020-3659,TSCA,"Estimates physical / chemical properties (melting point, water solubility, etc.) and environmental fate properties (breakdown in water or air, etc.) which can indicate where a chemical will go in the environment and how long it will stay there.",https://www.epa.gov/tsca-screening-tools/epi-suitetm-estimation-program-interface
Multi-chamber Concentration and Exposure Model (MCCEM),1/1/2011,2/28/2020,EPA 705-G-2020-3666,TSCA,Documentation within the model provide guidance on how to use the it.,https://www.epa.gov/tsca-screening-tools/forms/mccem-multi-chamber-concentration-and-exposure-model-download-and-install
Wall Paint Exposure Model (WPEM),1/1/2011,2/28/2020,EPA 705-G-2020-3668,TSCA,The purpose of the model is to allow industry product developers and health and safety officials to more easily and accurately identify chemicals in paint formulations that may pose potential exposure problems.,https://www.epa.gov/tsca-screening-tools/forms/wpem-wall-paint-exposure-model-download-and-install-instructions
Whether Floor Tile is Considered ACBM with Varying Results from PLM and TEM,11/3/2010,2/28/2020,EPA 705-G-2020-3150,Asbestos,Whether Floor Tile is Considered ACBM with Varying Results from PLM and TEM,https://www.epa.gov/asbestos/asbestos-guidance-documents-pertaining-toxic-substances-control-act
"Use of Disinfectants and Sanitizers in Heating, Ventilation, Air Conditioning, and Refrigeration Systems",9/20/2010,2/28/2020,EPA 705-G-2020-1465,FIFRA; Pesticides; Antimicrobial;,"This document brings attention several concerns that the Agency has regarding the use of sanitizer and/or disinfectant products, and other types of antimicrobial products, to treat the surfaces of heating, ventilation",https://www.epa.gov/pesticide-labels/use-disinfectants-and-sanitizers-heating-ventilation-air-conditioning-and
New Chemicals Program under TSCA Chemical Categories Document,8/1/2010,2/28/2020,EPA 705-G-2020-3676,TSCA,"This page has the New Chemicals Program's Chemical Categories Document, which explains how EPA uses the categories, enabling both PMN submitters and EPA reviewers to benefit from the accumulated data and past decisional precedents allowing reviews to be facilitated.",https://www.epa.gov/reviewing-new-chemicals-under-toxic-substances-control-act-tsca/new-chemicals-program-under-tsca
"Product Performance Test Guidelines: Invertebrate Control Agent Product Performance Test Guidelines, 810.3700, Insect Repellents to be Applied to Human Skin",7/7/2010,2/28/2020,EPA 712-C-10-001,Test Guideline; Product Performance,"This test guideline is part of a series of test guidelines that have been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.regulations.gov/document?D=EPA-HQ-OPPT-2009-0150-0011
28-Day Dermal Toxicity - [species],7/1/2010,2/28/2020,EPA 705-G-2020-3337,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/28-day-dermal-toxicity.doc
90-Day Dermal Toxicity - [species],7/1/2010,2/28/2020,EPA 705-G-2020-3338,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/90-day-dermal-toxicity.doc
"90-Day Oral Toxicity [dietary, gavage or drinking water] - [non-rodent species]",7/1/2010,2/28/2020,EPA 705-G-2020-3336,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/90-day-oral-toxicity-non-rodent.doc
"90-Day Oral Toxicity [dietary, gavage or drinking water] - [rodent species]",7/1/2010,2/28/2020,EPA 705-G-2020-3335,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/90-day-oral-toxicity-rodent.doc
Agricultural Post Application Passive Dosimetry,7/1/2010,2/28/2020,EPA 705-G-2020-3364,Study Profile Template,"Study profile templates serve as a guide for the preparation of study documents. Applicants may include additional information beyond that prescribed in a particular study profile; however, it should be done without affecting or changing the format and content of the template.",https://www.epa.gov/sites/production/files/2015-10/agricultural-post-application-passive-dosimetry.doc
