titulo,keywords,abstract,tipo,tema
Mass-spectrometry-based draft of the human proteome,GROWTH-FACTOR RECEPTOR NONCODING RNAS IDENTIFICATION EXPRESSION QUANTIFICATION PROTEINS DATABASE REVEALS PEPTIDE PROJECT,Proteomes are characterized by large protein-abundance differences cell-type- and time-dependent expression patterns and post-translational modifications all of which carry biological information that is not accessible by genomics or transcriptomics. Here we present a mass-spectrometry-based draft of the human proteome and a public high-performance in-memory database for real-time analysis of terabytes of big data called ProteomicsDB. The information assembled from human tissues cell lines and body fluids enabled estimation of the size of the protein-coding genome and identified organ-specific proteins and a large number of translated lincRNAs (long intergenic non-coding RNAs). Analysis of messenger RNA and protein-expression profiles of human tissues revealed conserved control of protein abundance and integration of drug-sensitivity data enabled the identification of proteins predicting resistance or sensitivity. The proteome profiles also hold considerable promise for analysing the composition and stoichiometry of protein complexes. ProteomicsDB thus enables navigation of proteomes provides biological insight and fosters the development of proteomic technology.,0,Medicina
Ischemic Preconditioning and Muscle Force Capabilities,PERFORMANCE HUMANS VASODILATION MEDICINE SPORTS POWER,Valenzuela PL Martin-Candilejo R Sanchez-Martinez G Bouzas Marins JC de la Villa P and Sillero-Quintana M. Ischemic preconditioning and muscle force capabilities. J Strength Cond Res 35(8): 2187-2192 2021-This study analyzed the effects of ischemic preconditioning (IPC) on muscle force capabilities. Sixteen male subjects participated in this randomized crossover sham-controlled study. They were assigned to either IPC (3 x 5 minutes at 220 mm Hg in both arms with 5-minute rests) or a sham intervention (SHAM) (occlusion pressure set at 10 mm Hg). Forty minutes later their force capabilities on the bench press exercise were assessed (load-velocity relationship with light moderate and heavy loads [30 50 and 70% body mass respectively]; 1 repetition maximum [1RM]; and number of repetitions to failure in 3 sets with 60% RM). The skin temperature (Tsk) of the pectoral and biceps muscles was analyzed as a secondary endpoint by means of infrared thermography. A significant decrease in the Tsk of the pectoral and biceps muscles was observed after the intervention (p < 0.01) and before the warm-up (p < 0.05) in IPC but not in SHAM. However exercise resulted in a similar Tsk increase in the pectoral muscles in both conditions (p > 0.05). No significant differences (p > 0.05 for all) were observed between conditions in the mean velocity attained with light (1.11 +/- 0.11 and 1.09 +/- 0.14 m center dot s(-1) respectively) moderate (0.83 +/- 0.14 and 0.83 +/- 0.16 m center dot s(-1)) nor heavy loads (0.56 +/- 0.17 and 0.54 +/- 0.16 m center dot s(-1)) in 1RM (75.0 +/- 18.9 and 73.1 +/- 15.0 kg for IPC and SHAM respectively; p = 0.181) nor in the number of repetitions performed (52 +/- 13 and 54 +/- 16 repetitions p = 0.492). In summary IPC decreased Tsk locally (biceps) and remotely (pectoral). However it did not alter muscle force capabilities nor the Tsk response to exercise.,1,Medicina
Are the Beneficial Effects of Ischemic Preconditioning on Performance Partly a Placebo Effect?,FRONT-CRAWL ANAEROBIC PERFORMANCE EXERCISE HUMANS RECOVERY SPORT,The acute effect of ischemic preconditioning (IPC) on the maximal performance in the 100-m freestyle event was studied in recreational swimmers. 15 swimmers (21.0 +/- 3.2years) participated in a random crossover model on 3 different days (control [CON] IPC or SHAM) separated by 3-5 days. IPC consisted of 4 cycles of 5-min occlusion (220mmHg)/5-min reperfusion in each arm and the SHAM protocol was similar to IPC but with only 20mmHg during the occlusion phase. The subjects were informed that both maneuvers (IPC and SHAM) would improve their performance. After IPC CON or SHAM the volunteers performed a maximal 100-m time trial. IPC improved performance (p=0.036) compared to CON. SHAM performance was only better than CON (p=0.059) as a tendency but did not differ from IPC performance. The individual response of the subjects to the different maneuvers was very heterogeneous. We conclude that IPC may improve performance in recreational swimmers but this improvement could mainly be a placebo effect.,0,Medicina
Preconditioning Strategies to Enhance Physical Performance on the Day of Competition,POST-ACTIVATION POTENTIATION PROFESSIONAL RUGBY PLAYERS BODY POWER OUTPUT WARM-UP MUSCLE TEMPERATURE RECOVERY-TIME RUNNING PERFORMANCE SPRINT PERFORMANCE SQUAT PERFORMANCE EXERCISE,Sports scientists and strength and conditioning professionals spend the majority of the competition season trying to ensure that their athletes' training and recovery strategies are appropriate to ensure optimal performance on competition day. However there is an additional window on the day of competition where performance can be acutely enhanced with a number of preconditioning strategies. These strategies include appropriately designed warm-up passive heat maintenance postactivation potentiation remote ischemic preconditioning and more recently prior exercise and hormonal priming. The aim of this review was to explore the potential practical use of these strategies and propose a theoretical timeline outlining how they may be incorporated into athlete's precompetition routine to enhance performance. For the purpose of this review the discussion is confined to strategies that may enhance performance of short-duration high-intensity sports (eg sprinting jumping throwing).,0,Medicina
Ischemic preconditioning increases muscle perfusion oxygen uptake and force in strength-trained athletes,NEAR-INFRARED SPECTROSCOPY REPEATED-SPRINT ABILITY BLOOD-FLOW SKELETAL-MUSCLE TISSUE OXYGENATION STRENUOUS EXERCISE HANDGRIP EXERCISE KNEE-EXTENSION PERFORMANCE INTERMITTENT,Ischemic preconditioning increases muscle perfusion oxygen uptake and force in strength-trained athletes,0,Medicina
Sex-Specific Impact of Ischemic Preconditioning on Tissue Oxygenation and Maximal Concentric Force,HUMAN SKELETAL-MUSCLE GENDER-DIFFERENCES FATIGUE EXERCISE PERFORMANCE RESPONSES MEN VASODILATION REPERFUSION ACTIVATION,Prior peripheral hypoxia induced via remote ischemic preconditioning (IPC) can improve physical performance in male athletes through improved O-2 delivery and utilization. Since females may have an innate protective mechanism against ischemia-reperfusion injury and since muscle metabolism during contraction differs between sexes it is relevant to examine the impact of sex in response to IPC to determine whether it is also ergogenic in females. In a randomized crossover single-blind study we investigated muscle performance hemodynamic and O-2 uptake in strength-trained males (n = 9) and females (n = 8) performing five sets of 5 maximum voluntary knee extensions on an isokinetic dynamometer preceded by either IPC (3 x 5-min ischemia/5-min reperfusion cycles at 200 mmHg) or SHAM (20 mmHg). Changes in deoxy-hemoglobin (Delta[HHb] expressed in percentage of arterial occlusion and considered an index of O-2 extraction) and total hemoglobin (Delta[THb]) concentrations of the vastus lateralis muscle were continuously monitored by near-infrared spectroscopy. The metabolic efficiency of the contractions was calculated as the average force/Delta[HHb](avg) ratio. Cohen's effect sizes (ES) +/- 90% confidence limits were used to estimate IPC-induced changes and sex differences. IPC increased total muscular force in males only (13.0% ES 0.64 0.37;0.90) and this change was greater than in females (10.4% difference ES 0.40 0.10;0.70). Percent force decrement was only attenuated in females (-19.8% ES -0.38 -0.77;0.01) which was clearly different than males (sex difference: ES 0.45 -0.16;1.07). IPC also induced different changes between sexes for average muscle O-2 uptake in set 2 (males: 6.4% vs. females: -16.7% ES 0.21 -0.18;0.60) set 3 (males: 7.0% vs. females: -44.4% ES 0.56 -0.17;1.29) set 4 (males: 9.1% vs. females: -40.2% ES 0.51 -0.10;1.13) and set 5 (males: 10.2% vs. females: -40.4% ES 0.52 -0.04;1.09). However metabolic efficiency was not meaningfully different between conditions and sexes. IPC increased muscle blood volume (up arrow[THb]) at rest and during recovery between sets to the same extent in both sexes. Despite a similar IPC-induced initial increase in O-2 delivery in both sexes males displayed greater peripheral O-2 extraction and greater strength enhancement. This ergogenic effect appears to be mediated in part via an up regulated oxidative function in males. We conclude that strength-trained males might benefit more from IPC than their female counterparts during repeated maximal efforts.,0,Medicina
Effect of ischemic preconditioning in skeletal muscle measured by functional magnetic resonance imaging and spectroscopy: a randomized crossover trial,OXYGENATION CHANGES RECOVERY OVERSHOOT REACTIVE HYPEREMIA P-31 MRS IN-VIVO REPERFUSION HUMANS INJURY BLOOD QUANTIFICATION,"Background: Nuclear magnetic resonance (NMR) imaging and spectroscopy have been applied to assess skeletal muscle oxidative metabolism. Therefore in-vivo NMR may enable the characterization of ischemia-reperfusion injury. The goal of this study was to evaluate whether NMR could detect the effects of ischemic preconditioning (IPC) in healthy subjects.

Methods: Twenty-three participants were included in two randomized crossover protocols in which the effects of IPC were measured by NMR and muscle force assessments. Leg ischemia was administered for 20 minutes with or without a subsequent impaired reperfusion for 5 minutes (stenosis model). IPC was administered 4 or 48 hours prior to ischemia. Changes in (31)phosphate NMR spectroscopy and blood oxygen level-dependent (BOLD) signals were recorded. 3-Tesla NMR data were compared to those obtained for isometric muscular strength.

Results: The phosphocreatine (PCr) signal decreased robustly during ischemia and recovered rapidly during reperfusion. In contrast to PCr the recovery of muscular strength was slow. During post-ischemic stenosis PCr increased only slightly. The BOLD signal intensity decreased during ischemia ischemic exercise and post-ischemic stenosis but increased during hyperemic reperfusion. IPC 4 hours prior to ischemia significantly increased the maximal PCr reperfusion signal and mitigated the peak BOLD signal during reperfusion.

Conclusions: Ischemic preconditioning positively influenced muscle metabolism during reperfusion; this resulted in an increase in PCr production and higher oxygen consumption thereby mitigating the peak BOLD signal. In addition an impairment of energy replenishment during the low-flow reperfusion was detected in this model. Thus functional NMR is capable of characterizing changes in reperfusion and in therapeutic interventions in vivo.",0,Medicina
Effects of ischemic preconditioning on maximal constant-load cycling performance,SKELETAL-MUSCLE FATIGUE OXYGEN-UPTAKE KINETICS SLOW COMPONENT O-2 UPTAKE PROGRESSIVE RECRUITMENT EXERCISE PERFORMANCE SPORTS-MEDICINE BRACHIAL-ARTERY BLOOD-FLOW TIME,This study investigated the effects of ischemic preconditioning (IPC) on the ratings of perceived exertion (RPE) surface electromyography and pulmonary oxygen uptake ((V) over dot(O2)) onset kinetics during cycling until exhaustion at the peak power output attained during an incremental test. A group of 12 recreationally trained cyclists volunteered for this study. After determination of peak power output during an incremental test they were randomly subjected on different days to a performance protocol preceded by intermittent bilateral cuff pressure inflation to 220 mmHg (IPC) or 20 mmHg (control). To increase data reliability the performance visits were replicated also in a random manner. There was an 8.0% improvement in performance after IPC (control: 303 s IPC 327 s factor SDs of X/divided by 1.13 P = 0.01). This change was followed by a 2.9% increase in peak (V) over dot(O2) (control: 3.95 l/min IPC: 4.06 l/min factor SDs of X/divided by 1.15 P = 0.04) owing to a higher amplitude of the slow component of the (V) over dot(O2) kinetics (control: 0.45 l/min IPC: 0.63 l/min factor SDs of X/divided by 2.21 P = 0.05). There was also an attenuation in the rate of increase in RPE (P = 0.01) and a progressive increase in the myoelectrical activity of the vastus lateralis muscle (P = 0.04). Furthermore the changes in peak (V) over dot(O2) (r = 0.73 P = 0.007) and the amplitude of the slow component (r = 0.79 P = 0.002) largely correlated with performance improvement. These findings provide a link between improved aerobic metabolism and enhanced severe-intensity cycling performance after IPC. Furthermore the delayed exhaustion after IPC under lower RPE and higher skeletal muscle activation suggest they have a role on the ergogenic effects of IPC on endurance performance.,0,Medicina
The Effects of Ischemic Preconditioning on Human Exercise Performance,PRESERVES MITOCHONDRIAL-FUNCTION ALL-CAUSE MORTALITY SKELETAL-MUSCLE LIMB ISCHEMIA CARDIAC-SURGERY NOREPINEPHRINE RELEASE ANAEROBIC PERFORMANCE CLINICAL-OUTCOMES CORONARY-ARTERY BRACHIAL-ARTERY,"Background Ischemic preconditioning (IPC) is the exposure to brief periods of circulatory occlusion and reperfusion in order to protect local or systemic organs against subsequent bouts of ischemia. IPC has also been proposed as a novel intervention to improve exercise performance in healthy and diseased populations.

Objective The purpose of this systematic review is to analyze the evidence for IPC improving exercise performance in healthy humans.

Methods Data were obtained using a systematic computer-assisted search of four electronic databases (MEDLINE PubMed SPORTDiscus CINAHL) from January 1985 to October 2015 and relevant reference lists.

Results Twenty-one studies met the inclusion criteria. The collective data suggest that IPC is a safe intervention that may be capable of improving time-trial performance. Available individual data from included studies demonstrate that IPC improved time-trial performance in 67 % of participants with comparable results in athletes and recreationally active populations. The effects of IPC on power output oxygen consumption rating of perceived exertion blood lactate accumulation and cardiorespiratory measures are unclear. The within-study heterogeneity may suggest the presence of IPC responders and non-responders which in combination with small sample sizes likely confound interpretation of mean group data in the literature.

Conclusion The ability of IPC to improve time-trial performance is promising but the potential mechanisms responsible require further investigation. Future work should be directed toward identifying the individual phenotype and protocol that will best exploit IPC-mediated exercise performance improvements facilitating its application in sport settings.",0,Medicina
Ischemic Preconditioning and Exercise Performance: A Systematic Review and Meta-Analysis,PERIPHERAL MUSCLE FATIGUE ANAEROBIC PERFORMANCE ADENOSINE RECEPTOR BRACHIAL-ARTERY BLOOD-FLOW MECHANISMS INJURY MICROCIRCULATION MYOCARDIUM METABOLISM,Although the amount of evidence demonstrating the beneficial effects of ischemic preconditioning (IPC) on exercise performance is increasing conclusions about its efficacy cannot yet be drawn. Therefore the purposes of this review were to determine the effect of IPC on exercise performance and identify the effects of different IPC procedures exercise types and subject characteristics on exercise performance. The analysis comprised 19 relevant studies from 2000 to 2015 15 of which were included in the meta-analyses. Effect sizes (ES) were calculated as the standardized mean difference. Overall IPC had a small beneficial effect on exercise performance (ES = 0.43; 90% confidence interval [CI] 0.28 to 0.51). The largest ES were found for aerobic (ES = 0.51; 90% CI 0.35 to 0.67) and anaerobic (ES = 0.23; 90% CI -0.12 to 0.58) exercise. In contrast an unclear effect was observed in power and sprint performance (ES = 0.16; 90% CI -0.20 to 0.52). In conclusion IPC can effectively enhance aerobic and anaerobic exercise performance.,0,Medicina
Myths and Facts About the Effects of Ischemic Preconditioning on Performance,ANAEROBIC PERFORMANCE ARTERY OCCLUSION MYOCARDIUM CARDIOPROTECTION REPERFUSION RECEPTORS PROTECTS EXERCISE SURGERY HYPEREMIA,Although numerous studies have demonstrated the effect of ischemic preconditioning (IPC) in clinical application the effectiveness of this procedure on performance and physiological variables is still debatable. Therefore a systematic review was performed including a meta-analysis and evaluation of the quality of the papers that addressed this scope. The electronic databases of the National Library of Medicine (PubMed) Google Scholar (using [advanced search] [all fields]) and other online journals were searched for the following descriptors: a) ischemic preconditioning; b) blood flow and hyperemia; c) blood flow occlusion combined with exercise performance athletes exercise and performance. Relevant studies were included if they conformed to strict pre-formulated criteria excluding systematic review articles meta-analyses and studies with only animals or non-healthy subjects. The 20 studies included had high quality scores (87%). The majority of the studies lacked statistical significance (P<0.05) for both performance and physiological variables when comparing IPC placebo and control groups. Most studies showed that IPC has no significant influence on performance. The few studies with significant differences mainly described an improvement only in performance without altered physiological parameters. Therefore the influence of IPC on performance is still unclear and physiologically highly debatable.,0,Medicina
Remote ischemic preconditioning delays fatigue development during handgrip exercise,NEAR-INFRARED SPECTROSCOPY SKELETAL-MUSCLE BLOOD-FLOW OXYGEN-UPTAKE PROTECTS RESPONSES HUMANS ARTERY TIME EMG,Ischemic preconditioning (IPC) of one or two limbs improves performance of exercise that recruits the same limb(s). However it is unclear whether IPC application to another limb than that in exercise is also effective and which mechanisms are involved. We investigated the effect of remote IPC (RIPC) on muscle fatigue time to task failure forearm hemodynamics and deoxygenation during handgrip exercise. Thirteen men underwent RIPC in the lower limbs or a control intervention (CON) in random order and then performed a constant load rhythmic handgrip protocol until task failure. Rates of contraction and relaxation (Force/Time) were used as indices of fatigue. Brachial artery blood flow and conductance besides forearm microvascular deoxygenation were assessed during exercise. RIPC attenuated the slowing of contraction and relaxation throughout exercise (P<0.05 vs CON) and increased time to task failure by 11.2% (95% confidence interval: 0.7-21.7% P<0.05 vs CON). There was no significant difference in blood flow conductance and deoxygenation between conditions throughout exercise (P>0.05). In conclusion RIPC applied to the lower limbs delayed the development of fatigue during handgrip exercise prolonged time to task failure but was not accompanied by changes in forearm hemodynamics and deoxygenation.,0,Medicina
The effect of ischaemic preconditioning on central and peripheral fatiguing mechanisms in humans following sustained maximal isometric exercise,CYCLING PERFORMANCE SKELETAL-MUSCLE VOLUNTARY CONTRACTIONS OXYGEN-UPTAKE NITRIC-OXIDE BLOOD-FLOW RELIABILITY ACTIVATION AFFERENTS PRESSURE,Ischaemic preconditioning (IPC) is thought to inhibit neural feedback from metabolically sensitive muscle afferents during exercise. It was hypothesized that IPC could affect mechanisms associated with centrally mediated fatigue after a maximally fatiguing protocol. Eleven resistance-trained men completed three 2min maximal voluntary contractions (MVCs) via an isometric leg extension preceded by treatments of IPC (three bouts of 5min bilateral leg occlusions at 220mmHg) SHAM (three bouts of 5min at 20mmHg) or CON (30min passive rest). Femoral nerve stimulation was used to explore central and peripheral fatigue pathways. These pathways were profiled at baseline (BL) before the 2min MVC (Pre) and 10s afterwards (Post). Tissue oxygenation was measured throughout the 2min MVCs via near-infrared spectroscopy. The Pre to Post MVC (-71 +/- 56 Nm; d=1.33 +/- 0.51 P<0.01) and twitch torque (-51 +/- 20Nm; d=3.76 +/- 0.84 P<0.01) levels declined without differences between conditions (MVC P=0.67; twitch torque P=0.39). Voluntary activation was also unaffected by condition (P=0.80). Peak deoxyhaemoglobin concentrations were elevated in the IPC trials relative to CON (3.7 +/- 3.0moll(-1); d=1.02 +/- 0.46 P<0.01) and SHAM (3.0 +/- 3.7moll(-1); d=0.82 +/- 0.57 P<0.05). These findings demonstrate that IPC does not affect central or peripherally mediated mechanisms of fatigue during a sustained 2min maximal effort isometric leg-extension task.,0,Medicina
Beneficial Effects of Ischemic Preconditioning in Resistance Exercise Fade Over Time,ANAEROBIC PERFORMANCE PLACEBO RECOVERY INTENSITY VOLUME,This study evaluated the effect of ischemic preconditioning (IPC) on resistance exercise performance in upper limbs. After 12-RM load determination 21 men attended 4 trials separated by 3 days in a randomized crossover design: IPC (4x5-min occlusion 220mmHg/reperfusion 0mmHg) in arms and in thighs and SHAM (equal to the IPC protocol but occlusion at 20mmHg) in arms and in thighs. 8min following the respective interventions the subjects performed one set of resistance exercise in elbow flexion with the 12-RM load until concentric failure. The number of repetitions increased for both protocols in arm (IPC=14.1 +/- 2.5 and SHAM=14.4 +/- 3.0) and in thigh (IPC=14.3 +/- 2.2 and SHAM=13.4 +/- 1.7). However the number of repetitions tended to decrease over the 4 trials and no more effect was found in the fourth trial. Therefore IPC or SHAM may enhance performance in resistance exercise for upper limbs but this effect apparently fades over time.,0,Medicina
Ischemic Preconditioning and Placebo Intervention Improves Resistance Exercise Performance,ANAEROBIC PERFORMANCE RECOVERY INTENSITY OCCLUSION RESPONSES VOLUME ORDER,Marocolo M Willardson JM Marocolo IC da Mota GR SimAo R and Maior AS. Ischemic preconditioning and PLACEBO intervention improves resistance exercise performance. J Strength Cond Res 30(5): 1462-1469 2016This study evaluated the effect of ischemic preconditioning (IPC) on resistance exercise performance in the lower limbs. Thirteen men participated in a randomized crossover design that involved 3 separate sessions (IPC PLACEBO and control). A 12-repetition maximum (12RM) load for the leg extension exercise was assessed through test and retest sessions before the first experimental session. The IPC session consisted of 4 cycles of 5 minutes of occlusion at 220 mm Hg of pressure alternated with 5 minutes of reperfusion at 0 mm Hg for a total of 40 minutes. The PLACEBO session consisted of 4 cycles of 5 minutes of cuff administration at 20 mm Hg of pressure alternated with 5 minutes of pseudo-reperfusion at 0 mm Hg for a total of 40 minutes. The occlusion and reperfusion phases were conducted alternately between the thighs with subjects remaining seated. No ischemic pressure was applied during the control (CON) session and subjects sat passively for 40 minutes. Eight minutes after IPC PLACEBO or CON subjects performed 3 repetition maximum sets of the leg extension (2-minute rest between sets) with the predetermined 12RM load. Four minutes after the third set for each condition blood lactate was assessed. The results showed that for the first set the number of repetitions significantly increased for both the IPC (13.08 +/- 2.11; p = 0.0036) and PLACEBO (13.15 +/- 0.88; p = 0.0016) conditions but not for the CON (11.88 +/- 1.07; p > 0.99) condition. In addition the IPC and PLACEBO conditions resulted insignificantly greater repetitions vs. the CON condition on the first set (p = 0.015; p = 0.007) and second set (p = 0.011; p = 0.019) but not on the third set (p = 0.68; p > 0.99). No difference (p = 0.465) was found in the fatigue index and lactate concentration between conditions. These results indicate that IPC and PLACEBO IPC may have small beneficial effects on repetition performance over a CON condition. Owing to potential for greater discomfort associated with the IPC condition it is suggested that ischemic preconditioning might be practiced gradually to assess tolerance and potential enhancements to exercise performance.,0,Medicina
Correlation of infrared thermography and skin perfusion in Raynaud patients and in healthy controls,LASER-DOPPLER FLOWMETRY LOCAL COLD-EXPOSURE SYSTEMIC-SCLEROSIS CAPILLARY MICROSCOPY BLOOD-FLOW MICROCIRCULATION DISORDERS DIAGNOSIS SECONDARY SCLERODERMA,"Background: We aimed to investigate the correlation of infrared thermography (IT) with laser Doppler perfusion imager (LDPI) among patients with primary Raynaud's phenomenon and healthy controls.

Methods: Forty-seven individuals were included: we examined 25 patients with primary Raynaud's phenomenon and 22 age and gender matched healthy controls. IT of the volar surface of the subjects' left hands was performed to record skin temperature while skin perfusion of the same area was determined using LDPI. All measurements were obtained at room temperature (baseline measurements) and following standardized cold provocation.

Results: Good correlation of baseline measurements was found between IT and LDPI in primary Raynaud patients and healthy controls (r = 0.868 p < 0.0001 vs. r = 0.790 p < 0.0001). Following cold challenge correlation was weaker in both groups (r = 0.742 vs. r = 0.766 p < 0.0001). Correlation after cold provocation was statistically significant among patients with primary Raynaud's phenomenon in contrast to controls (Chi Quadrat p = 0.023 vs. p = 0.306).

Conclusion: A significant correlation was found between IT and LDPI in primary Raynaud patients and in healthy controls (r = 0.868 and r = 0.742 both p < 0.0001). Following cold provocation correlation decreases in both groups. Thus at room temperature IT might substitute for skin perfusion measured by LDPI. (C) 2010 Elsevier Inc. All rights reserved.",0,Medicina
Repetition of ischemic preconditioning augments endothelium-dependent vasodilation in humans - Role of endothelium-derived nitric oxide and endothelial progenitor cells,CLINICAL IMPLICATIONS VASCULAR RELAXATION LATE-PHASE EXERCISE SYNTHASE CONSEQUENCES DYSFUNCTION ACTIVATION MECHANISMS STRESS,"Background-Several studies have shown that both early and late effects of ischemic preconditioning (IPC) protect against myocardial injury after ischemic reperfusion.

Methods and Results-The purpose of this study was to evaluate the late effects of IPC on endothelial function in humans. Late phase of IPC was induced by upper limb ischemia (cuff inflation of over 200 mm Hg for 5 minutes) 6 times a day for 1 month. We evaluated forearm blood flow (FBF) responses to acetylcholine (ACh) and to sodium nitroprusside (SNP) before and after IPC stimulus in 30 young healthy men. FBF was measured using a strain-gauge plethysmograph. The IPC stimulus significantly increased plasma concentration of vascular endothelial growth factor (VEGF) circulating level of endothelial progenitor cells (EPCs) and FBF responses to ACh but these did not change in the control group. The FBF responses to SNP were similar before and after the IPC stimulus. Infusion of N-G-monomethyl-L-arginine a nitric oxide synthase inhibitor completely eliminated the IPC stimulus-induced augmentation of FBF responses to ACh. In the cotralateral arms of subjects that received the IPC stimulus FBF responses to ACh did not change but levels of VEGF and circulating EPCs increased.

Conclusions-These findings suggest that repetition of late IPC stimulus augments endothelium-dependent vasodilation in humans through increases in nitric oxide production and number of EPCs under a local condition. Repetition of IPC stimulus may be a simple safe and feasible therapeutic technique for endothelial protection of peripheral vessels.",0,Medicina
Block Design-Based Key Agreement for Group Data Sharing in Cloud Computing,"Protocols
Cloud computing
Fault tolerance
Fault tolerant systems
Data models
Cryptography",Data sharing in cloud computing enables multiple participants to freely share the group data which improves the efficiency of work in cooperative environments and has widespread potential applications. However how to ensure the security of data sharing within a group and how to efficiently share the outsourced data in a group manner are formidable challenges. Note that key agreement protocols have played a very important role in secure and efficient group data sharing in cloud computing. In this paper by taking advantage of the symmetric balanced incomplete block design (SBIBD) we present a novel block design-based key agreement protocol that supports multiple participants which can flexibly extend the number of participants in a cloud environment according to the structure of the block design. Based on the proposed group data sharing model we present general formulas for generating the common conference key IC for multiple participants. Note that by benefiting from the (v k + 1 1)-block design the computational complexity of the proposed protocol linearly increases with the number of participants and the communication complexity is greatly reduced. In addition the fault tolerance property of our protocol enables the group data sharing in cloud computing to withstand different key attacks which is similar to Yi's protocol.,1,Computacion
Trust Enhanced Cryptographic Role-Based Access Control for Secure Cloud Data Storage,Cloud computing Access control History Encryption Data models,Cloud data storage has provided significant benefits by allowing users to store massive amount of data on demand in a cost-effective manner. To protect the privacy of data stored in the cloud cryptographic role-based access control (RBAC) schemes have been developed to ensure that the data can only be accessed by those who are allowed by access policies. However these cryptographic approaches do not address the issues of trust. In this paper we propose trust models to reason about and to improve the security for stored data in cloud storage systems that use cryptographic RBAC schemes. The trust models provide an approach for the owners and roles to determine the trustworthiness of individual roles and users respectively in the RBAC system. The proposed trust models consider role inheritance and hierarchy in the evaluation of trustworthiness of roles. We present a design of a trust-based cloud storage system which shows how the trust models can be integrated into a system that uses cryptographic RBAC schemes. We have also considered practical application scenarios and illustrated how the trust evaluations can be used to reduce the risks and to enhance the quality of decision making by data owners and roles of cloud storage service.,0,Computacion
Secure cloud storage meets with secure network coding,Cloud computing Secure storage Network coding Authentication Routing protocols,This paper investigates the intrinsic relationship between secure cloud storage and secure network coding for the first time. Secure cloud storage was proposed only recently while secure network coding has been studied for more than ten years. We show in general how to construct a secure cloud storage protocol given any secure network coding protocol. Our construction suggests a systematic way to construct various secure cloud storage protocols. We also show that it is secure under a definition which captures the real world uses of the cloud storage. From our general construction we propose a secure cloud storage protocol based on a recent secure network coding protocol. The protocol is the first publicly verifiable secure cloud storage protocol in the standard model while the previous work is either not publicly verifiable or security argument is only argued heuristically in the random oracle model. We also enhance the proposed protocol to support third-party public auditing which has received considerable attention recently. Finally we prototype the proposed protocol and evaluate its performance. Experimental results validate the effectiveness of the protocol.,0,Computacion
Certificateless Public Auditing Scheme for Cloud-Assisted Wireless Body Area Networks,Cloud computing Public key Medical diagnostic imaging ServersSensors,Wireless body area networks (WBANs) consist of many small low-power sensors through which users could monitor the real-time parameters of patients' physiology remotely. This capability could improve medical care and the monitoring of patients. WBAN devices typically have limited computing storage power and communication capabilities. These limitations restrict the applications that WBANs can support. To enhance the capabilities of WBANs the concept of cloud-assisted WBANs has been introduced recently. By using cloud computing technologies cloud-assisted WBANs can provide more efficient processing of patients' physiology parameters and support richer services. In cloud-assisted WBANs the data of patients' physiology are stored in the cloud. The integrity of the data is very important because these data will be used to provide a medical diagnosis and other medical treatments. To address the issue of integrity in cloud-assisted WBANs we propose an efficient certificateless public auditing (CLPA) scheme. A security analysis of our proposed CLPA scheme shows that it is provably secure against two types of adversaries (i.e. a type-I adversary can replace users' public keys and a type-II adversary can access the master key) in an environment of certificateless cryptography. A detailed performance analysis demonstrates that the proposed CLPA scheme yields better performance over a previously proposed CLPA scheme.,0,Computacion
New directions in cryptography,cryptography Non-Controlled Indexing,Two kinds of contemporary developments in cryptography are examined. Widening applications of teleprocessing have given rise to a need for new types of cryptographic systems which minimize the need for secure key distribution channels and supply the equivalent of a written signature. This paper suggests ways to solve these currently open problems. It also discusses how the theories of communication and computation are beginning to provide the tools to solve cryptographic problems of long standing.,0,Computacion
An Efficient RFID Authentication Protocol Providing Strong Privacy and Security0,wireless system privacy,As the radio frequency identification (RFID) technology continues to evolve and mature RFID tags can be implemented in a wide range of applications. Due to the shared wireless medium between the RFID reader and the RFID tag adversaries can launch various attacks on the RFID system. To thwart different types of attacks we propose an Efficient RFID Authentication Protocol (ERAP) which can accomplish the authentication without disclosing real IDs of the participating tags and provide strong privacy and security protection of the RFID users. ERAP offers the anonymity of tags in addition to tag untraceability. It also provides forward security (forward privacy) which ensures that data transmitted today will still be secure even if secret tag information is revealed by tampering in the future. In this paper we define a formal security model for authentication and privacy in RFID system. Under this model we describe protocol that provably achieves the properties of authentication and privacy. In addition the proposed ERAP requires only little resources to perform the authentication which satisfies the requirement of highly resource-constrained low-cost RFID tags.,0,Computacion
An Efficient Protocol for Authenticated Key Agreemen,protocol authenticated key,This paper proposes an efficient two-pass protocol for authenticated key agreement in the asymmetric (public-key) setting. The protocol is based on Diffie-Hellman key agreement and can be modified to work in an arbitrary finite group and in particular elliptic curve groups. Two modifications of this protocol are also presented: a one-pass authenticated key agreement protocol suitable for environments where only one entity is on-line and a three-pass protocol in which key confirmation is additionally provided. Variants of these protocols have been standardized in IEEE P1363 [17] ANSI X9.42 [2] ANSI X9.63 [4] and ISO 15496-3 [18] and are currently under consideration for standardization and by the U.S. government's National Institute for Standards and Technology [30].,0,Computacion
