"uid","datasetinformation_agency","name","url","description","type","category","tags","last_metadata_updated_date","last_data_updated_date","api_endpoint","domain","derived_view","parent_uid","attribution","attribution_link","contact_email","datasetsummary_datasetowner","datasetsummary_organization","datasetsummary_contactinformation","datasetsummary_timeperiod","datasetsummary_postingfrequency","datasetsummary_coverage","datasetsummary_granularity","disclaimers_limitations","notes_notes","additionalresources_seealso","disclaimers_disclaimer"
"jj7r-zb95",,"Open NY Quarterly Report October 2023","https://data.ny.gov/d/jj7r-zb95","Having trouble viewing the report in the Preview pane? Just click the Download button below to download a copy of the report.","file",,"openny report","2023-10-19T16:05:25.000","2023-10-19T15:53:48.000","https://data.ny.gov/resource/jj7r-zb95.json","data.ny.gov","false",,,,,"NY Open Data",,"opendata@its.ny.gov",,,,,,,,
"xtjb-hmaq","Taxation and Finance, Department of","Personal Income Tax Total Voluntary Contributions by Fiscal Year by Fund Chart: Beginning 1983","https://data.ny.gov/d/xtjb-hmaq","The Department of Taxation and Finance annually produces a compilation of voluntary contributions made by taxpayers on their personal income tax returns.  The dataset provides a history of these contributions beginning with fiscal year 1983. New Yorkers are currently allowed to check off on their state income tax forms to give voluntary contributions to ten different Funds: 
•	Return a Gift to Wildlife (est. 1982); 
•	Lake Placid Olympic Training Center Fund (est. 1995); 
•	Breast Cancer Research and Education Fund (est. 1996); 
•	Missing & Exploited Children Clearinghouse Fund (est. 1997); 
•	Alzheimer's Disease Fund (est. 1999); 
•	Prostate Cancer Research Fund (est. 2004); 
•	World Trade Center Memorial Foundation Fund (est. 2005); 
•	Volunteer Firefighting & EMS Recruitment and Retention Fund (est. 2009); 
•	Teen Health Education Fund (est. 2013); 
•	Veterans Remembrance & Cemetery Maintenance & Operation Fund (est. 2013);
•	Women's Cancer Education and Prevention Fund (est. 2015);
•	Homeless Veterans Assistance Fund (est. 2015); and
•	Mental Illness Anti-Stigma Fund (est. 2015)
•	Autism Fund (est. 2016)
•	Veterans Homes Fund (est. 2017)
•	Love Your Library Fund (est. 2018)
•	Lupus Education Contribution Fund (est. 2018)
•	Military Families Relief Fund (est. 2018)
•	CUNY Fund (est. 2018)
Personal income taxpayers may increase their final remittances or reduce their overpayments by the amount of their contribution.
Please see https://www.tax.ny.gov/pit/file/voluntary_contributions.htm for description of each fund.","chart","Government & Finance","income tax,voluntary,t&f revenue and collections,contributions","2025-01-31T16:33:31.000","2025-12-05T20:49:12.000","https://data.ny.gov/resource/xtjb-hmaq.json","data.ny.gov","true","sqz5-r286","New York State Department of Taxation and Finance","http://www.tax.ny.gov/research/stats/statistics/stat_fy_collections.htm","OTPA.OpenNYData@tax.ny.gov","New York State Department of Taxation and Finance","Office of Tax Policy Analysis","OTPA.OpenNYData@tax.ny.gov","Beginning fiscal year 1983","Annually","Statewide","Personal income tax contributions","Data does not include voluntary contributions made under other articles of the tax law.",,"https://www.tax.ny.gov/pit/file/voluntary_contributions.htm",
"akxu-2w5w","Energy Research and Development Authority","Clean Energy Fund Agriculture Audits: Beginning 2016 Map","https://data.ny.gov/d/akxu-2w5w","The Clean Energy Fund (CEF) Agriculture Audit program identifies energy efficiency measures for eligible farms and on-farm producers, including but not limited to: dairies, orchards, greenhouses, vegetables, vineyards, grain dryers, and poultry/egg. NYSERDA assigns Flexible Technical Assistance (FlexTech) Program Consultants to perform energy audits for eligible farms. Participating farms receive a customized plan with recommended energy efficiency upgrades. The Clean Energy Fund (CEF) Agriculture Audits dataset contains information collected from the audits such as location, electric and natural gas utility provider, and amount of CEF funding awarded to each audit. 

The New York State Energy Research and Development Authority (NYSERDA) offers objective information and analysis, innovative programs, technical expertise, and support to help New Yorkers increase energy efficiency, save money, use renewable energy, accelerate economic growth, and reduce reliance on fossil fuels. To learn more about NYSERDA’s programs, visit nyserda.ny.gov or follow us on X, Facebook, YouTube, or Instagram.","map","Energy & Environment",,"2026-03-30T18:11:47.000","2026-03-01T15:30:58.000","https://data.ny.gov/resource/akxu-2w5w.json","data.ny.gov","true","4zrh-mycb","New York State Energy Research and Development Authority (NYSERDA)","https://www.nyserda.ny.gov/all-programs/programs/agriculture-energy-audit",,"New York State Energy Research and Development Authority (NYSERDA)","New York State Energy Research and Development Authority: Industrial and Agriculture","openny@nyserda.ny.gov","Beginning April 2016","Quarterly","Statewide","ZIP Code","Manual entry of data collected and input into applications and tools by Program Participants, Providers, and NYSERDA may result in missing information (blanks), incorrectly captured information, incorrectly transposed information, or incorrectly calculated information.  Blank cells represent data that were not required or are not currently available.  ",,"https://www.nyserda.ny.gov/-/media/Files/Programs/Agriculture-Energy-Audit-Application.pdf",
"vmn3-7znf","Public Employment Relations Board","Public Employment Relations Board Decisions:  Beginning 1974","https://data.ny.gov/d/vmn3-7znf","This dataset contains a list of decisions issued by the Public Employment Relations Board, by date on which they were issued, in the form of links to pdf documents.  Due to recent upgrades the current dataset requires further maintenance. PERB anticipates that the data will be available again in April 2021.","dataset","Government & Finance","taylor law,perb,sera","2025-05-06T17:39:20.000","2025-05-06T17:39:21.000","https://data.ny.gov/resource/vmn3-7znf.json","data.ny.gov","false",,"Public Employment Relations Board","http://perb.ny.gov/perdcilr.asp","perbinfo@perb.ny.gov",,"Public Employment Relations Board","perbinfo@perb.ny.gov","Beginning 1974","Annually","Statewide","Localities","Decisions by directors, administrative law judges, and related court and other associated decisions are not included.  ",,"http://perb.ny.gov/PubInfo.asp",
"2gh5-69b8","Thruway Authority","NYS Thruway Origin and Destination Points for All Vehicles - 15 Minute Intervals: 2019 Q4","https://data.ny.gov/d/2gh5-69b8","This file contains data on the number and types of vehicles that entered from each entry point on the tolled section of the Thruway with their exit points.","dataset","Transportation","thruway,origin,interstate,e-zpass,destination,commercial,traffic,toll road,toll collection,toll","2020-01-06T21:53:40.000","2020-01-06T20:58:47.000","https://data.ny.gov/resource/2gh5-69b8.json","data.ny.gov","false",,"New York State Thruway Authority",,"Eric.Christensen@thruway.ny.gov","Toll Collection, NYS Thruway Headquarters","Toll Collection, NYS Thruway Headquarters","Eric.Christensen@thruway.ny.gov","Single quarter (Q1: Jan - Mar; Q2: Apr - Jun; Q3: Jul - Sep; Q4: Oct- Dec) for year specified","Static - Not Updated","Statewide","Thruway exit","Excludes U-turns.  Data is unaudited/unadjusted and may differ slightly when compared to official annual Origin and Destination reports published by the Thruway.","This data can be used to study traffic patterns of vehicles on the Thruway over time.",,
"ckc5-wk92","Budget, Division of","New York State Executive Budget Capital Appropriations: 2024-25","https://data.ny.gov/d/ckc5-wk92","This data set includes capital project appropriations and reappropriations as they relate to the FY 2025 Executive Budget","dataset","Government & Finance","appropriations,encumbrances,reappropriations","2024-05-30T18:43:59.000","2024-01-16T18:56:27.000","https://data.ny.gov/resource/ckc5-wk92.json","data.ny.gov","false",,"New York State Division of the Budget",,"dob.sm.HelpDesk@budget.ny.gov","New York State Division of the Budget","Capital/Debt Unit","dob.sm.HelpDesk@budget.ny.gov","State Fiscal Year 2024-25 and data captured as of January 15, 2024","Annually","Statewide","agency, reference number, comprehensive construction program, state purpose, fund, financing source, chapter/section year of law and appropriation description.",,,"https://www.budget.ny.gov/",
"5dzg-zcv8",,"Open NY Quarterly Report July 2019","https://data.ny.gov/d/5dzg-zcv8","Having trouble viewing the report in the Preview pane? Just click the Download button below to download a copy of the report.","file",,"openny report","2019-07-25T16:17:00.000","2019-07-25T15:16:06.000","https://data.ny.gov/resource/5dzg-zcv8.json","data.ny.gov","false",,,,"opendata@its.ny.gov",,,,,,,,,,,
"qr57-4xwt","Thruway Authority","NYS Thruway Origin and Destination Points for All Vehicles - 15 Minute Intervals: 2019 Q2","https://data.ny.gov/d/qr57-4xwt","This file contains data on the number and types of vehicles that entered from each entry point on the tolled section of the Thruway with their exit points.","dataset","Transportation","toll collection,interstate,toll road,destination,e-zpass,commercial,traffic,origin,thruway,toll","2019-07-18T16:34:12.000","2019-07-17T21:18:35.000","https://data.ny.gov/resource/qr57-4xwt.json","data.ny.gov","false",,"New York State Thruway Authority",,"Eric.Christensen@thruway.ny.gov","Toll Collection, NYS Thruway Headquarters ","Toll Collection, NYS Thruway Headquarters ","Eric.Christensen@thruway.ny.gov ","Single quarter (Q1: Jan - Mar; Q2: Apr - Jun; Q3: Jul - Sep; Q4: Oct- Dec) for year specified","Static - Not updated","Statewide","Thruway exit","Excludes U-turns. Data is unaudited/unadjusted and may differ slightly when compared to official annual Origin and Destination reports published by the Thruway. ","This data can be used to study traffic patterns of vehicles on the Thruway over time. ",,
"uhw9-gyvi","Aging, Office for","Meals Served by the Office for the Aging:  Beginning 1974","https://data.ny.gov/d/uhw9-gyvi","This dataset is a listing of congregate and home delivered meals served 1974 to the present by the network of Area Agencies on Aging (AAAs).  AAAs - local offices for the Aging - provide services at senior center locations either directly or through subcontracts. Services may include but are not limited to congregate meals, health promotion, educational programs, recreation, etc.","dataset","Human Services","aging offices,home delivered meals,congregate meals,aging resources","2026-03-19T14:37:42.000","2025-07-16T15:37:53.000","https://data.ny.gov/resource/uhw9-gyvi.json","data.ny.gov","false",,"New York State Office for the Aging","http://aging.ny.gov","Steve.Sconfienza@Aging.NY.gov","New York State Office for the Aging","Local Program Operations, Reporting and Data Unit","Steve.Sconfienza@Aging.NY.gov","Beginning 1974","Annually","Statewide","County",,,,"During the period covered by this data there have been many system changes that may impact its quality. Many different software programs have been written and utilized over the years to collect and store this data. Also the hardware used has gone from “main frame” to servers. Each of these changes introduced an opportunity for error that may affect data quality.  NYC-area reporting changes are responsible for the spike in meals served for the 1989-1990 period."
"wjri-j2gq",,"Supported Employment Service Provider Agencies","https://data.ny.gov/d/wjri-j2gq","","filter","Human Services",,"2024-12-27T20:12:30.000","2026-03-02T17:43:33.000","https://data.ny.gov/resource/wjri-j2gq.json","data.ny.gov","true","ieqx-cqyk","New York State Office for People With Developmental Disabilities (NYS OPWDD)","http://opwdd.ny.gov/",,,,,,,,,,,,
"bdb8-pe97","Canal Corporation","Canalway Trail","https://data.ny.gov/d/bdb8-pe97","Canalway Trail is a network of approximately 300 miles of multiple-use trails across upstate New York","dataset","Transportation","recreation,trails,canalway,paths","2026-03-19T20:32:33.000","2013-05-13T18:07:28.000","https://data.ny.gov/resource/bdb8-pe97.json","data.ny.gov","false",,"New York State Canal Corporation",,"jaime.deluca@canals.ny.gov","GIS Bureau, Canal Corporation Headquarters Office","GIS Bureau, Canal Corporation Headquarters Office","jaime.deluca@canals.ny.gov","Current","As Needed","Statewide","Shapefile line work developed via heads-up digitizing over 2004-2010 NYS Orthoimages at an approximate scale of 1:5,000. Original linework was developed in 2008 and has been periodically updated over the years as new segments of trail have been completed. Data was also reviewed for accuracy by NYS Canalway Trail Coordinator located in Canal Headquarters in 2010.",,,,
"qt6z-3dke","Children and Family Services, Office of","Trend, by Days in Care, for Children in Foster Care, Chart: Beginning 1994","https://data.ny.gov/d/qt6z-3dke","The purpose of this data set is to provide information on the total number of admissions, discharges, and children in foster care, the type of care, and total Child Protective Services (CPS) reports indicated during period.","chart","Human Services","foster care,cps,group home,foster home","2026-03-19T21:04:39.000","2025-06-03T12:37:39.000","https://data.ny.gov/resource/qt6z-3dke.json","data.ny.gov","true","hfc5-3hsu","Office of Children and Family Services","http://ocfs.ny.gov/main/Professionals_data_reports.asp","Vajeera.Dorabawila@ocfs.ny.gov","Office of Children and Family Services","Strategic Planning and Policy Development/Bureau of Research, Evaluation, and Performance Analytics","Vajeera.Dorabawila@ocfs.ny.gov","Beginning 1994","Annually","Statewide","County","Numbers provided have specific definitions and may differ from similar numbers defined differently.",,,
"rd33-n4tx","Thruway Authority","NYS Thruway Origin and Destination Points for All Vehicles - 15 Minute Intervals: 2020 Q3","https://data.ny.gov/d/rd33-n4tx","This file contains data on the number and types of vehicles that entered from each entry point on the tolled section of the Thruway with their exit points.","dataset","Transportation","toll collection,traffic,toll road,toll,thruway,origin,interstate,e-zpass,destination,commercial","2021-01-04T14:41:51.000","2020-10-29T17:19:03.000","https://data.ny.gov/resource/rd33-n4tx.json","data.ny.gov","false",,"New York State Thruway Authority",,"Eric.Christensen@thruway.ny.gov","Toll Collection, NYS Thruway Headquarters","Toll Collection, NYS Thruway Headquarters","Eric.Christensen@thruway.ny.gov","Single quarter (Q1: Jan - Mar; Q2: Apr - Jun; Q3: Jul - Sep; Q4: Oct- Dec) for year specified","Static - Not Updated","Statewide","Thruway exit","Excludes U-turns.  Data is unaudited/unadjusted and may differ slightly when compared to official annual Origin and Destination reports published by the Thruway.","This data can be used to study traffic patterns of vehicles on the Thruway over time.",,
"in6g-eta3","Budget, Division of","New York State Executive Budget Capital Appropriations: 2016-2017","https://data.ny.gov/d/in6g-eta3","This data set includes capital project appropriations and reappropriations as they relate to the 2016-17 Executive Budget","dataset","Government & Finance","appropriations,encumbrances,reappropriations","2026-03-19T19:11:28.000","2016-01-13T16:36:56.000","https://data.ny.gov/resource/in6g-eta3.json","data.ny.gov","false",,"Division of the Budget","http://openbudget.ny.gov/","dob.sm.HelpDesk@budget.ny.gov","Division of the Budget","Expenditure/Debt Unit","dob.sm.HelpDesk@budget.ny.gov","State Fiscal Year 2016-17 and data captured as of January 11, 2016","Static - Not Updated","Statewide","agency, reference number, comprehensive construction program,  state purpose, fund, financing source, chapter/section year of law and appropriation description.",,,"http://www.budget.ny.gov/",
"f9da-b8zj","Thruway Authority","Active Capital Projects, NYS Thruway Authority","https://data.ny.gov/d/f9da-b8zj","This is a listing of all NYSTA’s active capital projects  from the Capital Programs.","filter","Transportation","bridge,roadway,thruway,canal,pavement,construction","2025-01-29T03:23:42.000","2024-12-21T00:14:00.000","https://data.ny.gov/resource/f9da-b8zj.json","data.ny.gov","true","n5iq-rskv","New York State Thruway Authority","http://www.thruway.ny.gov/projectsandstudies/capitalprogram/index.html","James.Chicoine@thruway.ny.gov","Department of Engineering","Department of Engineering","James.Chicoine@thruway.ny.gov","Beginning 2005","As necessary","Statewide","County","","","",""
"fkfh-3nb9","Environmental Conservation, Department of","Private and Commercial Fish Hatcheries Map","https://data.ny.gov/d/fkfh-3nb9","New York State Department of Environmental Conservation (NYS DEC) issues permits to facilities to rear or sell selected fish species. This dataset is a list of New York facilities with permits to rear or sell selected fish species is compiled annually and updated periodically by DEC, and is distributed for information only. It is compiled to help people find possible sources of certified disease-free fish for stocking. Fish purchasers are reminded that DEC stocking permits are required before fish are placed into any New York State waters. Purchasers should also receive a copy of a fish health certificate indicating the fish they are buying for stocking purposes are from facilities that have been inspected and found free of the fish pathogens identified in DEC's regulations NYCRR, Title 6, Part 188.1 and 188.2. For additional information call the nearest DEC Regional Office.","map","Energy & Environment",,"2021-12-28T19:48:50.000","2026-03-02T21:13:46.000","https://data.ny.gov/resource/fkfh-3nb9.json","data.ny.gov","true","eygy-n4is","NYS Department of Environmental Conservation (DEC)","https://www.dec.ny.gov/outdoor/52348.html","fwfish@dec.ny.gov","NYS Department of Environmental Conservation (DEC)","Division of Fish & Wildlife ","fwfish@dec.ny.gov","Current","Annually","Statewide","Individual hatchery",,,"https://www.dec.ny.gov/permits/28664.html",
"uzki-eki3","Budget, Division of","New York State Executive Budget Appropriations (Non-Capital), as amended: 2021-22","https://data.ny.gov/d/uzki-eki3","This data set includes appropriation, reappropriations and workforce levels for the current State fiscal year and upcoming budget year.","dataset","Government & Finance","appropriation,ftes","2026-03-19T20:20:09.000","2021-05-10T22:04:32.000","https://data.ny.gov/resource/uzki-eki3.json","data.ny.gov","false",,"Division of the Budget","http://openbudget.ny.gov/","HelpDesk@budget.ny.gov","Division of the Budget","Budget Planning, Operations and Management Unit","HelpDesk@budget.ny.gov","State fiscal years 2020-21 and 2021-22 and data captured as of May 10, 2021","Annually","Statewide","agency, fund type, fund, subfund, program and appropriation category",,,"https://www.budget.ny.gov/",
"astg-28hp","Labor, Department of","Construction Fatalities: Beginning 2022","https://data.ny.gov/d/astg-28hp","Information provided pertains to all incidents under which a worker performing construction work suffered a work-related fatal injury. This data is collected by the NYSDOL per NY Lab L section 44 (https://law.justia.com/codes/new-york/2021/lab/article-2/44/).","dataset","Public Safety","worker,fatality,labor,construction,labor death,fatalities,work fatalities,construction fatalities,work death,work,death","2026-03-30T21:02:23.000","2026-03-19T21:02:30.000","https://data.ny.gov/resource/astg-28hp.json","data.ny.gov","false",,"New York State Department of Labor",,"Construction.fatalities@labor.ny.gov","New York State Department of Labor ","New York State Department of Labor Division of Safety and Health","Construction.fatalities@labor.ny.gov","Beginning 2022","Twice weekly","Statewide","Individual record",,,,
"a74x-7y2s","Labor, Department of","UI Benefit Amounts by Region By Year Line Chart: Beginning 2001","https://data.ny.gov/d/a74x-7y2s","Dataset contains monthly counts, from 2001 to present, of individuals receiving regular unemployment insurance benefits, as well as the total amount of benefits received from New York State. 

Data are provided for the state, 10 labor market regions, and counties.  State counts can include everyone who receives benefits through New York State (including out-of-state residents) or only state residents who do so (excluding out-of-state residents). 

Regular unemployment insurance includes: Unemployment Insurance (UI) Compensation, Compensation for Federal Employees (UCFE), Unemployment Compensation for Ex-Service Members (UCX), Shared Work (SW) and Self Employment Assistance Program (SEAP).  It excludes federal extensions and 599.2 training.","chart","Economic Development","benefits,unemployment,beneficiaries,insurance","2025-01-10T17:59:13.000","2026-03-16T14:03:52.000","https://data.ny.gov/resource/a74x-7y2s.json","data.ny.gov","true","xbjp-8sra","New York State Department of Labor","http://www.labor.ny.gov/stats/UI/Unemployment-Insurance-Data.shtm","labor.sm.OpenData@labor.ny.gov","New York State Department of Labor","Division of Research & Statistics","labor.sm.OpenData@labor.ny.gov","Beginning January 2001","Monthly","New York State, Regions of New York State, and Counties of New York State.","County","Counts of beneficiaries are rounded to the nearest 100. Benefit Amounts are rounded to the nearest $10,000.",,,
"sctq-fa5e","Environmental Conservation, Department of","Breeding Bird Atlases","https://data.ny.gov/stories/s/sctq-fa5e","New York State's first and second breeding bird atlases documented the distribution of the state's avifauna during two distinct time periods: 1980-1985 and 2000-2005. Over 4,300 individuals submitted data during the first atlas yielding a final, cumulative dataset of over 361,583 records. Over 1,200 individuals submitted data for the second atlas project, resulting in a final database of 519,570 records.","story","Energy & Environment",,"2025-01-03T02:28:08.000","2023-08-09T20:49:00.000",,"data.ny.gov","false",,,,,,,,,,,,,,,
"hexe-btds","Metropolitan Transportation Authority","MTA Origin-Destination and Travel Surveys","https://data.ny.gov/d/hexe-btds","These surveys were conducted to collect data on travel origins and
destinations, trip purposes, and travel characteristics of New York City
Transit, Metro-North Railroad, and Long Island Rail Road customers with
the aim of upgrading the MTA's travel forecasting tools and gaining a
better understanding of how people travel.
--LIRR origin-destination survey (2012-14)
--Metro-North origin-destination survey (2007)
--Metro-North origin-destination survey (2017)
--MTA New York City travel survey (2008)
--MTA New York City travel survey (2018)","href","Transportation","long island rail road,travel survey,subway,origin destination survey,nyct,new york city transit,mnr,metro-north railroad,lirr,bus","2022-08-05T23:10:45.000","2022-08-05T04:01:26.000",,"data.ny.gov","false",,"Metropolitan Transportation Authority","https://www.mta.info/open-data","OpenData@mtahq.org","Metropolitan Transportation Authority","New York City Transit, MTA Bus Company, Long Island Rail Road, Metro- North Railroad","OpenData@mtahq.org","2007 - 2018","Static - Not Updated","New York Metropolitan Area","Individual response",,,"https://new.mta.info/transparency/surveys",
"3wcu-ixud","Environmental Conservation, Department of","Electronic Waste Recycling Facilities List Data Lens","https://data.ny.gov/stories/s/3wcu-ixud","A current listing of NYS Registered Electronic Waste Recycling Facilities. Electronic waste types accepted vary from facility to facility.","story","Energy & Environment",,"2025-01-03T03:21:16.000","2023-08-09T21:15:58.000",,"data.ny.gov","false",,,,,,,,,,,,,,,
"n5ac-5t73","Energy Research and Development Authority","Residual Energy Prices per Sector, Dollars per Million Btu: Beginning 1970","https://data.ny.gov/d/n5ac-5t73","New York Energy Prices presents retail energy price data.  Energy prices are provided by fuel type in nominal dollars per million Btu for the residential, commercial, industrial, and transportation sectors.  This section includes a column in the price table displaying gross domestic product (GDP) price deflators for converting nominal (current year) dollars to constant (real) dollars.  To convert nominal to constant dollars, divide the nominal energy price by the GDP price deflator for that particular year.  Historical petroleum, electricity, coal, and natural gas prices were compiled primarily from the Energy Information Administration.

The New York State Energy Research and Development Authority (NYSERDA) offers objective information and analysis, innovative programs, technical expertise, and support to help New Yorkers increase energy efficiency, save money, use renewable energy, and reduce reliance on fossil fuels. To learn more about NYSERDA’s programs, visit https://nyserda.ny.gov or follow us on X, Facebook, YouTube, or Instagram.","chart","Energy & Environment","nominal prices,energy prices,real prices,prices by sector","2026-03-30T17:47:12.000","2024-06-27T18:48:36.000","https://data.ny.gov/resource/n5ac-5t73.json","data.ny.gov","true","pzgr-wqm5","New York State Energy Research and Development Authority","http://www.nyserda.ny.gov/Energy-Prices-Data-and-Reports/Energy-Statistics-and-Weather-Data/Energy-Statistics.aspx","rsask@labor.ny.gov","Energy Analysis, New York State Energy Research and Development Authority","Energy Analysis","openny@nyserda.ny.gov","Beginning 1970","Annually","Statewide by Sector (Residential, Commercial, Industrial, Transportation)","Sector (Residential, Commercial, Industrial, Transportation)","Prices provided are in nominal dollars.  To convert nominal to constant dollars, divide the nominal energy price by the GDP price deflator for that particular year. ",,,
"q8n5-wxz3","Rochester-Genesee Regional Transportation Authority","Rochester-Genesee Regional Transportation Authority (RGRTA) Percentage of Buses Running On Time:  Beginning 2009","https://data.ny.gov/d/q8n5-wxz3","This dataset identifies the percentage of Rochester-Genesee Regional Transportation Authority (RGRTA) buses that are on time. On-time performance includes the percentage of buses that leave their start point or arrive at a destination within 2:59 minutes early to 5:59 minutes late.","dataset","Transportation","transit,bus,on-time performance,rgrta,rochester,transportation","2025-04-14T19:49:07.000","2025-04-14T19:49:07.000","https://data.ny.gov/resource/q8n5-wxz3.json","data.ny.gov","false",,"Rochester Genesee Regional Transportation Authority",,"jsrinivasan@myrts.com","Rochester Genesee Regional Transportation Authority","Rochester Genesee Regional Transportation Authority","jsrinivasan@myrts.com","Beginning 2009","Annually","Region","County ","The data presented includes the on-time performance (OTP) of RGRTA subsidiaries. The information collected does not include explanations of special events that could affect OTP including movie filming and sporting events that block off entire areas. Changing from manual reporting to automated reporting or changing the on-time window may affect the OTP.",,"http://www.rgrta.com/Portals/0/Documents/Public%20Information/Comp%20Plan_3%2015%2013%20FINAL%20LO%20RES.pdf","On-Time Performance parameters are subject to change."
"49sj-bsp5","Children and Family Services, Office of","Total Days in Care for Children in Foster Care, Chart: Beginning 1994","https://data.ny.gov/d/49sj-bsp5","The purpose of this data set is to provide information on the total number of admissions, discharges, and children in foster care, the type of care, and total Child Protective Services (CPS) reports indicated during period.","chart","Human Services","foster home,foster care,cps,group home","2026-03-19T21:18:51.000","2025-06-03T12:37:39.000","https://data.ny.gov/resource/49sj-bsp5.json","data.ny.gov","true","hfc5-3hsu","Office of Children and Family Services","http://ocfs.ny.gov/main/Professionals_data_reports.asp",,"Office of Children and Family Services","Strategic Planning and Policy Development/Bureau of Research, Evaluation, and Performance Analytics","Vajeera.Dorabawila@ocfs.ny.gov","Beginning 1994","Annually","Statewide","County","Numbers provided have specific definitions and may differ from similar numbers defined differently.",,,
"85qu-kngg","Metropolitan Transportation Authority","MTA Station Entrances and Wi-Fi Availability Map","https://data.ny.gov/d/85qu-kngg","The MTA contracts with Transit Wireless WIFI (http://www.transitwirelesswifi.com) to provide WIFI access in its subway locations. Transit Wireless maintains location data where WIFI access is available.","map","Transportation",,"2021-12-06T22:31:14.000","2021-12-06T22:20:24.000","https://data.ny.gov/resource/85qu-kngg.json","data.ny.gov","true","pwa9-tmie","Metropolitan Transportation Authority","https://www.mta.info/open-data",,"Capital Program Management","MTA Real Estate Department","richard.weinbaum@mtahq.org","Current as of latest quarterly refresh","Quarterly","New York Metropolitan Area","Subway station",,"This file will only contain stations that are considered WIFI-ready.  A station is considered WIFI-ready, once the work from Transit Wireless and at least one provider have completed their installations.","http://www.transitwirelesswifi.com",
"f6xz-p4ni","Mental Health, Office of","Mental Health Continuity of Medication: 2014-2021","https://data.ny.gov/d/f6xz-p4ni","New York State is moving Medicaid behavioral health services from a fee-for-service system into Managed Care.
OMH/OASAS Medicaid Behavioral Health Measures were developed to help monitor the transition of mental health and substance use disorder services from a fee-for-service to behavioral managed care. 

The MH Continuity of Medication dataset displays percentages of Medicaid discharges for members 6-64 years of age who were hospitalized in an inpatient setting with a primary diagnosis of mental illness that a prescription for a psychotropic medication was filled within 30 days of discharge.","dataset","Human Services",,"2023-11-22T17:01:18.000","2022-10-11T20:22:52.000","https://data.ny.gov/resource/f6xz-p4ni.json","data.ny.gov","false",,"The New York State Office of Mental Health, Office of Performance Measurement and Evaluation (OPME)",,"Marleen.Radigan@omh.ny.gov","New York State Office of Mental Health","Office of Performance Measurement and Evaluation (OPME)","Marleen.Radigan@omh.ny.gov","2014 - 2021","Static – Not Updated","Medicaid population, excludes Medicare duals. ","Statewide, region, Medicaid and Managed care coverage category and age group. ","The measures may be different when compared to reports available on other reporting systems due to the differences in - i) Medicaid datamart utilized; ii) Use of plan or other administrative data supplementation ii) technical specifications for measures iii) time frame for measure calculation .   BHO phase I Behavioral Health measures are also available on NYS open data.  Data from phase I and phase II are available for the year of 2014. BHO phase I measures differ from BHO phase II measures in that only Medicaid Fee-For-Service data were included in the numerator and denominator specifications and as such the rates will differ for Phase I and Phase II metrics.",,"http://www.ny.gov/",
"y8rt-xmjq","Mental Health, Office of","BHO SUD Engagement in Care: 2010-2014","https://data.ny.gov/d/y8rt-xmjq","The Behavioral Health Organization (BHO) initiative oversees the transition to managed care for Medicaid recipients who receive mental health (MH) and substance use disorder (SUD) services in New York State. The metrics emphasize improving rates of timely follow-up treatment post discharge, timely filling of appropriate medication prescriptions post discharge, and reducing rates of readmission.The BHO SUD Engagement in Care dataset is designed to assess the frequency with which individuals discharged from inpatient detoxification or chemical dependence inpatient rehabilitation engage in lower level substance use disorder treatment services within 14 and 30 days of discharge. Engagement is defined as receiving two or more such services within 14 days of discharge and three or more lower level services within 30 days of discharge.
The year 2015 saw the conclusion of the first phase of the Behavioral Health Organization initiative
(BHO). A new Behavioral Health Managed Care Transition phase II is underway. The data contained in
the BHO metrics span 2010 to 2014, using the 2010 calendar year for a baseline. Earlier in the program
(2011‐2012) the metrics were calculated quarterly and on a year‐to‐date basis, later in (2013‐2014),
New York State Office of Mental Health opted for semi‐annual and year‐to‐date aggregations.","dataset","Human Services","detoxification & rehabilitation,follow-up treatments,acute care discharges","2019-06-10T18:02:13.000","2015-08-05T22:06:34.000","https://data.ny.gov/resource/y8rt-xmjq.json","data.ny.gov","false",,"The New York State Office Of Mental Health","http://omh.ny.gov/omhweb/statistics/index.htm","Marleen.Radigan@omh.ny.gov","The New York State Office Of Mental Health","Performance, Measurement & Evaluation","Marleen.Radigan@omh.ny.gov","2010-2014","Static - Not updated","Statewide","Aggregated by region","Mental Health measures include Adult (age 21 and above) and Youth (under age 21) populations; whereas, Substance Use Disorder measures include only the Adult population (defined as age 18 and above only).",,"http://www.health.state.ny.us/",
