Accession,id,anticons,model
GSE142314,GSE142314_de_stats.csv.gz,1,illumina hiseq 2500
GSE142325,sheet-P4 from GSE142325_mm10_aligned_DESeq2.xlsx,0,nextseq 500
GSE142364,GSE142364_NfyavsGFP_edgeR.txt.gz,1,nextseq 500
GSE142374,GSE142374_Gene_Expression_FPKM.diff.gz,0,illumina hiseq 2500
GSE142458,sheet-NC_004070_transcripts from GSE142458_MGAS10870_Normalized_data.xlsx,0,illumina hiseq 2500
GSE142485,sheet-Sheet1 from GSE142485_19-12-19_E45_DESEQ_only.xlsx,1,illumina hiseq 2500
GSE142522,sheet-Sheet1 from GSE142522_Table_S1.xlsx,0,ab solid 4 system
GSE142561,GSE142561_TK1_vs_CK1.anno.xls.gz,0,illumina hiseq 2500
GSE142600,GSE142600_MUT.vs.CTL_MF.DE.txt.gz,0,nextseq 500
GSE142606,sheet-ZS4-VS-OE5 from GSE142606_Expression_profiling.xlsx,0,illumina hiseq 2000
GSE142607,sheet-diff_all.txt from GSE142607_tmm_SM_SF.xlsx,0,illumina miseq
GSE142617,sheet-5 Differential Gene Expression  from GSE142617_5_DifferentialGeneExpressionAnalysisResults.xls.gz,0,illumina hiseq 4000
GSE142622,GSE142622_Gene_differential_expression_testing.txt.gz,0,hiseq x ten
GSE142626,sheet-DE from GSE142626_Ming2019_GEO_processed_data.xlsx,0,illumina hiseq 2500
GSE142629,GSE142629_Cvs4_gene_exp.diff.gz,0,illumina hiseq 2000
GSE142635,GSE142635_MCEnC_KOvsWT_early.txt.gz,1,illumina hiseq 3000
GSE142636,GSE142636_pHCEnC_KDvsWT.txt.gz,1,illumina hiseq 4000
GSE142640,GSE142640_Deseq_all_results.txt.gz,1,nextseq 500
GSE142710,sheet-gene_exp_with_symbol from GSE142710_seq_Processed_data_file_of_EAE_-e.g._geo_submission_December_28.xls.gz,0,hiseq x ten
GSE142711,sheet-Sheet1 from GSE142711_seq_Processed_data_file_of_THP-1derived_DCs_-e.g._geo_submission_December_28.xlsx,0,hiseq x ten
GSE142713,GSE142713_WT-vs-J6.all.annot.txt.gz,0,illumina hiseq 4000
GSE142730,sheet-All from GSE142730_A.Birger_gene_exp.xlsx,0,illumina hiseq 2000
GSE142749,GSE142749_deseq2.shrinkage.patched.csv.gz,1,illumina hiseq 2500
GSE142825,sheet-SC_SD from GSE142825_DifferentialExpression.xlsx,0,illumina novaseq 6000
GSE142826,sheet-DESeq2 Results C9 Mat vs Fetal from GSE142826_HK1_Project_DE_analysis.xlsx,1,illumina hiseq 4000
GSE142827,sheet-Sheet 1 from GSE142827_RIP_Hg19_DEseq2Diff.xlsx,1,illumina hiseq 2500
GSE142881,sheet-Sheet 1 from GSE142881_Complete_geneList_EdgeR.xlsx,1,illumina hiseq 4000
GSE142895,GSE142895_edgeR.CARP.m302a.vs.Empty.tsv.gz,1,nextseq 500
GSE143191,sheet-Sheet1 from GSE143191_result.xlsx,0,illumina hiseq 2000
GSE143241,sheet-9h_fpkm from GSE143241_9h.xlsx,0,illumina hiseq 2500
GSE143320,GSE143320_DGE16_RNAseq_data.txt.gz,1,illumina hiseq 2500
GSE143388,GSE143388_Vehicle_OSMI_vs_12p5uM_OSMI-ExpDiff.csv.gz,0,illumina hiseq 2500
GSE143396,sheet-Sheet1 from GSE143396_Gene_list.xlsx,1,illumina hiseq 4000
GSE143456,GSE143456_myb_svsCSKO.Differential_analysis_results.xls.gz,1,illumina novaseq 6000
GSE143520,sheet-WT 0 hr vs. WT 4 hr vs. smn... from GSE143520_WT_0_hr_vs._WT_4_hr_vs._smn_0_hr_vs._smn_4_hr-1.xlsx,0,ion torrent proton
GSE143543,GSE143543_RNAseq_Zic3KO_2iL_mm9_DEseq2.tsv.gz,0,nextseq 500
GSE143597,sheet-Sheet1 from GSE143597_ALL_samples_RPKM.xlsx,0,hiseq x ten
GSE143598,GSE143598_wt_vs_sod_lps-ExpDiff.csv.gz,0,illumina hiseq 4000
GSE143749,GSE143749_Differential_Expression_T_vs_NT.tsv.gz,1,illumina hiseq 2500
GSE143782,sheet-normal_organoids from GSE143782_colon_vs_rectum_control_cpm.xlsx,0,illumina hiseq 2500
GSE143808,GSE143808_CASP8AP2_Mutant_vs_Parental.txt.gz,0,illumina hiseq 2500
GSE143915,GSE143915_SE.MATS.JCEC_StemVAbsPro.txt.gz,0,illumina hiseq 4000
GSE143957,GSE143957_2019_DESEQ2_All2Fac_CPM.csv.gz,1,nextseq 500
GSE144010,sheet-data from GSE144010_CMC-Sham_HF.xlsx,0,illumina hiseq 4000
GSE144025,sheet-Genes from GSE144025_edgeRglm_GENE_EXT1_UNDIFF-H9_UNDIFF.xlsx,1,illumina hiseq 2500
GSE144035,GSE144035_All_counts_data.txt.gz,0,nextseq 550
GSE144057,GSE144057_malt1_exp_expression_matrix.tsv.gz,0,illumina hiseq 4000
GSE144066,GSE144066_2019.05.02.BovTick-BovBlood.txt.gz,1,illumina hiseq 2500
GSE144078,GSE144078_DE.tab.gz,0,dnbseq-g400
GSE144092,GSE144092_pin1_DESeq2.txt.gz,1,illumina hiseq 4000
GSE144093,GSE144093_LAMP2A_vs_VT_full_DESeq2_results.txt.gz,1,nextseq 500
GSE144117,GSE144117_diff_exp_deseq2.csv.gz,1,illumina hiseq 2000
GSE144130,sheet-All_23997 from GSM4281912_4.0h.vs.4h-MDI.xlsx from GSE144130_RAW.tar,0,nextseq 500
GSE144160,GSE144160_DESeq2_gene_Dday1_Rday1.txt.gz,0,nextseq 500
GSE144167,GSE144167_DiffExp_EGFRact_vs_GFP.csv.gz,0,illumina hiseq 2500
GSE144193,GSE144193_consolidated.tsv.gz,1,illumina novaseq 6000
GSE144208,GSE144208_patient_vs_healthy_old_all.csv.gz,1,illumina hiseq 4000
GSE144268,sheet-TRS_007_4group_N3_TotalCoun... from GSE144268_TRS_007_4group_N3_TotalCount_quantile_normlaized_ANOVA_FDR_pVal_005_2x_2659genes.xlsx,0,illumina genome analyzer
GSE144295,GSE144295_WvsP_DESeq2.csv.gz,0,nextseq 500
GSE144337,sheet-Sheet1 from GSE144337_Report-Deseq2.xlsx,1,nextseq 500
GSE144348,sheet-Sheet1 from GSE144348_GEOSubmissionProcessedDataTable200127.xlsx,1,nextseq 500
GSE144480,sheet-Results from GSE144480_DeSeq2_22_uM_DO_vs_3.8_uM_DO_paired.xls.gz,1,illumina miseq
GSE144585,GSE144585_BioJupies_ex-vivo-cells.txt.gz,1,illumina hiseq 4000
GSE144589,GSE144589_FETAL_Differential_expression_analysis_table.csv.gz,1,illumina hiseq 2500
GSE144595,GSE144595_SP-A2_1A3_-6hrs-MvsF_edgeR_rev_with_genenames.txt.gz,0,illumina hiseq 2500
GSE144607,GSE144607_gene_exp.diff.txt.gz,0,illumina hiseq 2000
GSE144622,GSE144622_tub.SHAM.M_vs_F.txt.gz,0,nextseq 500
GSE144633,sheet-treated_vs_PBS.all.gene.result  from GSE144633_Control_vs_Shiga_toxin_24_hour.all.gene.result_1_.xls.xlsx,1,illumina hiseq 1000
GSE144675,GSE144675_noTreatment_vs_Treatment_in_osm3_deseq2.txt.gz,1,hiseq x ten
GSE144725,GSE144725_Differential_expression_Pat-OE-Gal_vs_Pat-OE-Glc.csv.gz,1,illumina hiseq 2500
GSE144726,GSE144726_Processed_RNA_Seq_data.txt.gz,1,nextseq 500
GSE144734,sheet-Testing_Results from GSE144734_Supporting_file_table2.xlsx,1,nextseq 550
GSE144739,sheet-Diff_gene_result_all-2020-0202 from GSE144739_processed_data.xlsx,0,hiseq x ten
GSE144761,GSE144761_DGEresults_R109XIROvsR109X.csv.gz,0,illumina hiseq 4000
GSE144762,sheet-13499R_Heat_vs_Control_CRISPR.t from GSE144762_13499R_RNAseq_d6.xlsx,1,illumina hiseq 2000
GSE144767,sheet-GeneExpression from GSE144767_hPSC_main_file.xlsx,1,illumina hiseq 4000
GSE144795,sheet-serotoninall-genes from GSE144795_serotonin-all-genes.xlsx,0,nextseq 500
GSE144800,sheet-E_DMSOvsC_DMSO_DEG from GSE144800_E_DMSOvsC_DMSO_DEG.xls.gz,0,illumina novaseq 6000
GSE144814,GSE144814_DR_T1vsW_T1_DEG.txt.gz,1,illumina novaseq 6000
GSE144877,GSE144877_Aire_KO_RNA_seq.csv.gz,0,ion torrent proton
GSE144882,sheet-Sheet1 from GSE144882_12hpi_WT_v_DUBmut.xlsx,0,illumina hiseq 2000
GSE144886,GSE144886_input_mock_v_endoumut.xls.gz,0,illumina hiseq 2000
GSE144911,sheet-All_Genes from GSE144911_All_genes_Mockvs14dpi_and_Mockvs21dpi_prelog2.xlsx,0,nextseq 550
GSE144942,sheet-Sheet1 from GSE144942_DEseq2.xlsx,1,hiseq x ten
GSE144944,sheet-cluster 15 from GSE144944_Findmarkers_by_cluster.xlsx,1,illumina novaseq 6000
GSE144947,sheet-flx_vs_cko.gene_exp from GSE144947_CCNC_flx_vs_cko_gene_exp.xlsx,0,illumina hiseq 2000
GSE144948,sheet-Sheet1 from GSE144948_Minus_vs_Plus_OVCAR3_DAB2IP.DESeq2_Results.xlsx,1,nextseq 500
GSE145100,GSE145100_DESeq2_analysis.txt.gz,1,illumina hiseq 2500
GSE145103,sheet-Genes from GSE145103_edgeRglm_GENE_sCyp-sWt.xlsx,1,illumina hiseq 2500
GSE145106,GSE145106_mv411_ctrl_vs_3hrLSD1i_cuffdiff_gene_exp.diff.gz,0,illumina hiseq 3000
GSE145136,GSE145136_de_KO_infected_vs_WT_infected.csv.gz,0,illumina hiseq 2500
GSE145162,GSE145162_deltasbp1Unt_vs_deltasbp1Az.Differential_Expression.anno.txt.gz,1,illumina hiseq 2500
GSE145167,sheet-Expression Browser GE from GSE145167_Baines_GE_Expression.xlsx,0,nextseq 500
GSE145169,GSE145169_F1_C2.anno.txt.gz,0,illumina hiseq 2500
GSE145211,GSE145211_control_vs_6d_cuffdiff_gene_exp.diff.gz,0,illumina novaseq 6000
GSE145215,sheet-edgeR GLM gene from GSE145215_edgeRglm_GENE_KOA-WTA.xlsx,1,illumina novaseq 6000
GSE145232,GSE145232_edgeR_7m_7v.csv.gz,0,nextseq 500
GSE145293,GSE145293_F10_F0_Ribotag_filtered_logFC.txt.gz,1,illumina hiseq 2500
GSE145303,GSE145303_Expression_Table_GOS-FOS-1_2_3.txt.gz,0,nextseq 500
GSE145330,GSE145330_Processed_uninj_inj_GEO.txt.gz,0,illumina hiseq 2000
GSE145469,GSE145469_Time_6h_kombi_vs_Control.txt.gz,0,illumina hiseq 4000
GSE145495,GSE145495_G3_vs_G1_CPM_log2FC_FDR_complete_table.txt.gz,0,illumina hiseq 2000
GSE145504,GSE145504_res_PEG_vs_Unop_annotated.txt.gz,0,illumina hiseq 3000
GSE145514,GSE145514_gene_diff.txt.gz,0,bgiseq-500
GSE145536,GSE145536_MCF7_gene_exp.diff.gz,0,nextseq 500
GSE145582,GSE145582_STARscVSsf.txt.gz,0,illumina hiseq 2000
GSE145587,sheet-Mobley_RS3_geneExprs_differenti from GSE145587_Mobley_RS3_GeneExpression.xlsx,1,illumina hiseq 2500
GSE145611,GSE145611_Gata2_WTvsKO_UN_gene_exp.diff.gz,0,illumina novaseq 6000
GSE145635,GSE145635_RNA-seq-Hep3B-siRNA-2_vs_Hep3B-siNC_all.xls.gz,0,illumina novaseq 6000
GSE145637,sheet-gene_exp from GSE145637_gene_exp.diff.xlsx,0,illumina hiseq 2500
GSE145704,GSE145704_Anp32e_Null_RNAseq_DESeq2_table.txt.gz,1,nextseq 550
GSE145710,sheet-control_vs_patient_Differential from GSE145710_control_vs_patient_Differential_Expression.xlsx,0,illumina hiseq 4000
GSE145713,GSE145713_NOD_3w_GFPminus_vs_B6_3w_GFPminus_DEseq2_Counts.txt.gz,0,illumina hiseq 3000
GSE145766,sheet-deg2 from GSE145766_DESeq2_normalized.xlsx,0,illumina hiseq 4000
GSE145792,GSE145792_RNA-seq_counts_DESeq2.txt.gz,0,hiseq x ten
GSE145835,GSE145835_ChimericMiceAnalysis.txt.gz,0,bgiseq-500
GSE145863,GSE145863_deseq.txt.gz,1,illumina novaseq 6000
GSE145907,GSE145907_APPPSVSWT_all.anno.gene.txt.gz,0,illumina hiseq 2000
GSE145956,GSE145956_Ovilo14_DEGenes_DESeq2.csv.gz,1,illumina hiseq 2000
GSE146012,GSE146012_DEG_MFPmet_vs_Tumor.txt.gz,0,illumina hiseq 2500
GSE146017,GSE146017_CEBPD_healthy_siCTRL_Bud_vs_healthy_siCTRL_control_full_DESeq2_results.txt.gz,0,illumina hiseq 2500
GSE146063,GSE146063_miR-HMVEC-887_vs_Cntrl-HMVEC.txt.gz,0,illumina hiseq 2500
GSE146105,sheet-PTUGroups_LikelihoodDE_S_Annota from GSE146105_PTUGroups_Female_FHM_Kidney_ProcessedData.xlsx,0,illumina hiseq 3000
GSE146150,GSE146150_N1668-N1682_AllVentricle_vs_AllOthers_DESeq2_result_overview.txt.gz,0,nextseq 550
GSE146212,GSE146212_rnaseq_cuffdiff_global_genes_exp_diff.tsv.gz,0,illumina hiseq 3000
GSE146225,GSE146225_WT_p53_BOB_TC_wMMS_gene_exp.diff.gz,0,illumina hiseq 4000
GSE146246,GSE146246_WH7803_LL_HL_norm_counts_FC.tsv.gz,1,illumina hiseq 3000
GSE146300,GSE146300_nsRNA_S18134_Med14_Med17_AID.txt.gz,1,illumina hiseq 4000
GSE146307,GSE146307_PR1222_processed_data.txt.gz,0,illumina novaseq 6000
GSE146310,sheet-Sheet1 from GSE146310_CL29_vs_CL1_CC36_RNAseq_-_for_submission.xlsx,0,illumina hiseq 4000
GSE146315,sheet-Sheet1 from GSE146315_in_E3_from_E3C11_co-culture_vs_E3E3_coculture_-_for_submission.xlsx,1,illumina hiseq 4000
GSE146318,GSE146318_Sua7_newly_synthesized_RNA.txt.gz,1,illumina hiseq 4000
GSE146321,GSE146321_totalRNA_S19282_Med14Med17_AID.txt.gz,1,illumina hiseq 4000
GSE146335,GSE146335_M22_3vsw1118_deg.txt.gz,0,illumina novaseq 6000
GSE146368,GSE146368_Stat_d_UF_5UTRv.txt.gz,0,nextseq 500
GSE146380,GSE146380_PR1254_01_vs_02_20200225.txt.gz,0,illumina novaseq 6000
GSE146401,sheet-C_vs_KO.gene_exp from GSE146401_C_vs_KO.gene_exp.diff.xlsx,0,nextseq 500
GSE146405,GSE146405_gene.description.xls.gz,0,illumina novaseq 6000
GSE146411,GSE146411_All_genes_fold_changes_RA_vs_CT_paired.csv.gz,0,illumina hiseq 4000
GSE146412,GSE146412_FW_vs_wt.csv.gz,1,illumina hiseq 4000
GSE146438,GSM4385471_D78R5D01_vs_D78US.genes.DEA.txt.gz from GSE146438_RAW.tar,1,illumina novaseq 6000
GSE146455,GSE146455_CKO1_WT1.anno.txt.gz,0,illumina hiseq 2500
GSE146474,sheet-beta_DE_genes from GSE146474_candidate_gene_list.xlsx,0,nextseq 500
GSE146487,GSE146487_Cuffdiff_output.tab.gz,0,illumina hiseq 4000
GSE146488,GSE146488_WT_hutC_DFGs.csv.gz,0,illumina hiseq 4000
GSE146546,GSE146546_DE_A549_WT_vs_sgIMP1_all.csv.gz,0,illumina hiseq 2500
GSE146547,GSE146547_DE_A549_siC_vs_siIMP1_all.csv.gz,0,nextseq 500
GSE146557,GSE146557_CT26_gene_exp.diff.gz,0,bgiseq-500
GSE146618,GSE146618_mut-2_vs_wild-type_gene_TE_analysis.txt.gz,0,nextseq 500
GSE146622,GSE146622_PBT2.VS.DMSO-all_genes.txt.gz,1,illumina hiseq 2500
GSE146624,sheet-Sheet1 from GSE146624_shBRD9-11dvsshScr-11d_DEG_all.xls.gz,0,illumina hiseq 4000
GSE146629,sheet-RNF40_cko_vs_ctrl from GSE146629_RNF40_SC_cko_vs_ctrl.xlsx,0,illumina hiseq 2500
GSE146640,GSE146640_DESeq2_results.txt.gz,0,illumina hiseq 2500
GSE146659,GSE146659_control_vs_mutation.csv.gz,0,illumina hiseq 1000
GSE146676,GSE146676_GSKJ4_vs_Con_edger_symble.xls.gz,1,dnbseq-g400
GSE146720,sheet-STK25vsCON_5-28-19 (2) from GSE146720_StkTaoRNAseqAnalysis05292019_md5.xlsx,1,nextseq 550
GSE146728,GSE146728_WT_TAKvsMut_TAK.all.all_genes.txt.gz,0,illumina hiseq 2500
GSE146732,sheet-WT-vs-Nppa-b-SE-KO from GSE146732_Nppa-Nppb-SE-RNA-seq-counts.xlsx,0,illumina hiseq 4000
GSE146735,GSE146735_hnf4_RNAi_RNAseq.csv.gz,0,nextseq 550
GSE146802,GSE146802_DE_HepG2_siC_vs_siIMP1_all.csv.gz,0,illumina hiseq 2500
GSE146803,GSE146803_DE_MV3_siC_vs_siIMP1_all.csv.gz,0,nextseq 500
GSE146805,GSE146805_DE_PANC1_siC_vs_siIMP1_all.csv.gz,0,nextseq 500
GSE146806,GSE146806_DE_PANC1_siC_vs_siMETTL3_14.r_all.csv.gz,0,illumina hiseq 2500
GSE146887,GSE146887_data.csv.gz,0,nextseq 500
GSE146978,sheet-NO_Papp16K5_4___NO_Papp16only_4 from GSE146978_p16_expressing_versus_control_skin_papillomas.xlsx,0,illumina hiseq 2500
GSE147001,GSE147001_gene_exp.diff.gz,0,illumina novaseq 6000
GSE147026,GSE147026_mRNA-ADVSCK.All.anno.txt.gz,1,illumina novaseq 6000
GSE147064,GSE147064_KO4_WT8.anno.txt.gz,0,illumina hiseq 2500
GSE147077,GSE147077_transcripts.csv.gz,1,illumina hiseq 2500
GSE147114,sheet-Deseq_results from GSE147114_CONTUTD2A_CONTUTD2B_vs_CB2UTA_CB2UTBDE.xlsx,0,illumina novaseq 6000
GSE147222,GSE147222_RNASeq_edgeR_glucose_vs_unmodified.txt.gz,1,illumina hiseq 3000
GSE147244,GSE147244_wholeDatAll.txt.gz,0,illumina hiseq 2500
GSE147254,"sheet-upright col, tac1, lazy1  from GSE147254_Supplemental_Data_D1-_All_RNAseq_data.xlsx",0,illumina hiseq 2000
GSE147316,sheet-Cepa 9 from GSE147316_Resumen_ST846-OXA48_ST258-KPC3_DESEQ2.xlsx,1,ion torrent pgm
GSE147337,sheet-Sheet1 from GSE147337_Elav-pdm3_RNAi_mid-pupal_RNA_Seq_DE_Seq_results.xlsx,0,illumina hiseq 4000
GSE147339,GSE147339_dge.Psoriasis_vs_Control.csv.gz,0,illumina hiseq 4000
GSE147351,GSE147351_control-VS-Tg_serpini1_.PossionDis_Method.GeneDiffExp.txt.gz,1,illumina hiseq 4000
GSE147413,sheet-Sheet1 from GSE147413_DESeq2_results_TPMs_SJSA1_Ctl-KD.xlsx,0,nextseq 500
GSE147419,GSE147419_oe_deseq_de.csv.gz,0,illumina hiseq 4000
GSE147423,sheet-gene_name_clean-s0-5reads_OUT_W from GSE147423_Nunez_GEO_processed_data.xlsx,1,illumina hiseq 2500
GSE147427,GSE147427_Hs944_deseq_de.csv.gz,0,illumina hiseq 4000
GSE147428,sheet-PAT_DEseq2_Analysis_4BRS_WTvsKO from GSE147428_WT_vs_Eos_KO_Th1_DEseq2_Analysis_4BR.xlsx,0,illumina hiseq 4000
GSE147435,sheet-Differential expression from GSE147435_Differential_gene_expression_analysis.xlsx,0,nextseq 500
GSE147447,GSE147447_Expression_profiling.csv.gz,0,bgiseq-500
GSE147449,GSE147449_data.csv.gz,1,nextseq 500
GSE147469,sheet-Sheet1 from GSE147469_geneexp_F_VTA.xlsx,0,illumina hiseq 4000
GSE147503,sheet-all_transcripts from GSE147503_TRC105_vs_IgG_all_transcripts.xlsx,0,illumina hiseq 2500
GSE147519,GSE147519_CPM_normalized.txt.gz,0,illumina hiseq 2000
GSE147540,GSE147540_de_stats.csv.gz,1,illumina hiseq 2500
GSE147554,GSE147554_Cuffdiff_gene_differential_expression_testing.txt.gz,0,nextseq 500
GSE147630,sheet-Sheet1 from GSE147630_Hughes_rpkm_mRNA.xlsx,0,nextseq 500
GSE147647,sheet-output_annot from GSE147647_WTS_vs_KOS.xls.gz,0,illumina hiseq 2000
GSE147650,sheet-Sheet 1 from GSE147650_b6_vs_uty_dayEffect_counts_normalized_relative_to_library_size.xlsx,0,illumina novaseq 6000
GSE147651,sheet-Sheet 1 from GSE147651_uty_vs_b6_counts_normalized_relative_to_library_size.xlsx,0,illumina hiseq 4000
GSE147727,GSE147727_GO.MF.report.txt.gz,0,illumina genome analyzer
GSE147734,GSE147734_SD_NLSvsCSKO.Differential_analysis_results.txt.gz,1,illumina novaseq 6000
GSE147739,GSE147739_SW480-sgAKAP12_DE2_logFC.txt.gz,0,illumina hiseq 4000
GSE147767,sheet-Traf3KOp100KO vs. NT from GSE147767_Traf3KO_vs._NT_vs._Traf3KOp100KO_FDR_FoldChange_etc.xlsx,0,illumina novaseq 6000
GSE147771,GSM4445668_normal_vs_treatment_4.gene_expression_table.tsv.gz from GSE147771_RAW.tar,0,illumina novaseq 6000
GSE147818,GSE147818_gdt_table_GEO2.tsv.gz,0,illumina hiseq 2500
GSE147872,GSE147872_WAT452_res.all.tab.txt.gz,0,nextseq 500
GSE147905,sheet-danielle_count_table_summed_dif from GSE147905_pgc1b_rnaseq_differential_expression.xlsx,0,nextseq 550
GSE147936,sheet-all data (status=OK) from GSE147936_mDRG_cont_vs_CD133_RNA-Seq_CHI_092818.xlsx,0,illumina hiseq 2500
GSE147976,sheet-17 from GSE147976_CWR22Pc-EP_gene_count_matrix_DEseq2.xlsx,0,illumina novaseq 6000
GSE147990,GSE147990_ko_vs_wt_counts_normalized_relative_to_library_size_last.tsv.gz,0,illumina hiseq 2500
GSE148007,sheet-edgeR GLM gene from GSE148007_edgeRglm_GENE_sh-scr.xlsx,0,illumina novaseq 6000
GSE148023,sheet-Sheet1 from GSE148023_processed_data.xlsx,1,nextseq 500
GSE148051,GSE148051_gene_exp.diff.gz,0,illumina hiseq 4000
GSE148096,GSE148096_BT20_24hDMSOvERL_DeSeq2output.txt.gz,1,nextseq 500
GSE148101,GSE148101_B1_vs_parent_geneExp.diff.gz,0,illumina hiseq 2000
GSE148116,sheet-PA-vs-clpv.genes.annot from GSE148116_PA-vs-Clpv3.genes.annot.xlsx,0,illumina hiseq 2500
GSE148178,GSE148178_DESeq2_results.KO3_vs_WT.txt.gz,0,illumina novaseq 6000
GSE148240,sheet-RQ6 statistics from GSE148240_Analysis_DESEQ_RQ6_07apr2020_v2.xlsx,1,nextseq 500
GSE148267,GSM4459015_3HD_6hr_Tconvs_vs_Tregs_DEGseq_merged_score.tsv.gz from GSE148267_RAW.tar,1,illumina genome analyzer iix
GSE148275,sheet-data2 from GSE148275_Lee_GEO_processed.xlsx,1,illumina novaseq 6000
GSE148336,GSE148336_dox_v_noDox.txt.gz,0,illumina hiseq 4000
GSE148353,GSE148353_PROCESSED_DATA.csv.gz,0,bgiseq-500
GSE148356,GSE148356_S18110_alldata.tsv.gz,0,illumina hiseq 4000
GSE148377,GSE148377_DESeq2-CA_IP.txt.gz,0,illumina hiseq 4000
GSE148387,GSE148387_data.csv.gz,0,nextseq 500
GSE148451,sheet-forprism from GSE148451_gene_exp_diff.xlsx,1,illumina hiseq 2500
GSE148473,GSE148473_RNA_DESeq2_A485_vs_Control_results.csv.gz,1,illumina novaseq 6000
GSE148475,GSE148475_Table_S1.txt.gz,0,illumina hiseq 4000
GSE148484,sheet-Sheet1 from GSE148484_D5_M_vs_D5_C_diff_exp.xls.gz,0,illumina hiseq 4000
GSE148592,sheet-C1_vs_C2 from GSE148592_de_features_all_comparisons_20191023.xlsx,0,nextseq 500
GSE148662,GSE148662_Hi_vs_Lo_DESEQ_GEO_processed.txt.gz,0,nextseq 500
GSE148669,GSE148669_Th17_high_and_low_salt_DESeq2_diff_expression.csv.gz,0,illumina hiseq 2000
GSE148684,GSE148684_DE_A549_WT_vs_sgMiR21_all.csv.gz,0,illumina hiseq 2500
GSE148703,GSE148703_data.csv.gz,0,nextseq 500
GSE148731,sheet-Sheet1 from GSE148731_4_MF2_infected_versus_non-infected_24_hours.xlsx,0,illumina hiseq 2500
GSE148787,GSE148787_KRABINER_KOvsWT_TREs_DESeq2.csv.gz,1,nextseq 500
GSE148802,sheet-IXA1 from GSE148802_DESeq_IXA.xlsx,1,bgiseq-500
GSE148854,GSE148854_mm10_3v3_WT_vs_KO_DESeq2_DifferentialAnalysis_Allgenes.txt.gz,0,illumina novaseq 6000
GSE148859,GSE148859_w12_Tak1_HEP_Ripk1D138N_D138N_vs_Tak1f_f_DESeq2.csv.gz,1,hiseq x ten
GSE148887,sheet-5.1.1_基因表达量_基因表达量_095303 from GSE148887_PROCESSED_DATA_FILES.xls.gz,1,bgiseq-500
GSE148910,GSE148910_chaf1b.pxpr.diff.genes.csv.gz,0,nextseq 500
GSE149004,GSE149004_data_RNASeq_MACE.csv.gz,0,nextseq 500
GSE149011,sheet-Differential Gene Expression from GSE149011_Downey_RNA-seq_Analysis_Processed_data_2020_F.xlsx,0,illumina hiseq 4000
GSE149019,sheet-genes_significantFALSE_minlogFC from GSE149019_BrinkmeierRNAseq_individual_sample_FPKM.xlsx,0,illumina hiseq 4000
GSE149059,sheet-DESeq2_results from GSE149059_pBAD_vs_MdoR_counts_DESeq2_data.xlsx,0,illumina hiseq 4000
GSE149099,sheet-retina from GSE149099_infant_adult_bulk_processed_TPMs.xlsx,1,illumina hiseq 2000
GSE149120,GSE149120_MXE.MATS.JC.txt.gz,0,illumina novaseq 6000
GSE149192,sheet-All from GSE149192_POC_VS_OC.xlsx,0,illumina novaseq 6000
GSE149195,GSE149195_res2.csv.gz,1,illumina hiseq 2000
GSE149235,GSE149235_gene_exp.upload.diff.gz,0,illumina hiseq 2000
GSE149261,sheet-Gene_Expression from GSE149261_adult_E151G_vs_E151A_FC2X.xlsx,0,illumina novaseq 6000
GSE149270,GSE149270_deseq2_results_TM5_2_05_Vs_TM5_2_24.csv.gz,1,illumina hiseq 3000
GSE149272,GSE149272_nsd3_sig.csv.gz,0,illumina hiseq 3000
GSE149364,GSE149364_MI_TRD_12wk_vs_MI_12wk-gene_list.csv.gz,1,illumina hiseq 2500
GSE149369,GSE149369_iPSC.RI.MATS.JCEC.txt.gz,0,illumina hiseq 2000
GSE149386,sheet-DE.et.ExactTest_DE.all from GSE149386_DifferentialExpression.xlsx,0,illumina hiseq 2500
GSE149390,GSE149390_Melanoma_melanocyte_M14_Rad6BKO_HEMaLP_Diff_Expression_mshekhar.csv.gz,0,illumina hiseq 2500
GSE149400,GSE149400_SK68-VS-JNB5-1.GeneDiffExp.txt.gz,0,hiseq x ten
GSE149410,sheet-deseq_result_star from GSE149410_differential_expression.xlsx,0,illumina hiseq 2000
GSE149413,GSE149413_DiffGene_results_AFB_vs_TFB.tsv.gz,0,nextseq 500
GSE149442,GSE149442_gene-WT-Gdpd3-KO_DESeq2.txt.gz,0,illumina hiseq 2500
GSE149505,GSE149505_gene_exp_bTB_PCR-N_PPD-B_vs._bTB_PCR-N_PBS.txt.gz,0,illumina hiseq 2500
GSE149554,GSE149554_Rnf12W576YvsRnf12WT.complete.txt.gz,0,nextseq 500
GSE149565,GSE149565_EM30_vs_UN_inWT.tsv.gz,0,illumina hiseq 2500
GSE149577,GSE149577_cuffdiff_fdl1_vs_WT_growth_chamber_2020.csv.gz,0,illumina novaseq 6000
GSE149611,GSE149611_differentiallyexpressedgenesofDMSOvsVolinanserinH.csv.gz,1,illumina hiseq 2500
GSE149628,sheet-DEseq2 results from GSE149628_DEseq2_results.xlsx,0,nextseq 500
GSE149719,sheet-MXE.MATS.JCEC from GSE149719_RMATS_PsiRNAi.xls.gz,0,illumina hiseq 2500
GSE149743,sheet-Sheet1 from GSE149743_Psa6_RNA-seq_Ranalyzed-output.xlsx,0,ion torrent pgm
GSE149753,GSE149753_core_table.xls.gz,0,bgiseq-500
