Accession,id,Class,log10_n_pvalues,anticons
GSE137390,sheet-IGR37SCDi_vs_DMSO from GSE137390_siSCD1_DGE.xlsx,anti-conservative,4.128108349103107,anti-conservative
GSE137410,sheet-Sheet1 from GSE137410_siKLF4_GSA.xlsx,anti-conservative,4.213623993416087,anti-conservative
GSE137412,GSE137412_macro_Wt_DexLPSoverLPS_expressed_lengthscaledTPMs.txt.gz,anti-conservative,3.9730816496013674,anti-conservative
GSE137423,sheet-Diffrential Expression from GSE137423_DMSO_Ethanol_and_Fluconazole_AA.xlsx,bimodal,3.7774268223893115,all other classes
GSE137425,sheet-Differential Expression from GSE137425_Count_FPKM_Differential_Expression.xlsx,other,4.318751813857112,all other classes
GSE137426,sheet-Dif. Expression WT vs. KO from GSE137426_Count_FPKM_Differential_Expression_FN.xlsx,other,4.299942900022767,all other classes
GSE137428,GSE137428_gene_exp.diff.gz,bimodal,5.924700967346537,all other classes
GSE137447,sheet-9. ∆rr11 vs rr11rr11D53A at 17  from GSE137447_Overal_transcripts_of_rr11_mutants_in_ST556.xlsx,anti-conservative,3.330819466495837,anti-conservative
GSE137448,GSE137448_Control_Lucat_Async_RPKMs.txt.gz,anti-conservative,4.205529151061802,anti-conservative
GSE137451,GSE137451_Better_Annotation_14K_only_annotated_Hollis_ILcounts10_nbinomTest-DESeq2_replicates_plus_condition_plus_counts.txt.gz,other,4.1604685311190375,all other classes
GSE137457,GSE137457_liver_fibrosis_RNA_seq_ccl4_24h.txt.gz,bimodal,4.38642761768095,all other classes
GSE137463,sheet-Sheet1 from GSE137463_Foxp1_cKO_analysis_Cuffdiff.xlsx,bimodal,4.368286884902131,all other classes
GSE137468,GSE137468_Fol4287.WT-vs-CaN_mutants.txt.gz,other,4.209997296082369,all other classes
GSE137473,GSE137473_gene_exp.diff_MRP7.vs.MRP8.txt.gz,conservative,4.591187083070457,all other classes
GSE137485,sheet-PAO1_DE_unstranded from GSE137485_RNA-seq_ErfA_DE_PAO1.xlsx,uniform,3.7512020945883533,anti-conservative
GSE137509,sheet-Complete table from deseq2 from GSE137509_Supplementary_file_S1.xlsx,anti-conservative,3.476976465759527,anti-conservative
GSE137519,GSE137519_DEG.txt.gz,other,4.484356792265614,all other classes
GSE137531,sheet-Sheet1 from GSE137531_siYT_GSA.xlsx,anti-conservative,4.222274149796562,anti-conservative
GSE137555,GSE137555_GFP_vs_Cre.txt.gz,anti-conservative,4.09572712255598,anti-conservative
GSE137571,GSE137571_RNAseq_Ribose_Over_Glucose_Btheta_VPI_5482.txt.gz,bimodal,3.6939027410660605,all other classes
GSE137608,GSE137608_Hormone_DE_analysis2.txt.gz,other,5.2552073560447194,all other classes
GSE137625,GSE137625_HR_cell_death_12_mock_CMVY_.csv.gz,other,4.357763381123948,all other classes
GSE137636,GSE137636_YKL_vs_DMSO_DEG.txt.gz,anti-conservative,4.202379321079624,anti-conservative
GSE137678,GSE137678_res1_45_control_basal_vs_Stat5Adipoq_basal.id.csv.gz,anti-conservative,4.129625452035683,anti-conservative
GSE137691,GSE137691_GEOsubmission_Cut_and_Run_totalPeaks_raw.txt.gz,anti-conservative,4.916353917695552,anti-conservative
GSE137702,GSE137702_DIPG4_all_genes_FDR.csv.gz,other,4.563872485961719,all other classes
GSE137721,GSE137721_DE_CochWT-CochKI.txt.gz,other,4.399292898043911,all other classes
GSE137737,sheet-Normalized FPKM from GSE137737_diff_sig_geneexp_ribotrap.xlsx,other,4.162295502772753,all other classes
GSE137843,GSE137843_SI-vs-NC.genes.annot.xls.gz,bimodal,4.312896352191705,all other classes
GSE137889,GSE137889_all.counts.DSSKO_vs_DSSWT.edgeR_all.xls.gz,other,4.2430628648048065,all other classes
GSE137918,GSE137918_Klf14matKO_DESeq2.csv.gz,conservative,4.481772165924176,all other classes
GSE137934,GSE137934_Gene_Exp_UM20.diff.gz,bimodal,4.750901627403038,all other classes
GSE137939,sheet-results from GSE137939_results_hDS_seq_IIT.xlsx,anti-conservative,4.197859231738088,anti-conservative
GSE137945,GSE137945_igenomes_known_GENES_counts_SM-VS-DM.glmLRT.txt.gz,other,4.304016336520766,all other classes
GSE137988,GSE137988_20180621_Rat.cpm_AVG_glmFit_.csv.gz,other,4.461108176684852,all other classes
GSE138011,sheet-Galaxy981-(Cuffdiff_on_data_337 from GSE138011_SDE_genes_for_all_treatment_groups.xlsx,bimodal,5.565204161247944,all other classes
GSE138057,GSE138057_Treat_vs_control_diff.txt.gz,other,4.312367794715973,all other classes
GSE138058,GSE138058_GranuleCTRL_vs_GranuleG3BP1.gene_exp.diff.gz,bimodal,4.418765174994478,all other classes
GSE138066,GSE138066_DESeq2_result_file_on_NSD2-KD_and_Ctr-KD.txt.gz,other,4.235200076969275,all other classes
GSE138110,sheet-TE_list_all from GSE138110_Ribosome_profiling_TE_list.xlsx,other,4.019240950395851,all other classes
GSE138113,GSE138113_DESeq_Results_Figure1B.txt.gz,other,4.468391643914762,all other classes
GSE138116,GSE138116_sleuthwaldtesttable2.csv.gz,other,4.3163059023458565,all other classes
GSE138119,GSE138119_Lanno_et_al_2019_sechellia_cuffdiff.txt.gz,bimodal,4.237367773021761,all other classes
GSE138153,GSE138153_samples_fpkm.txt.gz,other,4.403446548775877,all other classes
GSE138165,GSE138165_HSPCs_gene_exp.diff.gz,conservative,6.401021919166783,all other classes
GSE138207,sheet-Only protein coding genes from GSE138207_RNAseq_counts_and_RPKM_and_DESeq2_analysis_T11F80L_8_37_vs_WT_37.xlsx,anti-conservative,4.0597526942092985,anti-conservative
GSE138225,sheet-Conti-iEPCs vs YAC_iEPCs.Differ from GSE138225_Cont-iEPCs_vs_YAC_iEPCs.Differential_analysis_results.xls.gz,bimodal,4.342304220718211,all other classes
GSE138278,GSE138278_Sven_Ribo_gene_expression.txt.gz,other,3.901131251355372,all other classes
GSE138289,sheet-WT_vs_KO_DEseq2_all from GSE138289_WT_vs_KO_DEseq2_all_merge_counts_norm.xlsx,anti-conservative,4.307752687865666,anti-conservative
GSE138333,GSE138333_DESeq2_output.tsv.gz,anti-conservative,4.234972598405243,anti-conservative
GSE138338,GSE138338_DESeq2_results_RBP_RNASeq-hfq_vs_M-WT-1_LRT_3-3_All.txt.gz,anti-conservative,4.244895333691861,anti-conservative
GSE138340,GSE138340_edgeR_analysis.txt.gz,anti-conservative,4.103358939866562,anti-conservative
GSE138373,sheet-RNA-Seq_data_08_24_2019_FB2008_ from GSE138373_RNA-Seq_data_08_24_2019_FB2008_dmelr5_genes_total_counts.xlsx,other,4.090998297753198,all other classes
GSE138389,sheet-Sheet1 from GSE138389_BHV_vs_BIF.differentialExpression.xls.gz,other,4.278639297890739,all other classes
GSE138419,GSE138419_Chow_diffOutput.txt.gz,other,4.396896449142524,all other classes
GSE138432,GSE138432_WT_vs_6x_pfd.min1rpkm.DESeq2.tsv.gz,anti-conservative,4.287353772714747,anti-conservative
GSE138441,sheet-CR1_3_input_vs_HCT_input from GSE138441_DE_CR1_3_input_vs_HCT_input.xlsx,other,4.537882031742018,all other classes
GSE138445,GSE138445_Cufflinks_FPKM_WT_vs_CD44KO_AMs_N3.final.csv.gz,conservative,4.3863384163575105,all other classes
GSE138449,GSE138449_Galaxy728-_Cuffdiff_on_data_264__data_259__and_others_transcript_differential_expression_testing.txt.gz,bimodal,4.157607853361668,all other classes
GSE138468,sheet-DS_RPKM from GSE138468_DS-DK-RPKM.xlsx,other,4.278319089178812,all other classes
GSE138508,GSE138508_isoform_exp.diff.gz,conservative,6.801329606058788,all other classes
GSE138537,GSE138537_Mouse_tendons_edgeR.txt.gz,anti-conservative,4.128786858642598,anti-conservative
GSE138538,GSE138538_RvsG_expression.csv.gz,other,4.305200845276408,all other classes
GSE138540,GSE138540_Rat_tendons_edgeR.txt.gz,anti-conservative,4.099956734241183,anti-conservative
GSE138555,GSE138555_LPe_vs_GFe.txt.gz,other,4.008642747565285,all other classes
GSE138591,GSE138591_deseq2_output_smfRNA_young_vs_old.csv.gz,other,4.22365166718718,all other classes
GSE138614,GSE138614_WM_vs_RL.txt.gz,anti-conservative,4.289410560885989,anti-conservative
GSE138668,GSE138668_HNRNPU-KD_matrix_file.txt.gz,other,4.158663980813989,all other classes
GSE138671,GSE138671_Allsamples_DE_P1VsP9.txt.gz,other,4.4194600727860704,all other classes
GSE138672,GSE138672_DEA.csv.gz,other,4.119123864810617,all other classes
GSE138681,GSE138681_MonoVSMono_CA_Gene_differential_expression.txt.gz,anti-conservative,5.228228352243878,anti-conservative
GSE138692,GSE138692_Con_lo500_hi600_MEFs_processed.txt.gz,other,4.348226955705248,all other classes
GSE138781,GSE138781_rna-seq.txt.gz,uniform,3.1464381352857744,anti-conservative
GSE138783,GSE138783_OSMI2_6h_D_vs_T_results_04_03_19.txt.gz,anti-conservative,5.208965096349418,anti-conservative
GSE138789,sheet-Feuille1 from GSE138789_condition_symb_25mM-DC_Ctrl-DC.xlsx,other,4.4606573363226545,all other classes
GSE138793,sheet-Sheet1 from GSE138793_btau_multifactor_DEGs_WT_vs_Del_responses_0_vs_24h_423_pval_genes.xlsx,other,4.210104397064885,all other classes
GSE138807,GSE138807_RNAseq_PARP3_4d-astro_txt.txt.gz,other,4.548843746060195,all other classes
GSE138810,GSE138810_result--VPA_OCA--over--VPA_nc.txt.gz,other,4.543894291804688,all other classes
GSE138822,GSE138822_nucRNA_eRNAs_condition_treated_results.csv.gz,anti-conservative,4.089693208784839,anti-conservative
GSE138837,sheet-isoform_exp.diff from GSE138837_FC_vs_NC_isoform_differential_expression.xlsx,conservative,5.417117802499186,all other classes
GSE138844,GSE138844_DEGList_w_IHW_ccrM_vs_WT.txt.gz,anti-conservative,3.514813294999285,anti-conservative
GSE138878,GSE138878_all.counts.WT_vs_ShhN_IUE_all.txt.gz,bimodal,4.35210530333973,all other classes
GSE138917,GSE138917_m2011vsC2.complete.xls.gz,anti-conservative,3.638189640190837,anti-conservative
GSE138981,GSE138981_neural_kansl3_vs_cre_DEseq_basic_DEresults.tsv.gz,other,4.432199378753305,all other classes
GSE138987,GSE138987_awodarz_RIPSeq_IBB.csv.gz,bimodal,4.2490025749097615,all other classes
GSE138988,GSE138988_gene_exp_G3BPKO_PB.diff.gz,bimodal,4.7615519885641815,all other classes
GSE139003,GSE139003_DMSOvs9h.txt.gz,anti-conservative,4.260524535842226,anti-conservative
GSE139018,GSE139018_DESeq2_results_allgenes.csv.gz,other,4.3006389546353985,all other classes
GSE139033,GSE139033_V6.5_Neuron_MECP2-GFP_WT_R168X.ERCC.DESeq2.resLFC.txt.gz,other,4.280783177955887,all other classes
GSE139040,GSE139040_SggA_RNAseq_limma-voom_result_master.txt.gz,anti-conservative,4.016908043972075,anti-conservative
GSE139050,GSE139050_Resp-vs-nonResp_results.tsv.gz,other,4.336699830315662,all other classes
GSE139065,sheet-GFP.edgeR.all.peaks from GSE139065_ATACseq.aorta.GEO.edgeR.xls.gz,anti-conservative,4.7322972392131915,anti-conservative
GSE139074,GSE139074_EPI_control_vs_MES_control_rMATS_A3SS.txt.gz,bimodal,3.5077209766856137,all other classes
GSE139087,GSE139087_mRNA_differential_expression-Treat_vs_control.txt.gz,other,4.32512552621693,all other classes
GSE139120,sheet-LLC cells from GSE139120_Differentially_Expressed_Genes.xlsx,other,4.292632592082427,all other classes
GSE139147,GSE139147_WTvsMS-275.TXT.gz,anti-conservative,4.121756758487815,anti-conservative
GSE139151,sheet-finalTabCytoLib from GSE139151_finalTab_siRBM15_and_siWTAP_CytoLib.xlsx,uniform,3.3738311450738303,anti-conservative
GSE139212,sheet-Galaxy31-(DESeq2_result_both_re from GSE139212_DeSeq2.xlsx,other,4.295655049432586,all other classes
GSE139243,GSE139243_WT_vs_S251-ExpDiff.csv.gz,other,4.258828770593979,all other classes
GSE139272,sheet-Cispl vs. PBS from GSE139272_Differential_Expression__Cisplatin_vs._Vehicle.xlsx,other,4.3310019048442046,all other classes
GSE139292,GSE139292_deseq_results.tsv.gz,anti-conservative,4.259474419531076,anti-conservative
GSE139293,sheet-tpm_U2OS_vs_a1-a2KO_t-test from GSE139293_tpm_U2OS_vs_a1-a2KO_t-test.xlsx,anti-conservative,4.329438560779451,anti-conservative
GSE139326,GSE139326_Gene_expression_profile.txt.gz,anti-conservative,4.402158171502738,anti-conservative
GSE139327,GSE139327_hiv_neg_bal_vs_pbmcs_cd8_gene_exp.diff.gz,conservative,4.38388714426039,all other classes
GSE139346,GSE139346_KP_T6B_counts_DEseq.csv.gz,anti-conservative,4.012499777538309,anti-conservative
GSE139357,sheet-gene_list.txt-3.tsv from GSE139357_processed_data.xlsx,bimodal,4.327338496518052,all other classes
GSE139406,sheet-MUTvsNC_deg from GSE139406_MUTvsNC_deg.xls.gz,other,4.493039588317651,all other classes
GSE139436,GSE139436_SEM_RNA_IBET90_hg19_contrast_cpm.txt.gz,anti-conservative,4.1180993120779945,anti-conservative
GSE139439,sheet-WT-oxLDL_WT-control from GSE139439_DEAnalyses_pairwise.xlsx,anti-conservative,4.105986795521472,anti-conservative
GSE139458,GSE139458_Processed_RNAseq_data.xls.gz,anti-conservative,4.367635419790511,anti-conservative
GSE139544,sheet-Sheet1 from GSE139544_Bettini_Y16A.xlsx,other,3.991934549718948,all other classes
GSE139564,GSE139564_transcript_results_all.tsv.gz,other,4.842677872682818,all other classes
GSE139576,GSE139576_EWFxr1_vs_EW_transcript_results_all.tsv.gz,other,4.8981051018003505,all other classes
GSE139581,GSE139581_RNA_crAP-1_DESeq2.txt.gz,other,4.474041345171332,all other classes
GSE139613,GSE139613_CD3_vs_TALL.htseq.edgeR.txt.gz,anti-conservative,4.204309944940537,anti-conservative
GSE139616,GSE139616_A3SS.MATS.JCEC.txt.gz,bimodal,3.7046651854545294,all other classes
GSE139618,GSE139618_Jurkat_DMSO_v_H3B8800_24hr.htseq.edgeR_Tophat.txt.gz,anti-conservative,4.187999872404835,anti-conservative
GSE139619,GSE139619_Jurkat_DMSO_vs_P5091_24hr.htseq.edgeR.txt.gz,anti-conservative,4.154058610376971,anti-conservative
GSE139620,GSE139620_CUTLL1_DMSO_vs_P5091.htseq.edgeR.txt.gz,anti-conservative,4.187689893525184,anti-conservative
GSE139659,GSE139659_IPvsctrl.complete.xls.gz,anti-conservative,3.4371160930480786,anti-conservative
GSE139808,GSE139808_periderm_sleuth_transcript_TPM.csv.gz,anti-conservative,4.551596364704105,anti-conservative
GSE139830,sheet-20190918_Ad_Ctrl_vs_378_CSun_DE from GSE139830_RNA-SEQ_Ad_Ctrl_vs_378.xlsx,anti-conservative,4.342047446258668,anti-conservative
GSE139845,GSE139845_G1EUseqedgeR.txt.gz,other,4.819576835392792,all other classes
GSE139879,GSE139879_Cuffdiff_wholeEmb_3WTvs3meg-34.diff.gz,conservative,4.2980229775546865,all other classes
GSE139880,sheet-riborex_res_deseq2_N2vsmeg3meg4 from GSE139880_Differential_translation_analysis.xlsx,anti-conservative,4.077549580451794,anti-conservative
GSE139884,GSE139884_RNA_DESeq2_results.txt.gz,other,4.317875378414559,all other classes
GSE139907,GSE139907_iOB_GFP+_vs_fibroblast.txt.gz,anti-conservative,4.239549720840473,anti-conservative
GSE139917,sheet-Sheet1 from GSE139917_Log2_FoldChange_pSTKamiRNACWIN24_4-3_Vs_WT_.xlsx,anti-conservative,4.412964271996663,anti-conservative
GSE139960,sheet-Sheet1 from GSE139960_RNAseq_CuffDiff_DiffGeneExpTest.xlsx,bimodal,4.3863205738940465,all other classes
GSE139964,GSE139964_diff_exp_deseq2_clone10GFPposvsclone10GFPneg.txt.gz,other,4.291790506385784,all other classes
GSE139972,GSE139972_Processed_data.txt.gz,anti-conservative,4.5266881238843135,anti-conservative
GSE139980,GSE139980_RTBDN_KO_vs_WT.diff.gz,conservative,4.366142676814888,all other classes
GSE140019,GSE140019_H2O2vsWT.complete.txt.gz,anti-conservative,3.581038948772167,anti-conservative
GSE140090,sheet-DESeq2_S16098_RNAseq_median_tra from GSE140090_DESeq2_Tbp2_vs_wt_P7_P14_oocytes.xlsx,other,4.567731962548069,all other classes
GSE140101,sheet-Blue vs. T_Yellow from GSE140101_DGE_MDS-MSC_vs_HD-MSC_GEO.xlsx,bimodal,4.420994829643957,all other classes
GSE140104,GSE140104_tRA-Pre.VS.Control.DESeq2.csv.gz,other,4.484712578894317,all other classes
GSE140110,GSE140110_HSC_PDGFbb_vs_HSC_PDGFbb_plus_SHP099.diffexp.rpkm.tsv.gz,other,4.807886650687304,all other classes
GSE140150,GSE140150_High_vs_Low.de_genes.annot.txt.gz,other,4.544278936171903,all other classes
GSE140156,GSE140156_DifferentialExpression.csv.gz,anti-conservative,3.6101276130759956,anti-conservative
GSE140177,GSE140177_181130TL_de_counts_all_genes.csv.gz,anti-conservative,3.702258163162094,anti-conservative
GSE140192,GSE140192_DESeq_1w.txt.gz,other,4.612815633202213,all other classes
GSE140197,sheet-gene_exp from GSE140197_gene_exp.xlsx,bimodal,5.492665420365031,all other classes
GSE140211,GSE140211_ann_t0t60.result.txt.gz,anti-conservative,3.623042434246382,anti-conservative
GSE140222,GSE140222_M.VS.C-all_genes.txt.gz,anti-conservative,4.189462239457662,anti-conservative
GSE140248,GSE140248_gene_exp_brp_v_wPP.diff.gz,bimodal,4.153479490021924,all other classes
GSE140304,GSE140304_KMS11_vs_TKO_exp.diff.gz,bimodal,4.7570162347313,all other classes
GSE140308,sheet-HTSEq_Df_Treated_vs_Control from GSE140308_DEG_Growth_Hormone_Experimental_vs_Control_HTSeq.xlsx,anti-conservative,4.244128618669467,anti-conservative
GSE140357,GSE140357_gene_exp.diff.gz,bimodal,5.124993020025895,all other classes
GSE140417,GSE140417_OFF.VS.ON-all_genes.txt.gz,anti-conservative,3.218535505216528,anti-conservative
GSE140423,GSE140423_HNF4a_vs_control_DE_sumary.txt.gz,anti-conservative,4.087923320925297,anti-conservative
GSE140476,sheet-NC vs. JQ-1 from GSE140476_NC_vs._JQ-1.xlsx,bimodal,4.761724919897609,all other classes
GSE140482,GSE140482_Cancer_cell_sort_sgTP63_vs_sgNEG.txt.gz,bimodal,4.297804266525286,all other classes
GSE140495,sheet-Adam10Hom_vs_Adam10Het from GSE140495_Tumors_Adam10_KO_deseq2.xlsx,other,4.663107015090335,all other classes
GSE140513,sheet-gene.description from GSE140513_gene.description.xls.gz,other,4.370198403559107,all other classes
GSE140514,sheet-Tabelle1 from GSE140514_Hfq_RIP-seq_read_counts.xlsx,anti-conservative,3.582063362911709,anti-conservative
GSE140544,GSE140544_ssonnei_processed_data.tsv.gz,anti-conservative,3.7561033715851058,anti-conservative
GSE140565,GSE140565_RPFDEseq_CKxWT.txt.gz,conservative,4.180956951334075,all other classes
GSE140605,GSE140605_deseq2_results_TM2_2_05_Vs_TM2_2_07.csv.gz,anti-conservative,3.7372721765355434,anti-conservative
GSE140625,GSE140625_cuffdiff_gene_exp.diff.txt.gz,bimodal,4.098020386209668,all other classes
GSE140633,GSE140633_KOvsWT_all_gene_for_GOE.txt.gz,other,4.381187306634165,all other classes
GSE140642,GSE140642_LimmaDiff_Syn.txt.gz,conservative,3.8116420214531512,all other classes
GSE140646,GSE140646_shBATF3_KD_DEG.txt.gz,anti-conservative,4.256164305279615,anti-conservative
GSE140663,sheet-Female Ctrl and 1 hr from GSE140663_Differential_gene_expression_and_counts_data.xlsx,conservative,4.230321168919079,all other classes
GSE140681,sheet-Sheet1 from GSE140681_Stearman_GEO_supplemental_RNAseq_results_table_11142019.xlsx,anti-conservative,3.5653755027140734,anti-conservative
GSE140690,GSE140690_Model3_MTxIPxSpecies_DESeq2_output_Merged.txt.gz,other,4.788055185192676,all other classes
GSE140704,GSE140704_counts.ranked.with.DESeq.with.overlaps.tsv.gz,other,4.203603951504492,all other classes
GSE140725,GSE140725_NC_vs_Comparison.deseq.res.csv.gz,other,4.222560409165224,all other classes
GSE140729,GSE140729_C_vs_A.GO_Enrichment_result_ALL.txt.gz,anti-conservative,3.3234583668494677,anti-conservative
GSE140738,GSE140738_Aire_Plus_CLP1_sh3_with_Ctr_Deseq.csv.gz,conservative,4.593175263478103,all other classes
GSE140763,GSE140763_shCBX4_vs_shControl.txt.gz,other,4.469498014518465,all other classes
GSE140779,GSE140779_Sox9Cre-Vangl2_at_P5.txt.gz,other,4.284994386722994,all other classes
GSE140786,GSE140786_rMATS_A5SS.txt.gz,other,3.4183012913197452,all other classes
GSE140787,GSE140787_WT_vs_NCU04278.txt.gz,anti-conservative,3.9819997141298784,anti-conservative
GSE140810,GSE140810_extended_summary_gene.csv.gz,anti-conservative,4.361009712608143,anti-conservative
GSE140815,GSE140815_WT_and_AireKO_mTEChi_Deseq.csv.gz,bimodal,4.454600977097761,all other classes
GSE140847,sheet-Condition 3 vs Condition 11 from GSE140847_Supplementary_file_S1.xlsx,anti-conservative,3.544811911757776,anti-conservative
GSE140850,GSE140850_controlVscKO_VentralHipAllRunsGLM.differential_expression_edgeR.txt.gz,other,4.464578960565791,all other classes
GSE140856,sheet-gene_exp from GSE140856_normalized_abundance_Cufdiff.xlsx,bimodal,5.377597626108919,all other classes
GSE140878,GSE140878_Clp1_KD_and_Ctr_mTEChi_counts_Deseq.csv.gz,conservative,4.44554193436792,all other classes
GSE140888,sheet-Sheet1 from GSE140888_normalized_read_counts_YM.xlsx,other,4.2803051432550046,all other classes
GSE140902,GSE140902_diffexpr-results_EJ28P.csv.gz,other,3.312388949370592,all other classes
GSE140926,GSE140926_NS_vs_CF.all.gene.result.txt.gz,bimodal,4.202924027637802,all other classes
GSE140928,GSE140928_all_compare.xls.gz,anti-conservative,4.444903162795462,anti-conservative
GSE140950,sheet-KO-RS-head from GSE140950_KO-RS-head.xlsx,other,4.154210882206974,all other classes
GSE140993,GSE140993_Ctl_with_CLP1_sh2_HEK293_Deseq.csv.gz,conservative,4.562078639008206,all other classes
GSE141069,GSE141069_A-VS-C_DE.xls.gz,anti-conservative,3.756636108245848,anti-conservative
GSE141097,sheet-WTIF_vs_MTIF.results from GSE141097_SAJR_WTIF_vs_MTIF.results.xlsx,other,4.1844358883083705,all other classes
GSE141124,GSE141124_HCWT_vs_HCKO.txt.gz,other,4.363311065636625,all other classes
GSE141126,GSE141126_processed_data_full.csv.gz,conservative,4.755882474807094,all other classes
GSE141145,GSE141145_GENE_Col-1_vs_1303_featurediff.txt.gz,bimodal,4.531185030184496,all other classes
GSE141163,sheet-Sheet1 from GSE141163_OV_18hVSDG_Gene_differential_expression.xlsx,other,4.59779387800227,all other classes
GSE141186,GSE141186_deseq2_CD8_diffGenes_mm10.csv.gz,other,4.25894840765209,all other classes
GSE141262,GSE141262_Bulk_LEC_TUMOR_Count.FPKM.TPM_FC.csv.gz,anti-conservative,4.36359317885827,anti-conservative
GSE141301,GSE141301_DESeq2_resb_ForGEO.txt.gz,anti-conservative,4.4014694709430895,anti-conservative
GSE141316,GSE141316_Readcount_adr-1_zw96_-1vswildtype-1.txt.gz,conservative,4.239274447023257,all other classes
GSE141328,sheet-Differential_Expression_Results from GSE141328_edgeR_DEGs_for_ver1.3.2_2019-03-15.xlsx,conservative,4.021933166477439,all other classes
GSE141440,sheet-edgeR_output from GSE141440_GEO_Retina_S1PR.gTKO.edgeR_FPKMs_RNAseq.xlsx,anti-conservative,4.080012847107928,anti-conservative
GSE141493,GSE141493_A673_siKLF15_vs_control_DEG.txt.gz,other,4.456517857805262,all other classes
GSE141520,GSE141520_D1.VTA.all.fdr.change.txt.gz,other,4.576122419829945,all other classes
GSE141522,sheet-AllResults from GSE141522_Franco_report_91ss.xlsx,bimodal,3.1504494094608804,all other classes
GSE141554,sheet-Expression Browser from GSE141554_Expression_RAW_DATA_RPKM.xlsx,other,4.657849102464169,all other classes
GSE141579,GSE141579_24C-Galaxy719-_Cuffdiff_on_data_694__data_689__and_data_197_gene_differential_expression_testing_.tabular.txt.gz,conservative,3.71121652432109,all other classes
GSE141605,GSE141605_STAT2_KO_in_PANC0403.txt.gz,bimodal,4.297804266525286,all other classes
GSE141633,GSE141633_gene_exp.diff.gz,bimodal,4.754027083679957,all other classes
GSE141645,GSE141645_SE.MATS.ReadsOnTargetAndJunctionCounts_DMSO.9927.CD4.txt.gz,bimodal,4.939004783284851,all other classes
GSE141681,GSE141681_D39_WT_Unt_vs_D39_WT_30Cd_Analysis.csv.gz,other,3.615950051656401,all other classes
GSE141692,GSE141692_DEG_monocytes_wt_vs_C3_ko.txt.gz,other,4.488762172066695,all other classes
GSE141694,sheet-data from GSE141694_21c_em9_vs_37c_em9_counts_normalized_relative_to_library_size.xls.gz,anti-conservative,3.651278013998144,anti-conservative
GSE141707,GSE141707_P4_v_P1_3animals.txt.gz,other,3.822560336942692,all other classes
GSE141721,sheet-Sheet1 from GSE141721_invitro_microglia_summary_table_2019-12-03.xls.gz,anti-conservative,4.034307529596563,anti-conservative
GSE141726,sheet-AW_vs_PW.txt from GSE141726_AAA_vs_PBS_RNAseq.xlsx,other,4.2851971228109695,all other classes
GSE141737,sheet-KOCholesterol_vs_KOComplete from GSE141737_DESeq_results.xls.gz,bimodal,4.15463695951842,all other classes
GSE141753,GSE141753_TR-ST_vs_PA-ST.all.exp.txt.gz,anti-conservative,3.7469454096151047,anti-conservative
GSE141756,GSE141756_igenomes_known_GENES_counts.all_comparisons.tab.gz,other,4.324693913861775,all other classes
GSE141808,sheet-V_result from GSE141808_Il18floxVil1CreProxColon.xlsx,other,4.315802469737045,all other classes
GSE141820,GSE141820_Control-VS-CKO.DEseq2_Method.GeneDiffExp.txt.gz,other,4.24375714102993,all other classes
GSE141835,sheet-MRD1vsCTRLfull (2) from GSE141835_MBD5_RNA-SEQ_DATA.xls.gz,anti-conservative,4.296994076670209,anti-conservative
GSE141854,GSE141854_gene_exp.diff.gz,bimodal,4.74807943981176,all other classes
GSE141886,GSE141886_siMILIPVSsictrl.txt.gz,other,4.341671887208518,all other classes
GSE141891,GSE141891_deseq2_differential_expression_analysis_results.tsv.gz,anti-conservative,4.277035888172111,anti-conservative
GSE141911,sheet-DE_merged_EXP_BA_A51 from GSE141911_DE_merged_All_Samples.xlsx,bimodal,4.12985095078891,all other classes
GSE141912,sheet-DE_annotated_filter_781_Wt_vs_2 from GSE141912_DE_annotated_filter_in_vitro.xlsx,bimodal,4.237669383878425,all other classes
GSE141940,GSE141940_P6_vs_P30_DESeq.csv.gz,other,4.299834040645858,all other classes
GSE141973,GSE141973_edgeR_H18_2.tabular.txt.gz,other,3.8195439355418688,all other classes
GSE142017,GSE142017_gene_exp.diff.gz,conservative,5.540199292093593,all other classes
GSE142022,GSE142022_Processed_TPM.txt.gz,bimodal,4.387763443621557,all other classes
GSE142042,sheet-res from GSE142042_D17_vs_D30.xlsx,anti-conservative,4.480481244061755,anti-conservative
GSE142063,sheet-Sheet1 from GSE142063_The_differently_expressed_genes.xlsx,conservative,4.3684356541018055,all other classes
GSE142064,GSE142064_DESeq2_gene_cont_gtpa.txt.gz,other,4.3053513694466234,all other classes
GSE142094,sheet-pCPL versus Teqing mRNA-Seq from GSE142094_pCPL_versus_Teqing_mRNA-Seq.xls.gz,anti-conservative,4.463489848289935,anti-conservative
GSE142163,GSE142163_WT_PGC-VS-T2KO_PGC.PossionDis_Method.GeneDiffExp.txt.gz,other,4.278845021747168,all other classes
GSE142171,sheet-data2 from GSE142171_data2.xlsx,anti-conservative,4.309140245453068,anti-conservative
GSE142223,GSE142223_DESeq2.results.MPP1.tsv.gz,other,4.309097617412014,all other classes
GSE142269,GSE142269_processed_data_CTL_vs_Tle4_mutant_P0.edgeR_all.txt.gz,other,4.373298279614871,all other classes
GSE142311,GSE142311_diff_exp_deseq2_Opt5HFHCvsCtHFHC.csv.gz,other,4.31714366202289,all other classes
GSE142314,GSE142314_de_stats.csv.gz,anti-conservative,4.547503955893325,anti-conservative
