Date Received,Request Number,Requester Category,Request Description
20-Dec-19,OIR-FOI-2019-0178,Journalist,"Under the FOI Act 2014, I am seeking access to an email sent to members of the Oireachtas regarding disclosure of the identity of FOI requesters."
19-Dec-19,OIR-FOI-2019-0177,Journalist,"I would like to request information about the number of items produced by Donegal TDs Pearse Doherty, Pat the Cope Gallagher, Charlie McConalogue, Joe McHugh and Thomas Pringle as well as Senators Padraig Mac Lochlainn and Brian O Domhnaill using the Oireachtas printing press since the start of 2018. Can you provide the number of items produced by each Oireachtas member, what they were (cards etc), and the cost involved in producing the items for each member."
19-Dec-19,OIR-FOI-2019-0176,Journalist,"Under Freedom of Information legislation, I would like to request records pertaining to recycling at the Oireachtas print facility. The records I request should detail the following: -Records showing how much material went uncollected and was subsequently recycled in the years 2018 and 2019? -Records in tabular form, top ten will suffice, for each year showing the Oireachtas Members who left the most material uncollected that was then recycled? -Records detailing how much material per person in the table above went uncollected and was then recycled? -Records showing how much it cost the Oireachtas to have material recycled, and records that detail how this service is charged, by weight, volume etc.? -Records showing what was the cost of all this recycling for each of the two years?"
18-Dec-19,OIR-FOI-2019-0175,Oireachtas/Public Representative,I wish to request a re-release of the information contained in FOI Request Ref: OIR-FOI-2019-0148.
18-Dec-19,OIR-FOI-2019-0174,Other,I request the freedom of information under the Act. From 2016 to December 2019. The request is to include the cost of the printing and the amount of leaflets that were printed on behalf or by The Following TDs between the dates mentioned above. Alan Farrell Fine Gael. Brendan Ryan Labour. Louise O Reilly Sinn Fein. Darragh O Brian. Fianna Fail. All the above TDs are all elected in Dublin Fingal constituency.
16-Dec-19,OIR-FOI-2019-0171,Journalist,"Clarified - The specific request I'm seeking re-release of is FOI 0140. I note the release, under Freedom of Information, of data to the Irish Times regarding the usage of the Oireachtas printing facilities by TDs and Senators. I would like to seek the re-release of all data, under Freedom of Information, related to the print run for the Oireachtas printer for all of 2018, and up to the date of this request in 2019 ie Sunday 15th December. "
12-Dec-19,OIR-FOI-2019-0170,Oireachtas/Public Representative,"Re-release of 0140. I wish to request Under the Freedom of Information Act 2014 a record of all print jobs submitted for processing by Senators and TDs to date 2019, to include details or a description of the document to be printed and the volume of documents to be printed, and the name of the member for whom they were printed"
10-Dec-19,OIR-FOI-2019-0169,Journalist,"Under the FOI Act 2014, I am seeking the following: - copies of all records held in the FOI unit relating to a decision that the identity of requesters would now be made available to the person/member of the Oireachtas who was subject of the request."
09-Dec-19,OIR-FOI-2019-0167,Journalist,"Clarified - on the subject of his attendance at Leinster House, the recording of his attendance at Leinster House, and his expenses.  All correspondence exchanged between former Cork North-Central TD, Dara Murphy, and the Houses of the Oireachtas, or any of its offices, including the Houses of the Oireachtas Commission, Houses of the Oireachtas Members' Services/One-Stop shop, the Clerk of the Dail, Superintendant of the Houses, HR unit, Finance Unit, ICT unit, Office of Parliamentary Legal Advisers, Inter-Parliamentary Relations and Travel, General Office or Parliamentary Budget Office. The correspondence should include all correspondence or communication, sent by email, text message, whatsapp, letter or any other format, between January 1, 2019 and December 7, 2019."
06-Dec-19,OIR-FOI-2019-0166,Journalist,* Amended - I wish to amend my FOI request to request to any/all complaints made about TD Dara Murphy that are on record.
06-Dec-19,OIR-FOI-2019-0165,Journalist,"I wish to request some records under the Freedom of Information Act. As sometimes TDs or Senators forget to fob in on a given day for any number of reasons, I was wondering if I could get a list of who had their days subsequently changed/updated ie. they'd forgotten to fob in for whatever reason and had the record changed. If there's any record of the reasons given I would appreciate that information also. I'd like the data for 2017, 2018, and up to the most recent possible for 2019."
06-Dec-19,OIR-FOI-2019-0164,Journalist,Clarification: I am only looking for a re-release of the records released for FOI-2019-0108 and I do not need the requester's info. I am seeking the re-release of the records in FOI- 2019-0108. 
05-Dec-19,OIR-FOI-2019-0163,Journalist,"Under the FOI Act 2014, I am seeking the following: - details of the number of members who have an internet connection provided to their home by the ICT unit of the Oireachtas in 2018 and 2019 - details of how much was spent on providing this service in 2018 and 2019. For avoidance of doubt, this refers to the following extract from the guide to the PRA allowance .  Q: What proportion of home telephone costs are allowable under the PRA?  A: Category 9 allows a portion of telephone calls made from a Member's home to be apportioned as allowable expenditure under the PRA. This amount is 20%. In order to reflect the services and packages offered by telecommunication companies.  The 20% is now allowable against the cost of calls, line rental and internet connection only (provided that the internet connection is not that already paid by the ICT Unit). For home utility bills/ packages that also include a television subscription, that portion of the bill relating to the television subscription is not allowable. This does not apply to Ministers or Ministers of State."
05-Dec-19,OIR-FOI-2019-0162,Journalist,"Under the FOI Act 2014, I am seeking copies of any correspondence between the Oireachtas and the Department of Public Expenditure relating to the following. Both parts of this request to cover period 1 September 2019 to date of receipt of request: - the Dail Printer.- the travel and accommodation allowance.- the system for fobbing in for attendance purposes."
05-Dec-19,OIR-FOI-2019-0161,Journalist,"Clarification:  Please find below a request under the Freedom of Information Act 2014 for: 1. Correspondence between The Houses of the Oireachtas Service and Dara Murphy TD, or his office, or persons acting on his behalf, during November and December 2019 to date."
04-Dec-19,OIR-FOI-2019-0160,Journalist,"I, under the Freedom of Information Act 2014, am looking for the following information: The amount of money spent in the Oireachtas members' bar and the Oireachtas visitors' bar every day from 25 November to 4 December 2019 inclusive.  I also wish to receive a breakdown of the types of drinks purchased on the same dates."
04-Dec-19,OIR-FOI-2019-0159,Journalist,"Under Freedom of Information legislation, I would like to request all records, information and details held in relation to costs associated with the special joint sitting of the Oireachtas in the Round Room of the Mansion House on January 21st 2019. The records I request should include, but not be limited to, the following: - Costs of catering, room hire, refreshments, printing or production of literature and leaflets, security, lighting and sound systems, any agency staff hired and bus transport of ministers from Government Buildings to the Mansion House. I would like the information to be broken down in tabular form providing as much detail as is feasible."
29-Nov-19,OIR-FOI-2019-0156,Journalist,"Clarification - Copies of all correspondence relating to the purchase of new printing equipment by the Houses of the Oireachtas and subsequent building works carried out on Kildare House. The individuals/organisations who may have sent/recieved correspondence include - but are not limited to: Secretary General Peter Finnegan, Ceann Comhairle Sean O Fearghail, Head of Communications Derek Dignam. The time period I am seeking the correspondence on is 1st of January 2019 to 29th of November 2019."
29-Nov-19,OIR-FOI-2019-0155,Journalist,"I am making a request under the Freedom of Information Act for the following records: Copies of all correspondence to/from Oireachtas Head of Communications Derek Dignam on the topic of the purchase of new printing equipment for the Oireachtas. The time period can be limited to August 1, 2017 to November 29, 2019.  I am also seeking copies of all reports/memos written by Mr Dignam or sent to Mr Dignam on the on the topic of the purchase of new printing equipment for the Oireachtas in the same period. The records should include copies of all attachments to emails or documents enclosed with letters. "
29-Nov-19,OIR-FOI-2019-0154,Other,"Under the provisions of the FOI Act 2014 I wish to access the following records which I understand are held by your body pursuant to statute  -Records relating to requests for access to and/or provision of copies of records maintained by the Clerk of the Dail under the terms of section 131 of the Electoral Act 1992, and section 20 (7) of the European Parliament Elections Act 1997; the conditions specified by the Clerk (or Minister for Finance) governing access to/inspection of such records; the fees charged in respect of such access requests; the names of political parties, elected officials of Irish public bodies or candidates for election to such bodies that have made such access requests and whether access was granted and under what conditions."
28-Nov-19,OIR-FOI-2019-0152,Journalist,Please send me the total number of 2020 calendars and 2019 Christmas cards printed by TDs and senators. Please break the figures down by politician and state how many of each were printed and the cost.
27-Nov-19,OIR-FOI-2019-0150,Other,"Clarification - for part 1. - correspondence with either the European Council or Parliament & the time frame is 2017-2019. Correspondence between Rannog an Aistriuchain in the Houses of the Oireachtas, and/or between any member of that section in the Houses of the Oireachtas, and any institution of the European Union regarding the non-lenition of the noun 'meid' in the genitive case (singular) following the definite article 'an'. 2.Documentation relating to a decision by Rannog an Aistriuchain in the Houses of the Oireachtas, and/or by any member of that section in the Houses of the Oireachtas, regarding the non-lenition of the noun 'meid' in the genitive case (singular) following the definite article 'an'. 3.Documentation relating to a decision by the 'Advisory Committee on the Caighdeann Oifigiuil'  regarding the non-lenition of the noun 'meid' in the genitive case (singular) following the definite 'an'."
27-Nov-19,OIR-FOI-2019-0148,Journalist,"Under the 2014 freedom of information act, I am looking for the following information: The amount of material requested for printing by each TD each for every month of this year to date, what the printing requests were for (ie calenders, leafelts, flyers, cards) and how much."
26-Nov-19,OIR-FOI-2019-0147,Journalist,"I am making a request under the Freedom of Information Act for the following:Details of all costs incurred by TDs and Senators printing Christmas Cards and Calendars from September 1 2019 and to November 26, 2019. The information released should include the names of the TDs/Senators involved and the number of items printed."
25-Nov-19,OIR-FOI-2019-0146,Journalist,"Clarification - I wish to revise my request to records held by print room staff, OPW staff working on the installation of the printer, Secretary General of the Oireachtas in relation to the Komori GL 429 (H) H-UV printer, to include but not limited to storage and delivery costs, correspondence between the Oireachtas, the Office of Public Works (OPW) and building/construction contractors, total expenditure for building works. I wish to exclude records previously released in REF: OIR-FOI-2019-0072.I wish for my request to cover the period from 1/9/2019  & 25/11/2019."
21-Nov-19,OIR-FOI-2019-0144,Journalist,"I'm making a request under the Freedom of Information Act 2014.  I'd like to know from your records the volumes of drinks sold at the Dail bar since the start of 2019. Could you please supply the following information - what the most popular purchase was at the Leinster House bar & the volumes/measures sold of those drinks & costs. Also, what were the most popular alcoholic drinks with a breakdown of volumes/measures sold, & the price for each measure. A breakdown of all other drinks & food items that are for sale at the Dail bar & their respective sales since the start of 2018. How much did customers spend in total at the Dail bar? What is the cost of running the bar and how many staff are employed to do so? Finally, have new measures been introduced regarding payments? (I believe customers are no longer able to order products on credit). An email response would suit me, if possible. Please let me know if you require any further information."
20-Nov-19,OIR-FOI-2019-0143,Other,"This is an application under the Freedom of Information Act. I am seeking the following information. In terms of the time period, all records related to the current Senate. In relation to Senator Billy Lawless, I am seeking the following: 1. In relation to his reconciliation application forms, I am seeking all supporting documentation attached to these forms. (I am not seeking the actual forms themselves - just the supporting documentation, letters, etc that accompanied those forms.) 2. Any correspondence sent to/from the Houses of the Oireachtas Service OR the One-Stop-Shop OR Oireachtas Clerks, that relate to Senator Lawless's attendances (other than the actual reconciliation forms.) 3. Any correspondence sent to/from the Houses of the Oireachtas Service OR the One-Stop-Shop OR Oireachtas Clerks, that relate to Senator Lawless's reconciliation days (other than the actual reconciliation forms.)"
18-Nov-19,OIR-FOI-2019-0142,Journalist,"Under the Freedom of Information Act, can I please ask for a log of the blocked websites recorded at Leinster House from individuals who attempted to access pornographic content, from the period January 1 - October 31, 2019?  In addition, can I please ask if such a log exists of browsing data for Oireachtas members? Can I also ask if disciplinary action has been taken in the past where Leinster House's internet policy has not been followed?"
15-Nov-19,OIR-FOI-2019-0141,Journalist,"Please find below a request under the Freedom of Information Act 2014 for: 1. The number of Personal Injury claims faced by the Oireachtas in the last ten years 2. The amount paid out in settlements, either before or after a court case, for personal injury in the same period 3. This information to be segmented by year."
14-Nov-19,OIR-FOI-2019-0140,Journalist,"I would like to request access to the following records under the Freedom of Information Act: i) a record of all print jobs submitted for processing by senators and TDs to date during 2018 and to date in 2019, to include details or a description of the document to be printed and the volume of documents to be printed, and the name of the member for whom they were printed. ii) a copy of proofs of sympathy cards printed by the Oireachtas print facility for senators and TDs during 2018 and 2019 to date. iii) a record of all print jobs that were recycled after not being collected by TDs or senators during 2018 and 2019 to date, to include the names of the TDs or senators for whom they were printed."
13-Nov-19,OIR-FOI-2019-0139,Journalist,"Under the FOI Act 2014, I am seeking the following: - a list of all parliamentary or secretarial assistants employed by Sean Canney in the period since his election in 2016. I am just seeking their names, the date they were hired, and the date they ceased service with Mr Canney. I am happy for this request to be dealt with administratively should it prove more convenient given the details may well already be contained in a varietyof FOI requests."
12-Nov-19,OIR-FOI-2019-0138,Journalist,"I would like to make a request under the Freedom of Information Act 2014. Under this act, I would like to know the following:   How many TDs and senators have visited the Oireachtas gym this year.  A breakdown of how often the Oireachtas gym visited by members by month. How much it costs TDs and senators to use the gym. How much it costs to run the Oireachtas gym. The opening hours of the gym. The equipment and facilities available in the gym. How many people can use the gym at any given time. "
12-Nov-19,OIR-FOI-2019-0137,Journalist, I wish to request the following records under the Freedom of Information Act : A list of TDs and senators who have sought reconciliation of their attendance and the dates they sought this. A breakdown for the reason each TD/Senator sought reconciliation of attendance.  (As clarified) could I please get records for every Dail term since September 2017 when the Dail resumed after the summer recess.
12-Nov-19,OIR-FOI-2019-0136,Journalist,"I wish to request access to the following records that I believe to be held:  A copy of records relating to the hiring of the Members' Dining Room, to include where possible who has hired it , for what function and the cost incurred, for the years 2018 and the first nine months of 2019. When conducting your search and retrieval please consider official information held on non-official systems, emails accounts and devices, for example WhatsApp groups etc."
12-Nov-19,OIR-FOI-2019-0135,Journalist,"I wish to requestaccess to the following records that I believe to be held: A list of all the payments to Oireachtas members for the current Dail and Seanad term who have made claims via The Mobile Phone Allowance. A list of all the payments to Oireachtas members for the current Dail and Seanad term who have made claims via The Constituency Office Allowance.  A list of all Oireachtas members obtaining the Secretarial Allowance; please include the date the payments were made, the amounts paid, the recipient of the payments; and the purpose of the payment. When conducting your search and retrieval please consider official information held on non-official systems, emails accounts and devices, for example WhatsApp groups etc."
12-Nov-19,OIR-FOI-2019-0134,Journalist,"Under the FOI Act 2014, I am seeking the following: - copies of all claim forms/invoices submitted as part of the direct purchase scheme for mobile phones in the period 1 January 2018 to date of receipt of the request. "
11-Nov-19,OIR-FOI-2019-0132,Journalist,"Under the FOI Act 2014, I am seeking the following: - Either a spreadsheet/database or copies of all claims for the daily  telephone allowance while abroad made in the period from 1 January 2018 to date of receipt of the request (where it related to travel in the European Union). "
07-Nov-19,OIR-FOI-2019-0131,Journalist,"In accordance with the Freedom of Information acts, I wish to receive the following information which I believe to be in your records: * the number of times a TD or senator has made a reconciliation request to say they attended Leinster House on a day but did not fob in for each of the following years: 2010 to 2019 inclusive, * the number of times a TD or senator reconciliation request has been rejected for each of the following years: 2010 to 2019 inclusive, * both of the above figures broken down on a year to year basis by individual TD and senator for each of the following years: 2010 to 2019 inclusive, * an explanation for the reconciliation request system and the rules surrounding a legitimate reconciliation request. For the current Dail/Seanad term (as clarified)."
06-Nov-19,OIR-FOI-2019-0129,Journalist,"Under the FOI Act 2014, I am seeking the following: - access to any records which provide a breakdown and total of the number of parking spaces available to the Houses of the Oireachtas Service in the following locations: Kildare Street car park (normal total prior to refurb and total after refurb), Merrion Street car park (as before), North Road (Govt Buildings), Agriculture House, Setanta Place (Kildare House Ext), Kildare Place/Fisheries Yard, Sth Frederick St/Dawson Lane, Merrion Sq/Clare Lane (usable spaces), MountStreet, Earlsfort Terrace, Schoolhouse Lane, any other location at which spaces are available.I would prefer to receive this information electronically, ideally in its original electronic format."
06-Nov-19,OIR-FOI-2019-0128,Journalist,"Under the FOI Act 2014, I am seeking the following: - copies of any records held referring or relating to the possibility of reform or change to a special system of top-up expenses that applies to TDs & Senators when on certain types of overseas travel. This request to cover period 1 January 2017 to date of receipt of the request. For ease of reference, it is the system discussed in the following article:https://www.rte.ie/news/investigations-unit/2015/0116/673121-department-refuses-to-reform-special-bonus-expense-system/."
06-Nov-19,OIR-FOI-2019-0127,Other,"Under the FOI Act 2014, I am seeking the following records relating to Parliamentary Assistants employee by the Oireachtas on behalf of a TD: 1) The number employed. 2) The salary scale. 3) Number of Parliamentary Assistants currently employed on each point of the scale. 4) The expenses, mileage and subsistence policy. 5) Total mileage paid to Parliamentary Assistants in 2018 and separately up to 30 September 2019. 6) Total subsistence paid to Parliamentary Assistants in 2018 and separately up to 30 September 2019. 7) The overtime policy. 8) The total number of overtime hours paid to each Parliamentary Assistant In 2018 and separately up to 30 September 2019. "
05-Nov-19,OIR-FOI-2019-0126,Journalist,"I would be obliged if you could release the following records under the Freedom of Information Act. The request refers to the Dail gym.(1) Can you release records showing weekly usage figures for the gym since the start of 2019. This would include how many people used the gym on a weekly basis. How does this compare with usage in 2018.(2) Can you release records on the breakdown of the category of Leinster House worker who use the gym as in TDs, Senators, parliamentary staff, Oireachtas staff etc.(3) Can you release financial records showing how much the the gym cost to run & what are the costs in 2017, 2018, 2019. (4) Can you release records showing the machine and equipment the gym has . (5) Are there any records showing if any any accidents been reported at the gym in the last two years."
04-Nov-19,OIR-FOI-2019-0123,Journalist,"Under the FOI Act 2014, I am seeking the following: - a copy of the database for recording attendance for TDs and Senators in whatever digital format it is currently stored for the period 1 January 2017 to date of receipt of the request. - a copy of the specification documents provided by the company who provide the clock in service before and after the hardware was installed at the Oireachtas. - all communications about Flextime or the software solution called VisionTime, including emails to and from Flextime about the configuration of the technology for the Oireachtas. All minutes of meetings and/or reports about the software or the company. Part 2 & 3 of the request only concern such communications where it relates to the system as it applies to TDs & Senators. * Clarification - The first part relates to 1 Jan 2017 to date. The two other parts relate to when those processes took place, possibly in 2009 and again in 2013 but I cannot be certain.They should be self-limiting in timeframe but it is not possible for when to say exactly when those discussions took place. "
04-Nov-19,OIR-FOI-2019-0122,Journalist,"In accordance with the Freedom of Information acts, I wish to receive the following information which I believe to be in your records:  * the total amount of unpaid drinks and food bills for the Dail bar for each of the following years: 2007 to 2019 inclusive, * the total amount of unpaid drinks and food bills for the Dail restaurant for each of the following years: 2007 to 2019 inclusive, * a breakdown of each of these figures by TD and senator, if possible, * if (3) is not possible, a list of the top 10 unpaid total annual bills per individual for each of the following years: 2007 to 2019 inclusive. * details, where possible, of attempts to ensure these taxpayer-funded bills are paid, * a breakdown of how much of this money has been written off as bad debt for each of the following years: 2007 to 2019 inclusive, * all records relating to internal Oireachtas discussions on appointing a debt collector to ensure unpaid bills are paid."
04-Nov-19,OIR-FOI-2019-0121,Journalist,"In accordance with the Freedom of Information acts, I wish to receive the following information which I believe to be in your records: * the number of electronic items (ie laptops, mobiles, other equipment) given by the Oireachtas which have not been returned by TDs and senators after they leave their positions since the 2007 general election, * the same figures for equipment not returned by officials who are not TDs and senators/were never TDs and senators, * a breakdown of these numbers by specific type of equipment (ie type of laptops, type of mobiles, type of other equipment), * a breakdown of these numbers by the total and individual cost of each type of equipment, * a breakdown of these number and specific type of equipment by former TD and senator, * a breakdown of the above three points by Dail term (2007-2011, 2011-2016, 2016-present)"
04-Nov-19,OIR-FOI-2019-0120,Journalist,Under the Freedom of Information Act 2014 I am seeking the following documents: Copies of all travel receipts for international flights by Deputy Dara Murphy. I wish for my request to cover the period from 1/3/2016  &  1/11/2019.
04-Nov-19,OIR-FOI-2019-0119,Journalist,"I am requesting details of the amount of money made by the Dail restaurant each year in 2016, 2017, 2018 and this year if possible. I am also requesting information about the amount owed in outstanding fees at the restaurant and Dail bar, and the number of deputies, senators and staff who have outstanding tabs in each."
04-Nov-19,OIR-FOI-2019-0118,Other,"I wish to request access to the following records that I believe to be held by your organisation: All correspondence by email, postal letter or phone made by the Secretariat and Clerk of the Joint Oireachtas Committee on the Eighth Amendment to members, including the Chair Person, of the Joint Oireachtas Committee on the Eighth Amendment from 4 Apr 2017 to 20 Dec 2017."
01-Nov-19,OIR-FOI-2019-0116,Journalist,"Under the Freedom of Informations Acts, can I request any records created in 2018 or 2019 which indicate the cost of the renovation of the Oireachtas television studio gallery and the cost of the installation and design of the new set and lighting system associated with same. Dear Sir or Madam, Under the Freedom of Informations Acts, can I request any records or correspondence created in 2018 or 2019 which indicate the cost of renewing broadcast equipment and upgrading facilities for the Oireachtas TV service, including the studio gallery, studio set and lighting system. (as clarified)"
01-Nov-19,OIR-FOI-2019-0114,Journalist,"I would like to request access under the Freedom of Information Acts to a previously released FOI request, listed on the Oireachtas FOI Disclosure Log as R1724. "
31-Oct-19,OIR-FOI-2019-0112,Journalist,"Under the FOI Act 2014, I am seeking the following:- a copy of the following pieces of correspondence mentioned at the Oireachtas Commission meeting: https://data.oireachtas.ie/ie/oireachtas/corporate/commissionMinutes/2019/2019-07-09_houses-of-the-oireachtas-commission-minutes_en.pdf(ii) CorrespondenceThe Commission noted correspondence from:(a) Deputy Micheal Martin;(b) Deputy Clare Daly;(c) Deputy Louise O'Reilly.The meeting adjourned at 1.30 p.m."
31-Oct-19,OIR-FOI-2019-0110,Journalist,"Under the FOI Act 2014, I am seeking the following:- a spreadsheet of alltravel(overseas) undertaken by members of the Oireachtas in the period since my last such request (19 March 2019) to date of receipt of this request to include name of member, destination, date oftravel, flight costs, hotel costs, subsistence and any other incidental costs.I would prefer to receive this information electronically, ideally in its original electronic format."
31-Oct-19,OIR-FOI-2019-0109,Journalist,"Under the FOI Act 2014, I am seeking the following:1. - a list of the number of administrative/management staff involved in the management/administration of the D&aacute;il bar and restaurants. For clarity, I am not seeking their names, only their titles, their pay grade, and whether their position is full-time, or part-time (how many hours etc).2. - details of how the salaries of the above are accounted for and whether their salaries are included in the annual running costs of the D&aacute;il bar and restaurants.I would prefer to receive this information electronically, ideally in its original electronic format."
30-Oct-19,OIR-FOI-2019-0108,Journalist,"Numbers of TDs & Senators and from the formation of each House. Details of how many TDs and Senators requested their attendance record at Leinster House to be 'reconciled' following a period of absence (i.e. how many days TDs and Senators requested they be marked down as attending the Oireachtas despite not physically being there), as well as how many days in total TDs and Senators sought to have reconciled. I would appreciate if you could provide this information for each of the last four years (including the most up to date figures for 2019) and if you could also break this information down between TDs and Senators. I would also ask that you could present the information according to the reasons a reconciliation was sought, e.g. how many days were reconciled due to travel abroad, ill-health and 'extraordinary circumstances'."
29-Oct-19,OIR-FOI-2019-0107,Journalist,"I am making a request under the Freedom of Information Act for the following records.Copies of all correspondence members of the public to/from Ceann Comhairle Seán Ó Fearghaíl between the dates January 1, 2019 and October 29 2019. Separately I am seeking copies of all correspondence from members of the public and elected representatives to/from Mr Ó Fearghaíl on the subject of irregular voting in the Dáil and Seanad Chambers between October 17 and October 29, 2019."
29-Oct-19,OIR-FOI-2019-0106,Journalist,"I am requesting the following under the Freedom of Information Act 2014: The ten days which saw the highest sales in the Oireachtas members' bar and separately, theOireachtas visitors' bar, last year. I would also like to know how much was generated in sales on each of these dates."
29-Oct-19,OIR-FOI-2019-0105,Other,"Under the Freedom of Information Act 2014, I would like to request a copy of all complaints made by TDs and Senators to the Houses of the Oireachtas Service, the Clerk of the Dáil and the Clerk of the Seanad this year."
24-Oct-19,OIR-FOI-2019-0104,Oireachtas/Public Representative,"I would like to request the following information under Freedom of Information: In tabular form, the amount of money paid out to each former member of the Oireachtas between 2011 and 2019."
24-Oct-19,OIR-FOI-2019-0103,Oireachtas/Public Representative,I refer to Freedom of Information request number 2019-0084. Can you please provide me with a copy of the original Freedom of Information request? I am making this request under the Freedom of Information Act 2014.
24-Oct-19,OIR-FOI-2019-0102,Journalist,"Under the FOI legislation, can I request 1. details of where Dail votes have been manually changed via tellers; 2. if there has been any correspondence, querying or raising of problems around TDs having votes registered on their behalf by others or proxy voting? ]This should include any correspondence to and/or from the clerk of the Dail or the Ceann Comhairle on the matter of proxy voting. It should be noted the trawl is not for the use of this exact phrase but as a reference for the search. Could the timeframe be for 2019 up until the current date."
22-Oct-19,OIR-FOI-2019-0100,Journalist, I wish to apply under the provision of the FOI Act for the following records: Records of requests from Members of Both Houses to 'correct the record' of clock-in returns. (a list of reconciliations & reasons for the Members (Dail & Seanad) from the beginning of the Autumn session 2018 to the beginning of Summer recess 2019.)
22-Oct-19,OIR-FOI-2019-0099,Journalist,"Correspondence/communication received by the Clerk of the Dail &amp; the Ceann Comhairle. I wish to apply under the provisions of the Freedom of Information Act for: 1. All correspondence and communication received by the Oireachtas, including by Ceann  Comhairle, in relation to the disclosure on 19 October that a TD voted for a colleague six times, while that colleague was absent from the chamber. 2: Any report on the operation and veracity of the electronic voting system used in the Dail that has been published. Relevant dates: From 19 October to time of receipt of this request for No 1. Past decade for Request No 2, on the basis that such a report would be relativelyeasy to retrieve, if one were produced."
21-Oct-19,OIR-FOI-2019-0098,Journalist,"I wish to request access to the following records under the Freedom of Information Act:- copies of the PSA declaration of normal place of residence for TAA submitted by the following members for each of the years 2016, 2017 and 2018: i) Deputy Enda Kenny ii) Deputy Michael Ring iii) Deputy Dara Calleary iv) Deputy Lisa Chambers v) Senator Paddy Burke vi) Senator Keith Swanick vii) Senator Rose Conway-Walsh viii) Senator Michelle Mulherin"
21-Oct-19,OIR-FOI-2019-0097,Journalist,"I wish to request under Section 12 of the Freedom of Information Act 2014 access to the following records: All communications, correspondence, memos, notes and briefing materials, electronic and written, that pertain to the decision by the Oireachtas Service to cancel its participation in the Open House event on October 12th and 13th 2019, and the announcement by Ceann Comhairle Sean Ó Fearghail to that effect on October 11th. "
16-Oct-19,OIR-FOI-2019-0095,Other,"Under the Freedom of Information Act, I request the following: For the year 2018, the Parliamentary Standard Allowance Declaration forms for a) ALL Deputies b) ALL Senators."
14-Oct-19,OIR-FOI-2019-0093,Journalist," Under the Freedom of Information Act, I am requesting the release of any internal communications, meetings logs and meeting minutes regarding the cancellation of the Oireachtas events at Open House on 12 and 13 October."
14-Oct-19,OIR-FOI-2019-0092,Other,"Under the Freedom of Information Act, I request the following: For the years, 2016, 2017 and 2018, the Parliamentary Standard Allowance Declaration forms for a) ALL Deputies b) ALL Senators."
14-Oct-19,OIR-FOI-2019-0091,Other,"For the year 2018, electronic copies of all certifications made by each Member of Seanad Eireann under the regulation (where the regulation is as stated on the originalrequest). Regulation 4 (8) (b) of S.1 No.84 of 2010, states: a member must certify, in writing or in such form as may be determinedby the Oireachtas Commission, to the appropriate authority within 1 month of the end of the relevant period, that the amount payable under this Regulation was applied in respect of expenses incurred within the relevant period on travelling to and from Leinster House from their normal place of residence, on overnight or travel expenses which the member was obliged to incur in the performance of his or her duties as a member of the Oireachtas or as an office holder, as may be applicable. "
11-Oct-19,OIR-FOI-2019-0090,Journalist,"Dear Sir/Madam, Under the FOI Act 2014, I am seeking the following: - copies of all correspondence between the Oireachtas and Mazars relating to their 2017 audit of members expenses. This request to only cover such correspondence in the period after the final report was first submitted to the Oireachtas. "
11-Oct-19,OIR-FOI-2019-0088,Journalist,"Under the FOI Act 2014, I am seeking the following:- copies of any records held relating or referring to incorrect claims for expenses by the following members in 2017: Alan Farrell, Maria Bailey, Senator Lynn Ruane, Senator Michelle Mulherin, Colette Kelleher, Jerry Buttimer."
10-Oct-19,OIR-FOI-2019-0089,Journalist,"Dear Sir/Madam,Under the FOI Act 2014, I am seeking the following:- copies of any correspondence between your office and D/PER related to the travel and accommodation allowance in period 30 November 2018 to date of receipt of this request.- copies of any records held relating to any discussion over size of the travel and accommodation allowance and whether it is sufficient given increases in the costs of accommodation in Dublin. This part of the request to cover same time period as above."
04-Oct-19,OIR-FOI-2019-0087,Journalist,"Under the FOI Act 2014, I am seeking the following:- a list of all parliamentary and secretarial assistants employed by members of the Oireachtas on the date of receipt of this request. If possible, also their start date."
03-Oct-19,OIR-FOI-2019-0086,Other,"Under the FOI Act 2014, I am seeking the following: Details of all payments made, through the State Claims agency or by the Houses of the Oireachtas, to staff, members of the houses of the Oireachtas or any individuals for damage caused to their vehicles whilst parked within the Houses of the Oireachtas campus since 2014, and the causes of these damages."
